collection,code,genus,species,date,SiteTemp,Tree host,gall host,Notes,phenophase,lifestage,viability
133,1,Quercus,macrocarpa,3/12/2016,Spirit Lake,Bur Oak,Acraspis macrocarpae,"from leaf litter, most at this point had exit holes, always on side along the leaf (perhaps to help pull itself out?)",perimature,,viable
1000,59,Quercus,rubra,7/13/2017,Kent Park,Red Oak,Kokkocynips imbricariae,First spotted of the season,dormant,,viable
1013,98,Quercus,alba,7/14/2017,Lower commuter lot,White Oak,acorn gall,"similar to A.incertus but no bracts, cell emerging from side of acorn cup",dormant,,viable
1017,87,Quercus,palustris,7/14/2017,Morman trek Apt. ,Pin Oak,Dryocosmus notha,"two without exit holes, outside bron, one larvae cell intact",dormant,,viable
1033,16,Quercus,palustris,7/25/2017,Hickory Hills Park,Pin Oak,Melikaiella ostensackeni,,dormant,,viable
1047,1,Quercus,macrocarpa,8/5/2017,Spirit Lake,Bur Oak,Acraspis macrocarpae,,dormant,,viable
1064,1,Quercus,macrocarpa,8/8/2017,North pavilline park (Coralville IA),Bur Oak,acraspis macrocarpae,,dormant,,viable
1076,101,Quercus,rubra,8/13/2017,"Traverse City, backyard",Red Oak,woody stem gall,"not detachable, larvae inside, looks kinda like disholcaspis pattersoni, a few C.gemmaria may be in the mix, hard to remove all of them",dormant,Larva,viable
1082,3,Quercus,alba,8/24/2017,"Kiwanis park Cape Girardeau, MO",White Oak,Acraspis pezomachoides,,dormant,,viable
1085,27,Quercus,palustris,8/24/2017,"Kiwanis park Cape Girardeau, MO",Pin Oak,Zopheroteras guttatum,,dormant,,viable
1092,65,Quercus,stellata,8/24/2017,Bob Noble Park/Peducah KY,Post Oak,Atrusca centricola,green and spotted,dormant,,viable
1096,113,Quercus,stellata,8/24/2017,Bob Noble Park/Peducah KY,Post Oak,unknown,midrib cluster on post oak- turn brown ,dormant,,viable
1106,19,Quercus,stellata,8/24/2017,"Vista Ridge Park, Kuttawa KY",Post Oak,Disholcaspis quercusglobulus,,dormant,,viable
1126,19,Quercus,muehlenbergii,8/26/2017,"Edwin Warner park, Nashville TN",Chinkapin Oak (Quercus muehlenbergii),Disholcaspis quercusglobulus,,dormant,,viable
1129,59,Quercus,falcata,8/27/2017,"Central park, Murray KY",Southern Red oak,Kokkocynips imbricariae,found on ground under tree,dormant,,viable
1133,59,Quercus,falcata,8/27/2017,"Effiel tower Park, Paris TN",Southern Red oak,Kokkocynips imbricariae,found under tree,dormant,,viable
1134,109,Quercus,falcata,8/27/2017,"Effiel tower Park, Paris TN",Southern Red oak,,bud gall found under tree,dormant,,viable
1164,110,Quercus,palustris,9/8/2017,"Blacklick Park, OH",Pin oak,Amphibolips quercusjuglans,"found under trees, range of 'newly' fallen to those that had dried out, light purple mottled patter. Some cracked on impact? When dry outh slighlty wrinkled and lighter in weight. Also  known as A.prunus",dormant,,viable
1165,20,Quercus,bicolor,9/8/2017,"Blacklick Park, OH",Swamp White,Disholcaspis quercusmamma,visibly seen gaurded by ants- also saw signs of outside damage to galls- by birds? ,dormant,,viable
1168,22,Quercus,macrocarpa,9/7/2017,Englewood OH,Bur Oak,Neuroterus floccosus,on smallish sapling,dormant,,viable
1177,111,Quercus,rubra,9/9/2017,"White Oak Park, White Oak PA",Red Oak,Amphibolips cookii,"3 found on ground, turn dark purple",dormant,,viable
1181,3,Quercus,alba,9/9/2017,"White Oak Park, White Oak PA",White Oak,Acraspis pezomachoides,,dormant,,viable
1195,110,Quercus,rubra,9/10/2017,"Rest stop of 70 west in OH, 13 mi west of Wheeling WV (40°03'53.4""N 81°00'38.3""W)",Red Oak,Amphibolips querucsjuglans,"found on ground, oak plum",dormant,,viable
1200,20,Quercus,macrocarpa,9/10/2017,"Pickerngton Ponds, OH ",Bur Oak,Disholcaspis quercusmamma,saw ant gaurding,dormant,,viable
1201,3,Quercus,alba,9/10/2017,"Blendon woods, OH ",White Oak,Acraspis pezomachoides,,dormant,,viable
1202,2,Quercus,alba,9/10/2017,"Blendon woods, OH ",White Oak,Acraspis erinacei,,dormant,,viable
1210,22,Quercus,macrocarpa,9/11/2017,Crystal lake park/ Urbana IL,bur Oak,Neuroterus floccosus,,dormant,,viable
1211,3,Quercus,alba,9/11/2017,Crystal lake park/ Urbana IL,White Oak,Acraspis pezomachoides,,dormant,,viable
1222,50,Quercus,marilandica,4/12/2018,"McKinny park 21, Cedar Creek TX",Blackjack oak,Amphibolips nubilipennis,"looks like transluecent grape, smooth, some pinkish",dormant,,viable
1238,117,Quercus,stellata,4/12/2018,"MK 15a, TX",Post oak,Andricus quercuspetiolicola,from post oak,dormant,,viable
1243,117,Quercus,stellata,4/12/2018,"MK 23a, TX",Post oak,Andricus quercuspetiolicola,,dormant,,viable
1246,117,Quercus,stellata,4/12/2018,"MK 15b, TX",Post oak,Andricus quercuspetiolicola,,dormant,,viable
1249,117,Quercus,stellata,4/12/2018,"MK 13, TX",Post oak,Andricus quercuspetiolicola,,dormant,,viable
1270,040,Quercus,marilandica,4/12/2018,"McKinny park 21, Cedar Creek TX",Blackjack oak,Possible midge gall,"Midge gall, larger fuzzy galls along midrib",dormant,,viable
1275,89,Quercus,bicolor,5/8/2018,Top of bike trail,Swamp white,Neuroterus pallidus,"catkin gall, green globular galls near end of catkin, in two cups",dormant,,viable
1285,89,Quercus,bicolor,5/8/2018,Hawkeye Rec field,Swamp white,Neuroterus pallidus,catkin gall,dormant,,viable
1286,90,Quercus,bicolor,5/8/2018,Hawkeye Rec field,Swamp white,Dishlocaspis quercusmamma (sex),,dormant,,viable
1289,87,Quercus,palustris,5/8/2018,Commuter lot,Pin Oak,Dryocosmus notha,some quite small,dormant,,viable
1290,38,Quercus,imbricaria,5/10/2018,Hickory Hills Park,Shingle oak,Dryocosmus quercuspalustris,most on catkins,dormant,,viable
1291,45,Quercus,imbricaria,5/10/2018,Hickory Hills Park,Shingle oak,Amphibolips quercusostensackenii,very small,dormant,,viable
1292,122,Quercus,imbricaria,5/10/2018,Hickory Hills Park,Shingle oak,catkin bent,possible gall,dormant,,viable
1293,38,Quercus,palustris,5/10/2018,Hickory Hills Park,Pin Oak,Drycosmus quercuspalustris,,dormant,,viable
1296,89,Quercus,bicolor,5/15/2018,Waterworks prairie park,Swamp white,Neuroterus pallidus,tan with some exit holes present,perimature,,viable
1297,88,Quercus,bicolor,5/15/2018,Waterworks prairie park,Swamp white,catkin bent,,dormant,,viable
1298,13,Quercus,bicolor,5/15/2018,Waterworks prairie park,Swamp white,Callirhytis flavipes,,dormant,,viable
1301,95,Quercus,alba,5/15/2018,Waterworks prairie park,White Oak,acraspis erinacei sex.,,dormant,,viable
1304,40,Quercus,alba,5/15/2018,Waterworks prairie park,White Oak,Andricus quercusutriculus,,dormant,,viable
1306,95,Quercus,alba,5/15/2018,Finkbine,White Oak,acraspis erinacei sex.,,dormant,,viable
1309,90,Quercus,bicolor,5/15/2018,Hawkeye Rec field,Swamp white,Dishlocaspis quercusmamma (sex),,dormant,,viable
