collection,code,date,phenophase,lifestage,viability
1630,169,9/15/2019,dormant,,viable
1630,169,12/10/2019,maturing,Adult,
1630,169,12/10/2019,maturing,Adult,
1640,179,9/15/2019,dormant,,viable
1645,169,12/23/2019,maturing,Adult,
1645,169,12/23/2019,maturing,Adult,
1645,169,1/3/2020,maturing,Adult,
1645,169,1/3/2020,maturing,Adult,
1645,169,1/24/2020,maturing,Adult,
1645,169,1/24/2020,maturing,Adult,
1645,169,9/14/2019,dormant,,viable
1640,179,5/31/2020,perimature,Adult,
1640,179,5/31/2020,perimature,Adult,
1640,179,5/31/2020,perimature,Adult,
1648,185,9/14/2019,dormant,,viable
1720,180,4/18/2020,perimature,Adult,
1720,180,4/18/2020,perimature,Adult,
1720,180,5/31/2020,perimature,Adult,
1720,180,5/31/2020,perimature,Adult,
1720,180,5/20/2020,maturing,Adult,
1655,191,9/14/2019,dormant,,viable
1648,185,5/31/2020,perimature,Adult,
1648,185,5/31/2020,perimature,Adult,
1655,191,5/20/2020,maturing,Adult,
1655,191,5/20/2020,maturing,Adult,
1655,191,5/20/2020,maturing,Adult,
1657,194,9/16/2019,perimature,,viable
1729,191,5/20/2020,perimature,Adult,
1729,191,5/20/2020,perimature,Adult,
1666,194,9/16/2019,dormant,,viable
1679,211,9/16/2019,dormant,,viable
1657,194,12/21/2019,maturing,Adult,
1657,194,11/25/2019,maturing,Adult,
1657,194,12/24/2019,maturing,Adult,
1684,216,9/16/2019,dormant,,viable
1666,194,12/21/2019,maturing,Adult,
1666,194,12/21/2019,maturing,Adult,
1666,194,12/21/2019,maturing,Adult,
1666,194,12/21/2019,maturing,Adult,
1666,194,12/21/2019,maturing,Adult,
1666,194,2/5/2020,perimature,Adult,
1685,216,9/17/2019,dormant,,viable
1664,199,12/21/2019,maturing,Adult,
1664,199,12/21/2019,maturing,Adult,
1664,199,12/23/2019,maturing,Adult,
1664,199,12/23/2019,maturing,Adult,
1686,217,9/17/2019,dormant,,viable
1679,211,12/23/2019,maturing,Adult,
1688,212,9/17/2019,dormant,,viable
1688,212,11/20/2016,maturing,Adult,
1690,218,9/17/2019,dormant,,viable
1685,216,12/23/2019,maturing,Adult,
1685,216,12/23/2019,maturing,Adult,
1685,216,12/23/2019,maturing,Adult,
1685,216,1/3/2020,maturing,Adult,
1685,216,2/6/2020,perimature,Adult,
1685,216,2/11/2020,perimature,Adult,
1692,220,9/17/2019,dormant,,viable
1684,216,2/6/2020,maturing,Adult,
1684,216,2/6/2020,maturing,Adult,
1684,216,2/6/2020,perimature,Adult,
1694,222,9/17/2019,dormant,,viable
1686,217,12/21/2019,maturing,Adult,
1686,217,12/21/2019,maturing,Adult,
1705,228,9/17/2019,dormant,,viable
1690,218,5/3/2020,perimature,Adult,
1713,222,9/16/2019,dormant,,viable
1692,220,2/6/2020,maturing,Adult,
1720,180,9/22/2019,dormant,,viable
1694,222,1/3/2020,maturing,Adult,
1729,191,9/24/2019,dormant,,viable
1713,222,11/25/2019,maturing,Adult,
1713,222,11/25/2019,maturing,Adult,
1713,222,12/10/2019,perimature,Adult,
1713,222,12/21/2019,maturing,Adult,
1713,222,12/21/2019,maturing,Adult,
1713,222,12/21/2019,maturing,Adult,
1713,222,12/21/2019,maturing,Adult,
1731,227,9/24/2019,dormant,,viable
1731,227,1/3/2020,maturing,Adult,
1731,227,1/25/2020,maturing,Adult,
1731,227,1/25/2020,maturing,Adult,
1731,227,1/25/2020,maturing,Adult,
1731,227,1/25/2020,maturing,Adult,
1731,227,1/25/2020,maturing,Adult,
1731,227,1/25/2020,maturing,Adult,
1731,227,1/25/2020,maturing,Adult,
1731,227,1/25/2020,maturing,Adult,
1731,227,2/10/2020,perimature,Adult,
1731,227,12/24/2019,maturing,Adult,
1731,227,1/24/2020,perimature,Adult,
1731,227,1/24/2020,perimature,Adult,
1731,227,1/24/2020,perimature,Adult,
1731,227,1/24/2020,perimature,Adult,
1731,227,1/24/2020,perimature,Adult,
1731,227,1/24/2020,perimature,Adult,
1731,227,1/24/2020,perimature,Adult,
1731,227,2/6/2020,perimature,Adult,
1732,228,9/24/2019,dormant,,viable
1732,228,1/3/2020,maturing,Adult,
1732,228,1/23/2020,maturing,Adult,
1732,228,1/23/2020,maturing,Adult,
1732,228,1/23/2020,maturing,Adult,
1733,239,9/24/2019,dormant,,viable
1705,228,1/31/2020,maturing,Adult,
1664,199,9/16/2019,dormant,,viable
1733,239,4/18/2020,perimature,Adult,
1733,239,4/18/2020,perimature,Adult,
1733,239,4/18/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult,
1733,239,6/9/2020,perimature,Adult	,
