collection,code,site,state,country,latitude,longitude,Tree host,gall host,genus,species,gf_id
1630,169,Vernon,AZ,USA,34.255,-109.6926,Gambel oak,Atrusca brevipennata,Quercus,gambelii,2121
1640,179,Vernon,AZ,USA,34.255,-109.6926,Gambel oak,Unknown - stem gall terminal swelling that bears multiple leaves,Quercus,gambelii,2595
1645,169,Albuquerque,NM,USA,35.0844,-106.6504,Sonoran scrub oak,Atrusca brevipennata (new mexico and colorado),Quercus,turbinella,2121
1648,185,Albuquerque,NM,USA,35.0844,-106.6504,Sonoran scrub oak,,Quercus,turbinella,2539
1655,191,Albuquerque,NM,USA,35.0844,-106.6504,Live oak,A. lanigera?,Quercus,virginiana,895
1657,194,Show Low,AZ,USA,34.2542,-110.0298,Gambel oak,Acraspis macrocarpe,Quercus,gambelii,596
1666,194,Pinetop-Lakeside,AZ,USA,34.1425,-109.9604,Gambel oak,Acraspis macrocarpe,Quercus,gambelii,596
1679,211,Payson,AZ,USA,34.2309,-111.3251,Gray Oak,"Detachable stem gall, brown with black tip. Similar in morph to arzonica witch hat gall",Quercus,grisea,2529
1684,216,Payson,AZ,USA,34.2309,-111.3251,Gray Oak,"Disholocaspis, nectar secreting, ants present; in clusters on stem, looks like dishlocaspis edura",Quercus,grisea,948
1685,216,Payson,AZ,USA,34.2309,-111.3251,Gray Oak,Dis. Spissa 7/28/21,Quercus,grisea,948
1686,217,Payson,AZ,USA,34.2309,-111.3251,Gray Oak,"Looks similar to 216 but larger, lighter color. Probably Dis. Edura 7/28/21",Quercus,grisea,941
1688,212,Payson,AZ,USA,34.2309,-111.3251,Gray Oak,sim to A. bella,Quercus,grisea,759
1690,218,Payson,AZ,USA,34.2309,-111.3251,Gray Oak,Acorn gall - looks like andricus prescotti on Q. Arizonica,Quercus,grisea,2302
1692,220,Payson,AZ,USA,34.2309,-111.3251,Gray Oak,Small globular detachable leaf gall; pubescence/hairs,Quercus,grisea,4180
1694,222,Payson,AZ,USA,34.2309,-111.3251,Sonoran scrub oak,"A. bella? (round, reddish gall with radiating fibers)",Quercus,turbinella,759
1705,228,Rio Verde,AZ,USA,33.7225,-111.6757,Sonoran scrub oak,"Antron acraspiformis - spikey leaf gall, red yellow",Quercus,turbinella,2481
1713,222,Herber,AZ,USA,34.4139,-110.5633,Unk (gray or scrub),,,,759
1720,180,Sedona,AZ,USA,34.8697,-111.761,Desert scrub oak,,Quercus,turbinella,2602
1729,191,Cornville,AZ,USA,34.7178,-111.9215,Live oak,A. lanigera?,Quercus,virginiana,895
1731,227,Sedona,AZ,USA,34.8697,-111.761,Desert scrub oak,Dis pedunculeides - acorn gall ,Quercus,turbinella,947
1732,228,Sedona,AZ,USA,34.8697,-111.761,Desert scrub oak,"Antron acraspiformis - spikey leaf gall, red yellow",Quercus,turbinella,2481
1733,239,Sedona,AZ,USA,34.8697,-111.761,Desert scrub oak,Neuroterus lamellae,Quercus,turbinella,1035
1664,199,Show Low,AZ,USA,34.2542,-110.0298,Gambel oak,Flat disk on midrib - range from yellow to light red,Quercus,gambelii,1728
