"","date","longitude","latitude","AGDD32","AGDD50","doy"
"1",2021-01-02,-120,29,NA,NA,2
"2",2021-01-02,-120,31,NA,NA,2
"3",2021-01-02,-120,33,NA,NA,2
"4",2021-01-02,-120,35,28.980014801,0,2
"5",2021-01-02,-120,37,NA,NA,2
"6",2021-01-02,-120,39,2.52000427246,0,2
"7",2021-01-02,-120,41,0,0,2
"8",2021-01-02,-120,43,4.50001525879,0,2
"9",2021-01-02,-120,45,4.86000061035,0,2
"10",2021-01-02,-120,47,1.98001480103,0,2
"11",2021-01-02,-120,49,0,0,2
"12",2021-01-02,-115,29,NA,NA,2
"13",2021-01-02,-115,31,NA,NA,2
"14",2021-01-02,-115,33,45.0000038147,8.55000305176,2
"15",2021-01-02,-115,35,25.0200195312,0,2
"16",2021-01-02,-115,37,NA,NA,2
"17",2021-01-02,-115,39,0,0,2
"18",2021-01-02,-115,41,0,0,2
"19",2021-01-02,-115,43,0,0,2
"20",2021-01-02,-115,45,0,0,2
"21",2021-01-02,-115,47,0,0,2
"22",2021-01-02,-115,49,0,0,2
"23",2021-01-02,-110,29,NA,NA,2
"24",2021-01-02,-110,31,NA,NA,2
"25",2021-01-02,-110,33,19.9799880981,0,2
"26",2021-01-02,-110,35,0,0,2
"27",2021-01-02,-110,37,NA,NA,2
"28",2021-01-02,-110,39,0,0,2
"29",2021-01-02,-110,41,0,0,2
"30",2021-01-02,-110,43,0,0,2
"31",2021-01-02,-110,45,0,0,2
"32",2021-01-02,-110,47,2.52003097534,0,2
"33",2021-01-02,-110,49,0,0,2
"34",2021-01-02,-105,29,NA,NA,2
"35",2021-01-02,-105,31,0.990020751953,0,2
"36",2021-01-02,-105,33,5.49003601074,0,2
"37",2021-01-02,-105,35,0.989994049072,0,2
"38",2021-01-02,-105,37,NA,NA,2
"39",2021-01-02,-105,39,0,0,2
"40",2021-01-02,-105,41,0,0,2
"41",2021-01-02,-105,43,0,0,2
"42",2021-01-02,-105,45,0,0,2
"43",2021-01-02,-105,47,0,0,2
"44",2021-01-02,-105,49,0,0,2
"45",2021-01-02,-100,29,19.4400100708,2.9700050354,2
"46",2021-01-02,-100,31,0,0,2
"47",2021-01-02,-100,33,2.52003097534,0,2
"48",2021-01-02,-100,35,3.06002426147,0,2
"49",2021-01-02,-100,37,NA,NA,2
"50",2021-01-02,-100,39,0,0,2
"51",2021-01-02,-100,41,0,0,2
"52",2021-01-02,-100,43,0,0,2
"53",2021-01-02,-100,45,0,0,2
"54",2021-01-02,-100,47,0,0,2
"55",2021-01-02,-100,49,0,0,2
"56",2021-01-02,-95,29,NA,NA,2
"57",2021-01-02,-95,31,30.5099983215,0,2
"58",2021-01-02,-95,33,15.480014801,0,2
"59",2021-01-02,-95,35,13.0500030518,0,2
"60",2021-01-02,-95,37,NA,NA,2
"61",2021-01-02,-95,39,0,0,2
"62",2021-01-02,-95,41,0,0,2
"63",2021-01-02,-95,43,0,0,2
"64",2021-01-02,-95,45,0,0,2
"65",2021-01-02,-95,47,0,0,2
"66",2021-01-02,-95,49,0,0,2
"67",2021-01-02,-90,29,NA,NA,2
"68",2021-01-02,-90,31,47.430015564,0,2
"69",2021-01-02,-90,33,37.5300445557,0,2
"70",2021-01-02,-90,35,30.0600547791,0,2
"71",2021-01-02,-90,37,NA,NA,2
"72",2021-01-02,-90,39,4.05000305176,0,2
"73",2021-01-02,-90,41,0,0,2
"74",2021-01-02,-90,43,0,0,2
"75",2021-01-02,-90,45,0,0,2
"76",2021-01-02,-90,47,NA,NA,2
"77",2021-01-02,-90,49,NA,NA,2
"78",2021-01-02,-85,29,NA,NA,2
"79",2021-01-02,-85,31,63.9900054932,6.03002929688,2
"80",2021-01-02,-85,33,52.4700202942,0,2
"81",2021-01-02,-85,35,45.9900093079,0,2
"82",2021-01-02,-85,37,NA,NA,2
"83",2021-01-02,-85,39,19.8900108337,0,2
"84",2021-01-02,-85,41,1.98001480103,0,2
"85",2021-01-02,-85,43,0,0,2
"86",2021-01-02,-85,45,0,0,2
"87",2021-01-02,-85,47,NA,NA,2
"88",2021-01-02,-85,49,NA,NA,2
"89",2021-01-02,-80,29,NA,NA,2
"90",2021-01-02,-80,31,NA,NA,2
"91",2021-01-02,-80,33,69.9299850464,12.5100288391,2
"92",2021-01-02,-80,35,49.9500312805,6.93000030518,2
"93",2021-01-02,-80,37,NA,NA,2
"94",2021-01-02,-80,39,21.9599990845,0,2
"95",2021-01-02,-80,41,6.48004150391,0,2
"96",2021-01-02,-80,43,NA,NA,2
"97",2021-01-02,-80,45,NA,NA,2
"98",2021-01-02,-80,47,NA,NA,2
"99",2021-01-02,-80,49,NA,NA,2
"100",2021-01-02,-75,29,NA,NA,2
"101",2021-01-02,-75,31,NA,NA,2
"102",2021-01-02,-75,33,NA,NA,2
"103",2021-01-02,-75,35,NA,NA,2
"104",2021-01-02,-75,37,NA,NA,2
"105",2021-01-02,-75,39,29.5200195312,1.97999954224,2
"106",2021-01-02,-75,41,6.93001556396,0,2
"107",2021-01-02,-75,43,1.52587890625e-05,0,2
"108",2021-01-02,-75,45,NA,NA,2
"109",2021-01-02,-75,47,NA,NA,2
"110",2021-01-02,-75,49,NA,NA,2
"111",2021-01-02,-70,29,NA,NA,2
"112",2021-01-02,-70,31,NA,NA,2
"113",2021-01-02,-70,33,NA,NA,2
"114",2021-01-02,-70,35,NA,NA,2
"115",2021-01-02,-70,37,NA,NA,2
"116",2021-01-02,-70,39,NA,NA,2
"117",2021-01-02,-70,41,NA,NA,2
"118",2021-01-02,-70,43,NA,NA,2
"119",2021-01-02,-70,45,0,0,2
"120",2021-01-02,-70,47,NA,NA,2
"121",2021-01-02,-70,49,NA,NA,2
"122",2021-01-09,-120,29,NA,NA,9
"123",2021-01-09,-120,31,NA,NA,9
"124",2021-01-09,-120,33,NA,NA,9
"125",2021-01-09,-120,35,164.043045044,10.5300178528,9
"126",2021-01-09,-120,37,NA,NA,9
"127",2021-01-09,-120,39,36.0180625916,0,9
"128",2021-01-09,-120,41,16.6500434875,0,9
"129",2021-01-09,-120,43,44.3160705566,0,9
"130",2021-01-09,-120,45,35.379070282,0,9
"131",2021-01-09,-120,47,55.116104126,0,9
"132",2021-01-09,-120,49,0,0,9
"133",2021-01-09,-115,29,NA,NA,9
"134",2021-01-09,-115,31,NA,NA,9
"135",2021-01-09,-115,33,228.537063599,68.0670623779,9
"136",2021-01-09,-115,35,158.121032715,12.6810188293,9
"137",2021-01-09,-115,37,NA,NA,9
"138",2021-01-09,-115,39,10.9440803528,0,9
"139",2021-01-09,-115,41,0,0,9
"140",2021-01-09,-115,43,16.4070358276,0,9
"141",2021-01-09,-115,45,0,0,9
"142",2021-01-09,-115,47,0.989994049072,0,9
"143",2021-01-09,-115,49,0,0,9
"144",2021-01-09,-110,29,NA,NA,9
"145",2021-01-09,-110,31,NA,NA,9
"146",2021-01-09,-110,33,132.615066528,1.44003677368,9
"147",2021-01-09,-110,35,21.1320266724,0,9
"148",2021-01-09,-110,37,NA,NA,9
"149",2021-01-09,-110,39,0,0,9
"150",2021-01-09,-110,41,0,0,9
"151",2021-01-09,-110,43,0,0,9
"152",2021-01-09,-110,45,0,0,9
"153",2021-01-09,-110,47,27.3690872192,0,9
"154",2021-01-09,-110,49,1.4400100708,0,9
"155",2021-01-09,-105,29,NA,NA,9
"156",2021-01-09,-105,31,85.3650360107,0,9
"157",2021-01-09,-105,33,87.4620513916,0,9
"158",2021-01-09,-105,35,44.6310310364,0,9
"159",2021-01-09,-105,37,NA,NA,9
"160",2021-01-09,-105,39,0,0,9
"161",2021-01-09,-105,41,10.5660324097,0,9
"162",2021-01-09,-105,43,0,0,9
"163",2021-01-09,-105,45,7.40707397461,0,9
"164",2021-01-09,-105,47,10.1070480347,0,9
"165",2021-01-09,-105,49,1.97999954224,0,9
