"id","observed_on","taxon.name","latitude","longitude","uri","Evidence_of_Presence","Life_Stage","Gall_phenophase","phenostage","doy","AGDD32","AGDD50"
2563114,"2016-01-07","Eurosta solidaginis",35.1233546343,-85.218506707,"http://www.inaturalist.org/observations/2563114","Gall","","dormspring","dormspring",7,37.871887207,0
2564716,"2016-01-06","Eurosta solidaginis",35.0778027778,-85.1268527778,"http://www.inaturalist.org/observations/2564716","Gall","","dormspring","dormspring",6,33.3899116516,0
2631207,"2016-01-30","Eurosta solidaginis",40.999205,-81.978221,"http://www.inaturalist.org/observations/2631207","Organism","Larva","dormspring","dormspringLarva",30,31.9769172668,0
2644404,"2016-02-03","Eurosta solidaginis",35.0099174353,-85.6220560335,"http://www.inaturalist.org/observations/2644404","Gall","","dormspring","dormspring",34,309.887695312,40.4549751282
2648474,"2016-02-05","Eurosta solidaginis",35.0667244429,-90.106362328,"http://www.inaturalist.org/observations/2648474","Gall","","dormspring","dormspring",36,303.839630127,36.3689575195
2651143,"2016-02-06","Eurosta solidaginis",44.2875619093,-72.4028231018,"http://www.inaturalist.org/observations/2651143","Gall","","dormspring","dormspring",37,22.2569274902,0
2703936,"2016-02-21","Eurosta solidaginis",43.714917,-72.995403,"http://www.inaturalist.org/observations/2703936","Gall","","dormspring","dormspring",52,81.053855896,0
2711923,"2016-02-22","Eurosta solidaginis",44.502706,-72.625464,"http://www.inaturalist.org/observations/2711923","Gall","","dormspring","dormspring",53,59.3909339905,0
2736570,"2016-02-29","Eurosta solidaginis",36.971318,-80.328328,"http://www.inaturalist.org/observations/2736570","Gall","","dormspring","dormspring",60,214.118789673,4.38297271729
2750961,"2016-03-06","Eurosta solidaginis",40.651182,-74.499793,"http://www.inaturalist.org/observations/2750961","Gall","","dormspring","dormspring",66,247.427597046,0.296974182129
2774412,"2016-03-12","Eurosta solidaginis",44.2116030492,-72.7892642935,"http://www.inaturalist.org/observations/2774412","Gall","","dormspring","dormspring",72,112.814842224,7.87499237061
2818036,"2016-03-22","Eurosta solidaginis",35.0755737242,-90.0882469662,"http://www.inaturalist.org/observations/2818036","Gall","","dormspring","dormspring",82,1127.83398438,240.992767334
2867478,"2016-04-02","Eurosta solidaginis",44.2559038382,-72.5996490475,"http://www.inaturalist.org/observations/2867478","Gall","","dormspring","dormspring",93,239.579620361,10.3589744568
2897026,"2016-04-07","Eurosta solidaginis",40.669669,-74.994638,"http://www.inaturalist.org/observations/2897026","Gall","","dormspring","dormspring",98,641.690429688,57.3748817444
2946696,"2016-04-16","Eurosta solidaginis",35.8106066985,-78.7176720892,"http://www.inaturalist.org/observations/2946696","Gall","","dormspring","dormspring",107,1719.9440918,437.003509521
2964290,"2016-04-18","Eurosta solidaginis",40.05882264,-77.51797171,"http://www.inaturalist.org/observations/2964290","Gall","","dormspring","dormspring",109,864.089355469,103.121856689
2983281,"2016-04-20","Eurosta solidaginis",40.477979,-74.419298,"http://www.inaturalist.org/observations/2983281","Gall","","dormspring","dormspring",111,1019.19506836,127.961807251
3002844,"2016-04-22","Eurosta solidaginis",42.6187533333,-72.8293833333,"http://www.inaturalist.org/observations/3002844","Gall","","dormspring","dormspring",113,596.834289551,60.1469078064
3048513,"2016-04-28","Eurosta solidaginis",40.331889,-74.712792,"http://www.inaturalist.org/observations/3048513","Gall","","dormspring","dormspring",119,1210.23815918,189.512680054
3073437,"2016-03-24","Eurosta solidaginis",40.672044,-81.640933,"http://www.inaturalist.org/observations/3073437","Organism; Gall","Pupa","dormspring","dormspringPupa",84,479.087402344,47.3129081726
3637809,"2016-07-07","Eurosta solidaginis",43.01456185,-88.31110823,"http://www.inaturalist.org/observations/3637809","Gall","","developing","developing",189,2897.09838867,1061.70214844
3681342,"2016-07-15","Eurosta solidaginis",42.478768,-76.451143,"http://www.inaturalist.org/observations/3681342","Gall","","developing","developing",197,3047.92919922,1038.69812012
