"id","lastyearend","taxon.name","latitude","longitude","uri","Evidence_of_Presence","Life_Stage","Gall_phenophase","phenostage","doy","total32","yr1AGDD32","total50","yr1AGDD50","obsdate","lastyear50","lastyear32","Gall_phenophaseyr2","phenostage2","percent32","currentyearend","currentyear32","currentyear50","percent50","wrapdoy"
3637809,"2015-12-31","Eurosta solidaginis",43.01456185,-88.31110823,"http://www.inaturalist.org/observations/3637809","Gall","","developing","developing",189,2897.09838867,2897.09838867,1061.70214844,1061.70214844,"2016-07-07",NA,NA,"developing","developing",0.399126567612069,"2016-12-31",7258.59570312,3044.05908203,0.348778430322706,189
3681342,"2015-12-31","Eurosta solidaginis",42.478768,-76.451143,"http://www.inaturalist.org/observations/3681342","Gall","","developing","developing",197,3047.92919922,3047.92919922,1038.69812012,1038.69812012,"2016-07-15",NA,NA,"developing","developing",0.44640807982336,"2016-12-31",6827.67480469,2651.6862793,0.391712295767582,197
3759323,"2015-12-31","Eurosta solidaginis",41.5691933642,-81.4157968295,"http://www.inaturalist.org/observations/3759323","Gall","","developing","developing",210,4149.83544922,4149.83544922,1720.58288574,1720.58288574,"2016-07-28",NA,NA,"developing","developing",0.519781557347152,"2016-12-31",7983.80664062,3449.96826172,0.498724265040686,210
3785935,"2015-12-31","Eurosta solidaginis",42.7902429505,-74.8640226201,"http://www.inaturalist.org/observations/3785935","Gall","","developing","developing",214,3510.27685547,3510.27685547,1284.43383789,1284.43383789,"2016-08-01",NA,NA,"developing","developing",0.55017091231958,"2016-12-31",6380.33886719,2362.52514648,0.543669911748333,214
3824358,"2015-12-31","Eurosta solidaginis",42.3749487241,-83.9214876492,"http://www.inaturalist.org/observations/3824358","Gall","","developing","developing",220,4285.03320312,4285.03320312,1817.5390625,1817.5390625,"2016-08-07",NA,NA,"developing","developing",0.580540498988837,"2016-12-31",7381.10986328,3078.60913086,0.590376688057271,220
3889488,"2015-12-31","Eurosta solidaginis",47.31163,-91.246085,"http://www.inaturalist.org/observations/3889488","Gall","","developing","developing",226,3272.56884766,3272.56884766,1191.75195312,1191.75195312,"2016-08-13",NA,NA,"developing","developing",0.600523590561345,"2016-12-31",5449.52587891,1805.53320312,0.660055406934986,226
3891257,"2015-12-31","Eurosta solidaginis",41.24589862,-73.66998946,"http://www.inaturalist.org/observations/3891257","Gall","","developing","developing",227,5039.61962891,5039.61962891,2176.90917969,2176.90917969,"2016-08-14",NA,NA,"developing","developing",0.631245767696394,"2016-12-31",7983.609375,3317.01049805,0.656286490793369,227
3967221,"2015-12-31","Eurosta solidaginis",42.8581035929,-72.720846003,"http://www.inaturalist.org/observations/3967221","Gall","","developing","developing",239,4400.08837891,4400.08837891,1769.97521973,1769.97521973,"2016-08-26",NA,NA,"developing","developing",0.707615072106066,"2016-12-31",6218.19482422,2281.55249023,0.775776681583851,239
3985415,"2015-12-31","Eurosta solidaginis",44.56582959,-72.84876644,"http://www.inaturalist.org/observations/3985415","Gall","","developing","developing",240,4225.82177734,4225.82177734,1711.29455566,1711.29455566,"2016-08-27",NA,NA,"developing","developing",0.716541396211422,"2016-12-31",5897.52636719,2194.59399414,0.779777289206794,240
3985559,"2015-12-31","Eurosta solidaginis",44.01252,-96.32384,"http://www.inaturalist.org/observations/3985559","Gall","","dormfall","dormfall",241,4831.60986328,4831.60986328,2112.95581055,2112.95581055,"2016-08-28",NA,NA,"dormant","dormant",0.716595195221457,"2016-12-31",6742.45361328,2679.69506836,0.78850606380492,241
