"","YEAR","SITE","namSite","MAS_LEAF","GAL_LEAF","NSP_LEAF","MAS_LEAF2","GAL_LEAF2","NSP_LEAF2","MAS_NL","GAL_NL","NSP_NL","GALL_NT","NGAL_NT","ANDRICUS","A_KINGI","A_FULLAW","A_PARMULA","A_CONFER","NEUROTER","N_SALT","ANTRON","A_DOUG","A_CLAVULA","NTREES","LAT","LONG"
"1",2000,1,"Hastings",0.0046,1.569,0.217,0.0046,1.5498,0.2029,8e-04,0.2857,0.0381,0.0247,8.0889,0.004386,0.00288,7.9e-05,4.5e-05,0.001379,0,0,0.000244,0.000244,0,45,36.2,121.55
"2",2001,1,"Hastings",0.014,5.1511,0.3624,0.0085,1.6981,0.3073,0.002,0.6839,0.0572,0.0856,32.78,0.003586,0.002593,0.000291,0.000392,0.00031,0.003332,4e-05,0.005632,0.004773,0.000145,50,36.2,121.55
"3",2002,1,"Hastings",0.0012,0.4394,0.1715,0.0012,0.4262,0.1639,2e-04,0.0673,0.0257,0.0073,2.7246,0.000852,7e-04,3.5e-05,6.8e-05,4.9e-05,6e-06,6e-06,0.00032,0.00029,1.4e-05,69,36.2,121.55
"4",2003,1,"Hastings",0.0018,0.467,0.1258,0.0018,0.4585,0.1195,2e-04,0.0545,0.0165,0.0107,2.6515,0.001516,0.001342,5.8e-05,6.7e-05,4.3e-05,1.3e-05,1.3e-05,0.000266,0.000251,1.5e-05,66,36.2,121.55
"5",2004,1,"Hastings",0.0056,1.3039,0.3243,0.0051,1.1362,0.2801,0.0011,0.2366,0.0569,0.0332,7.2432,0.004264,0.002052,0.000188,0.000149,0.001672,5.6e-05,5.6e-05,0.001105,0.000712,0.000295,74,36.2,121.55
"6",2005,1,"Hastings",0.0105,1.3625,0.2241,0.0053,0.8857,0.1779,0.0019,0.2412,0.0404,0.0709,8.9275,0.004116,0.003791,1.9e-05,0,0.000233,0,0,0.001257,0.00104,0.000206,69,36.2,121.55
"7",2006,1,"Hastings",0.0031,0.693,0.2113,0.0028,0.6027,0.1901,5e-04,0.1231,0.0375,0.017,3.7681,0.001522,0.001126,0,3.6e-05,0.000319,5.5e-05,5.5e-05,0.001219,0.001203,1.5e-05,69,36.2,121.55
"8",2003,2,"Jasper Ridge",0.0094,1.283,0.2501,0.0038,1.2195,0.2254,0.0015,0.1832,0.0301,0.069,8.8333,0.002196,0.002013,0,0.000138,4.5e-05,9.9e-05,9.9e-05,0.001644,0.001407,6.7e-05,30,37.4,122.22
"9",2006,2,"Jasper Ridge",0.0019,0.7212,0.2933,0.0018,0.5709,0.258,4e-04,0.165,0.064,0.0049,1.7647,0.0013,0.000902,0,0.000162,0.000126,7.6e-05,7.6e-05,0.000559,0.000559,0,34,37.4,122.22
"10",2000,2,"Jasper Ridge",0.0077,1.5243,0.248,0.0047,1.4942,0.2179,0.0022,0.3264,0.0553,0.0666,11.1579,0.004106,0.00351,9.4e-05,0.000173,0,2e-05,2e-05,0.00095,0.000851,9.9e-05,19,37.4,122.22
