id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
473067,корбан,und,"","",,Український,Valde,2021-11-28T19:08:20Z
494137,Anthemis pauciloba Boiss.,und,"","",,קחוון דל אונות,אלאור לוי,2016-05-02T10:52:00Z
47120,Членистоногие,und,"","",,Русский,Aleksey Andreyanov,2015-08-25T08:21:29Z
52404,Бронзовки,und,"","",,Русский,Aleksey Andreyanov,2018-06-04T19:24:03Z
61857,Журчалка шмелевидная,und,"","",,Русский,Artyom Matrokov,2018-09-14T09:56:14Z
78678,Горец птичий,und,"","",,Русский,Artyom Matrokov,2018-09-16T12:29:28Z
52681,Орляк обыкновенный,und,"","",,Русский,Artyom Matrokov,2018-09-20T20:08:00Z
75762,Икотник серый,und,"","",,Русский,Artyom Matrokov,2018-09-25T08:28:46Z
780253,Белемниты,und,"","",,Русский,Artyom Matrokov,2018-09-25T15:48:04Z
55667,Мшанка лежачая,und,"","",,Русский,Artyom Matrokov,2018-10-24T21:00:25Z
464801,Ирис злаковидный,und,"","",,Русский,Юрий Данилевский (Yuriy Danilevsky),2018-12-16T21:47:52Z
60208,Зюзник,und,"","",,Русский,Andrey Danilin,2019-01-09T12:09:58Z
52673,Хвощ зимующий,und,"","",,Русский,Andrey Danilin,2019-01-15T14:22:28Z
75566,Хрен обыкновенный,und,"","",,Русский,Andrey Danilin,2019-01-15T14:38:11Z
64694,Лох узколистный,und,"","",,Русский,Andrey Danilin,2019-01-15T14:42:41Z
166723,Флокс сибирский,und,"","",,Русский,Konstantin Romanov,2019-01-20T08:34:50Z
139629,Астрагал волжский,und,"","",,Русский,Vadim Prokhorov,2019-01-23T10:26:15Z
438254,Бодяк черкесский,und,"","",,Русский,Vadim Prokhorov,2019-01-23T10:29:13Z
852226,Астрагал Цингера,und,"","",,Русский,Vadim Prokhorov,2019-01-24T05:08:12Z
136604,Птилиум гребенчатый,und,"","",,Русский,Eduard Garin,2019-02-05T21:55:42Z
82566,Щитовник гребенчатый,und,"","",,Русский,Eduard Garin,2019-02-05T21:57:21Z
119450,Вереск обыкновенный,und,"","",,Русский,Eduard Garin,2019-02-06T17:44:43Z
217078,Кладония гроздевая,und,"","",,Русский,Eduard Garin,2019-02-06T19:14:35Z
82306,Аир обыкновенный,und,"","",,Русский,Eduard Garin,2019-02-06T19:16:33Z
205320,Орехотворка розанная,und,"","",,Русский,Eduard Garin,2019-02-06T19:18:13Z
126522,Тубифера ржавая,und,"","",,Русский,Eduard Garin,2019-02-06T21:27:20Z
54607,Кладония вильчатая,und,"","",,Русский,Eduard Garin,2019-02-07T18:45:23Z
320843,Кладония лесная,und,"","",,Русский,Eduard Garin,2019-02-07T18:47:32Z
179035,Кладония рогатая,und,"","",,Русский,Eduard Garin,2019-02-07T18:48:43Z
179035,Кладония роговидная,und,"","",,Русский,Eduard Garin,2019-02-07T18:49:07Z
180456,Кладония пустая,und,"","",,Русский,Eduard Garin,2019-02-07T18:50:21Z
180456,Кладония пустоватая,und,"","",,Русский,Eduard Garin,2019-02-07T18:50:41Z
119778,Кладония оленья,und,"","",,Русский,Eduard Garin,2019-02-07T18:51:23Z
154189,Аулакомниум болотный,und,"","",,Русский,Eduard Garin,2019-02-07T18:52:20Z
123134,Дикранум метловидный,und,"","",,Русский,Eduard Garin,2019-02-07T18:53:21Z
123134,Дикран метельчатый,und,"","",,Русский,Eduard Garin,2019-02-07T18:53:43Z
194681,Фисция сизая,und,"","",,Русский,Eduard Garin,2019-02-08T08:08:57Z
179748,Пельтигера Дегена,und,"","",,Русский,Eduard Garin,2019-02-08T08:11:17Z
559671,Череда лучистая,und,"","",,Русский,Eduard Garin,2019-02-10T22:36:44Z
859270,Тополь длиннолистный,und,"","",,Русский,Eduard Garin,2019-02-10T22:37:47Z
170939,Тополь сереющий,und,"","",,Русский,Eduard Garin,2019-02-10T22:39:52Z
170939,Тополь седеющий,und,"","",,Русский,Eduard Garin,2019-02-10T22:40:12Z
784562,Тополь лавролистный,und,"","",,Русский,Eduard Garin,2019-02-10T22:40:58Z
78699,Тополь волосистоплодный,und,"","",,Русский,Eduard Garin,2019-02-10T22:41:41Z
50623,Рутовые,und,"","",,Русский,Andrey Danilin,2019-02-14T13:35:50Z
484663,Омела окрашенная,und,"","",,Русский,Andrey Danilin,2019-02-17T17:05:47Z
126636,Почковидный хилокорус,und,"","",,Русский,Andrey Danilin,2019-02-20T20:14:47Z
125689,Млечник камфорный,und,"","",,Русский,Eduard Garin,2019-02-24T17:20:25Z
474467,Черёмуха Маака,und,"","",,Русский,Eduard Garin,2019-03-04T09:03:56Z
170937,Тополь берлинский,und,"","",,Русский,Eduard Garin,2019-03-04T09:06:03Z
117326,Ель канадская,und,"","",,Русский,Eduard Garin,2019-03-04T09:47:05Z
54762,Клён серебристый,und,"","",,Русский,Eduard Garin,2019-03-04T10:39:54Z
129204,Ушковый Прудовик,und,"","",,Русский,Kudaibergen Amirekul,2019-03-09T16:12:16Z
331124,Лимон,und,"","",,Русский,Eduard Garin,2019-03-16T22:49:16Z
63236,Лаковица лаковая,und,"","",,Русский,Eduard Garin,2019-03-17T23:12:27Z
431437,Пеперомия многокистевая,und,"","",,Русский,Eduard Garin,2019-04-01T14:50:08Z
427352,Пеперомия сморщенная,und,"","",,Русский,Eduard Garin,2019-04-01T14:50:41Z
338638,Тюльпан Биберштейна,und,"","",,Русский,Михаил Кривошеев / Mikhail Krivosheev,2019-04-16T08:48:33Z
244656,Совка ранняя фиолетово-серая,und,"","",,Русский,Eduard Garin,2019-04-24T07:58:03Z
55853,Бруннера,und,"","",,Русский,Eduard Garin,2019-04-29T22:06:01Z
126913,Саркосцифа австрийская,und,"","",,Русский,Andrey Danilin,2019-05-05T20:23:49Z
361653,Лапчатка низкая,und,"","",,Русский,Andrey Danilin,2019-05-11T11:53:07Z
