id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
43794,Abagôlo,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:02:01Z
46095,Agaskw,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:02:54Z
372843,Akikw,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:03:38Z
74113,Aksen,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:04:09Z
520586,Anikwses,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:05:33Z
119817,Apena,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:06:22Z
41638,Awasos,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:07:04Z
41976,Bezo,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:07:54Z
49825,Gabasa,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:08:47Z
52391,Goa,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:09:13Z
19893,Kokokhas,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:10:05Z
43096,Matguas,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:11:27Z
522193,Moz,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:12:00Z
49589,Môlazigan,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:12:51Z
906,Nahama,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:13:39Z
42158,Nolka,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:15:04Z
42007,Pitôlo,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:16:09Z
339576,Planikw,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:16:58Z
42408,Pziko,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:17:30Z
846224,Segôgw,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:18:06Z
85553,Skog,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:18:50Z
43794,Tmakwa,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:19:48Z
55425,Wasawa,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:20:27Z
7006,Wôbigilhakw,und,"","",,Abenaki,anneliese merrigan,2020-07-21T03:21:34Z
