id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
344830,Ar,und,"","",,Abinomn,anneliese merrigan,2020-07-21T03:23:48Z
119157,Arkon,und,"","",,Abinomn,anneliese merrigan,2020-07-21T03:40:06Z
40268,Asowe,und,"","",,Abinomn,anneliese merrigan,2020-07-21T03:41:32Z
85552,Boriwai,und,"","",,Abinomn,anneliese merrigan,2020-07-21T03:43:51Z
70027,Borka,und,"","",,Abinomn,anneliese merrigan,2020-07-21T03:44:39Z
700600,Brekwin,und,"","",,Abinomn,anneliese merrigan,2020-07-21T03:47:22Z
26041,Deraw,und,"","",,Abinomn,anneliese merrigan,2020-07-21T03:51:37Z
371057,Dom,und,"","",,Abinomn,anneliese merrigan,2020-07-21T03:52:21Z
47927,Dosibaw,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:14:56Z
42804,Isiboin,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:18:12Z
85552,Kangu,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:19:22Z
5438,Keira,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:19:54Z
42804,Kidomi,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:21:14Z
20498,Komosin,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:22:12Z
47224,Maw,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:27:35Z
47198,Mefi ae,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:31:26Z
39393,Meyan,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:32:30Z
52134,Mingkin,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:33:46Z
49213,Mum,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:37:20Z
371057,Perebaw,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:39:44Z
552174,Piaki,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:40:20Z
63081,Piar,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:40:48Z
47118,Prakwen,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:41:49Z
700600,Saseinakin,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:42:46Z
47208,Singker,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:44:26Z
49556,Sm,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:46:44Z
48111,Tigwrere,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:52:36Z
50190,Trere,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:53:58Z
42896,We,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:54:29Z
19350,Weimn,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:55:08Z
19195,Wirowei,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:55:51Z
2314,Wokin,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:57:35Z
45933,Wrew,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:58:23Z
62811,Yebaga,und,"","",,Abinomn,anneliese merrigan,2020-07-21T04:59:00Z
