id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
49641,Cabeeh,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066719/common/55540,Aceh,,2021-07-28T13:36:19Z
52466,Leubiem,und,"","",,Aceh,Zane Roskoph,2021-07-29T02:08:44Z
53669,Leubiem bintang,und,"","",,Aceh,Zane Roskoph,2021-07-30T11:44:35Z
97001,Gerape,und,"","",,Aceh,Zane Roskoph,2021-07-31T20:11:22Z
52456,Balufana,und,"","",,Aceh,Zane Roskoph,2021-07-31T22:38:14Z
52456,Baraka,und,"","",,Aceh,Zane Roskoph,2021-07-31T22:38:37Z
52456,Gerape,und,"","",,Aceh,Zane Roskoph,2021-07-31T22:39:01Z
52456,Geurape brinchek itam,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073036/common/61452,Aceh,,2021-07-31T22:39:36Z
425583,Ceuradiëh,und,"","",,Aceh,Zane Roskoph,2021-08-02T12:07:06Z
512140,Blaneut,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Aceh,,2021-09-01T12:23:47Z
106222,Blaneut,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Aceh,,2021-09-01T12:23:47Z
97004,Gerape pandak,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Aceh,,2021-10-09T15:58:29Z
97004,Geurape pandak,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Aceh,,2021-10-09T15:58:42Z
97004,Lapu-lapu,und,"","",,Aceh,Zane Roskoph,2021-10-09T15:59:02Z
47251,Alu-alu,und,"","",,Aceh,Zane Roskoph,2021-10-17T19:52:05Z
47256,Tangkulo,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Aceh,Donald Davesne,2021-10-17T19:52:23Z
136601,Tangkulo,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Aceh,,2021-10-17T19:52:24Z
47251,Tangkulo,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Aceh,,2021-10-17T19:52:27Z
47251,Baracuda,und,"","",,Aceh,Zane Roskoph,2021-10-17T19:52:30Z
122514,Gantub kuneng,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Aceh,,2021-12-05T23:54:11Z
