id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
56727,Assikchi laana,und,"","",,Alabama,anneliese merrigan,2020-07-21T08:32:28Z
54498,Assikchìlpa hòmma,und,"","",,Alabama,anneliese merrigan,2020-07-21T08:33:18Z
50299,Biyyòkha,und,"","",,Alabama,anneliese merrigan,2020-07-21T08:34:21Z
48448,Chassi,und,"","",,Alabama,anneliese merrigan,2020-07-21T08:35:14Z
85553,Chinto,und,"","",,Alabama,anneliese merrigan,2020-07-21T08:36:34Z
43095,Chokfi,und,"","",,Alabama,anneliese merrigan,2020-07-21T08:38:14Z
42069,Chola,und,"","",,Alabama,anneliese merrigan,2020-07-21T08:39:26Z
6912,Chooskani,und,"","",,Alabama,anneliese merrigan,2020-07-21T08:40:30Z
538904,Foho,und,"","",,Alabama,anneliese merrigan,2020-07-21T08:41:21Z
54781,Aalaana,und,"","",,Alabama,anneliese merrigan,2020-07-21T08:48:00Z
53898,Aataksi ipa,und,"","",,Alabama,anneliese merrigan,2020-07-21T08:51:22Z
54654,Aatichòoba ichokhiska,und,"","",,Alabama,anneliese merrigan,2020-07-21T08:53:44Z
119955,Aatichoosanàyli,und,"","",,Alabama,anneliese merrigan,2020-07-21T08:54:36Z
119971,Aatimpiskachàali,und,"","",,Alabama,anneliese merrigan,2020-07-21T08:56:48Z
50861,Aatipachobahakcho,und,"","",,Alabama,anneliese merrigan,2020-07-21T08:57:45Z
51874,Aatyammichi,und,"","",,Alabama,anneliese merrigan,2020-07-21T09:00:43Z
547193,Abáksapàlki,und,"","",,Alabama,anneliese merrigan,2020-07-21T09:04:31Z
116333,Aissihatka,und,"","",,Alabama,anneliese merrigan,2020-07-21T09:11:39Z
49662,Akhatka,und,"","",,Alabama,anneliese merrigan,2020-07-21T09:13:03Z
47727,Akhommachi,und,"","",,Alabama,anneliese merrigan,2020-07-21T09:13:50Z
76538,Akomaali,und,"","",,Alabama,anneliese merrigan,2020-07-21T09:15:38Z
30983,Aha,und,"","",,Alabama,anneliese merrigan,2020-07-21T09:18:21Z
56232,Apatìlli,und,"","",,Alabama,anneliese merrigan,2020-07-21T09:26:01Z
82813,Atchòobittabi,und,"","",,Alabama,anneliese merrigan,2020-07-21T09:30:52Z
54771,Ayaanabi,und,"","",,Alabama,anneliese merrigan,2020-07-21T09:33:12Z
51122,Ayiipifo pakaali,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:01:47Z
17855,Bakha,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:06:49Z
60748,Bakcho hollo,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:08:15Z
60748,Bakchokchako,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:08:45Z
168004,Bakcho itabatli,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:10:27Z
53438,Bakchopakaali,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:11:14Z
60773,Baɬkapihchi,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:15:11Z
54779,Baya,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:19:04Z
54801,Bihi,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:19:51Z
50999,Bihichoba,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:20:38Z
83435,Biɬko,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:22:13Z
106195,Chaalo,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:29:36Z
17871,Chahochahka,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:31:20Z
14898,Chaɬcha,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:33:06Z
72338,Champolapihchi,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:34:55Z
47821,Chichoba kachàali,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:38:03Z
54795,Chihkafo,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:39:48Z
12727,Chíiskokko,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:40:51Z
82329,Chilaaka,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:42:45Z
7562,Chilòyha,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:44:20Z
30692,Chintochoba,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:46:06Z
29044,Chinto isbakpàtha,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:47:07Z
28339,Chintokchákkosi,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:48:04Z
28627,Chintopalki,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:48:45Z
119269,Chisa,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:49:46Z
870778,Chissi,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:50:41Z
45763,Chissichoba,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:51:07Z
54825,Chittiɬhòmma,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:52:15Z
1426,Chokàⁿhka,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:54:20Z
44027,Chokbahta,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:55:12Z
199837,Chokbilàkbila,und,"","",,Alabama,anneliese merrigan,2020-07-21T19:56:22Z
82529,Chokkapihchi,und,"","",,Alabama,anneliese merrigan,2020-07-21T20:23:42Z
82529,Chokko,und,"","",,Alabama,anneliese merrigan,2020-07-21T20:24:03Z
160965,Chommilòmhi,und,"","",,Alabama,anneliese merrigan,2020-07-21T20:25:56Z
6930,Chooskani ichiksa okchakko,und,"","",,Alabama,anneliese merrigan,2020-07-21T20:29:46Z
49399,Chowwaala,und,"","",,Alabama,anneliese merrigan,2020-07-21T20:30:45Z
59921,Choyyi,und,"","",,Alabama,anneliese merrigan,2020-07-21T20:53:00Z
81901,Choyyihissi hobaski,und,"","",,Alabama,anneliese merrigan,2020-07-21T20:53:38Z
49396,Choyyihissi kobayli,und,"","",,Alabama,anneliese merrigan,2020-07-21T20:54:23Z
