id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
74890,Ag-tkha-Gikh,und,"","",http://www.ubio.org/browser/details.php?namebankID=1559134,Aleut,Bobby McCabe,2014-11-01T16:06:23Z
107570,Adgayuq,und,"","",,Aleut,anneliese merrigan,2020-07-26T04:28:41Z
930,Agdiikax,und,"","",,Aleut,anneliese merrigan,2020-07-26T04:44:09Z
53701,Chagix̂,und,"","",,Aleut,anneliese merrigan,2020-07-26T04:46:39Z
4494,Gidaax̂,und,"","",,Aleut,anneliese merrigan,2020-07-26T04:47:59Z
41708,Isux,und,"","",,Aleut,anneliese merrigan,2020-07-26T04:49:11Z
42199,Itx̂aygix̂,und,"","",,Aleut,anneliese merrigan,2020-07-26T04:49:43Z
56312,Kakax̂,und,"","",,Aleut,anneliese merrigan,2020-07-26T04:50:44Z
56312,Kiikax̂,und,"","",,Aleut,anneliese merrigan,2020-07-26T04:51:09Z
180029,Ptxitax,und,"","",,Aleut,anneliese merrigan,2020-07-26T04:53:53Z
68077,Qaadas,und,"","",,Aleut,anneliese merrigan,2020-07-26T04:54:35Z
558425,Qagmangix,und,"","",,Aleut,anneliese merrigan,2020-07-26T04:55:50Z
4623,Qaqaĝix̂,und,"","",,Aleut,anneliese merrigan,2020-07-26T04:56:45Z
7030,Saakux̂,und,"","",,Aleut,anneliese merrigan,2020-07-26T04:57:33Z
53094,Taagangix,und,"","",,Aleut,anneliese merrigan,2020-07-26T04:58:57Z
5305,Tiĝlax̂,und,"","",,Aleut,anneliese merrigan,2020-07-26T05:00:12Z
233598,Uuquchiingix,und,"","",,Aleut,anneliese merrigan,2020-07-26T05:01:21Z
