id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
48715,в'апаӄ,und,"","",,Alyutor,anneliese merrigan,2020-07-26T05:06:59Z
42048,г'игылӈын,und,"","",,Alyutor,anneliese merrigan,2020-07-26T05:07:47Z
41641,кэӈын,und,"","",,Alyutor,anneliese merrigan,2020-07-26T05:08:53Z
46001,льав'ыльг'ан,und,"","",,Alyutor,anneliese merrigan,2020-07-26T05:10:21Z
855312,маруӄыл,und,"","",,Alyutor,anneliese merrigan,2020-07-26T05:11:56Z
43117,мильут,und,"","",,Alyutor,anneliese merrigan,2020-07-26T05:14:09Z
47170,пыг'унны,und,"","",,Alyutor,anneliese merrigan,2020-07-26T05:15:11Z
41461,риририр,und,"","",,Alyutor,anneliese merrigan,2020-07-26T05:15:55Z
153003,рыттырыт,und,"","",,Alyutor,anneliese merrigan,2020-07-26T05:16:27Z
42069,татул,und,"","",,Alyutor,anneliese merrigan,2020-07-26T05:17:06Z
447155,яӄяӄ,und,"","",,Alyutor,anneliese merrigan,2020-07-26T05:18:51Z
187548,ӄитаӄит,und,"","",,Alyutor,anneliese merrigan,2020-07-26T05:19:35Z
533445,ӄураӈа,und,"","",,Alyutor,anneliese merrigan,2020-07-26T05:20:57Z
