id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
122796,ba-re-ba-ree,und,"","",http://www.ubio.org/browser/details.php?namebankID=5383277,Amharic,Zinogre,2012-11-05T21:35:51Z
61393,Vanila,und,"","",http://www.ubio.org/browser/details.php?namebankID=5382388,Amharic,Ken-ichi Ueda,2015-02-26T21:58:40Z
2,አምደስጌ,und,"","",,Amharic,John E. Christensen,2017-11-30T13:16:00Z
355675,ባለ አከርካሪ,und,"","",,Amharic,John E. Christensen,2017-12-06T10:02:00Z
42045,ቀይ ቀበሮ,und,"","",,Amharic,Bobby McCabe,2018-01-18T21:35:09Z
42045,ዋልጌ,und,"","",,Amharic,Bobby McCabe,2018-01-18T21:35:30Z
120156,የቤት ዝንብ,und,"","",,Amharic,John E. Christensen,2018-02-05T17:37:26Z
156846,ኮሰረት,und,"","",,Amharic,sea-kangaroo,2018-07-10T02:22:59Z
140998,ቡላ,und,"","",,Amharic,sea-kangaroo,2018-07-10T02:24:11Z
41789,መጣጤ,und,"","",,Amharic,John E. Christensen,2018-11-14T10:05:25Z
21359,እንቁራሪት,und,"","",,Amharic,John E. Christensen,2018-12-21T09:45:41Z
45933,ሽኮኮ,und,"","",,Amharic,John E. Christensen,2019-01-14T09:15:38Z
40151,ጡት አጥቢ,und,"","",,Amharic,John E. Christensen,2019-02-07T18:16:26Z
18874,ብቅበቃ,und,"","",,Amharic,John E. Christensen,2019-03-04T13:06:55Z
47217,ኦርኪድ,und,"","",,Amharic,John E. Christensen,2019-03-15T10:44:13Z
43367,ሰብአስተኔ,und,"","",,Amharic,John E. Christensen,2019-05-11T11:17:28Z
505478,ዶሮ,und,"","",,Amharic,John E. Christensen,2019-10-05T14:38:37Z
131236,ቫይረሶች,und,"","",,Amharic,James K. Douch,2020-02-23T01:46:00Z
526556,ኣቆስጣ,und,"","",,Amharic,John E. Christensen,2020-06-07T11:38:09Z
20979,ጓጉንቸር,und,"","",,Amharic,John E. Christensen,2020-12-07T08:18:46Z
157765,ባሚያ,und,"","",,Amharic,Johan Devos,2020-12-20T20:26:53Z
41970,የዱር ድመት,und,"","",,Amharic,Zane Roskoph,2021-07-30T11:48:50Z
42007,የተራራ አንበሣ,und,"","",,Amharic,Zane Roskoph,2021-08-01T00:26:51Z
123356,ትርንጎ,und,"","",,Amharic,Zane Roskoph,2021-08-10T12:34:01Z
41644,የዋልታ ድብ,und,"","",,Amharic,Zane Roskoph,2021-08-11T15:57:38Z
394900,አረንጓዴ ዛጎል አሳ,und,"","",,Amharic,Zane Roskoph,2021-08-12T15:49:42Z
41955,ኣቦ ሸማኔ,und,"","",,Amharic,Zane Roskoph,2021-08-13T11:49:33Z
41964,አንበሳ,und,"","",,Amharic,Zane Roskoph,2021-08-24T12:46:36Z
74831,አመዳይ ነብር,und,"","",,Amharic,Zane Roskoph,2021-08-24T15:40:09Z
41967,ነብር,und,"","",,Amharic,Zane Roskoph,2021-08-26T14:55:04Z
594430,kontir,und,"","",,Amharic,Botswanabugs,2021-09-28T11:26:21Z
594430,sbansagirar,und,"","",,Amharic,Botswanabugs,2021-09-28T11:27:01Z
469472,ፖም,und,"","",,Amharic,DW,2022-03-27T04:13:59Z
