id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
114126,Ton france,und,Martinique,MQ,,Antillean Creole,Zane Roskoph,2021-08-30T12:28:37Z
49617,Céro,und,"","",,Antillean Creole,Zane Roskoph,2021-09-18T14:37:28Z
154499,Taza blan,und,Martinique,MQ,,Antillean Creole,Zane Roskoph,2021-09-18T14:51:02Z
179471,Taza doré,und,Martinique,MQ,,Antillean Creole,Zane Roskoph,2021-09-18T15:18:07Z
114123,Ton noir,und,Martinique,MQ,,Antillean Creole,Zane Roskoph,2021-09-18T18:53:05Z
114122,Ton blan,und,Martinique,MQ,,Antillean Creole,Zane Roskoph,2021-09-18T20:02:57Z
47292,Colas,und,"","",,Antillean Creole,Zane Roskoph,2021-09-18T23:28:33Z
47292,Sad kola,und,Martinique,MQ,,Antillean Creole,Zane Roskoph,2021-09-18T23:28:59Z
131531,Zorèy nwè,und,"","",,Antillean Creole,Zane Roskoph,2021-09-19T00:39:37Z
131531,Oreille noire,und,"","",,Antillean Creole,Zane Roskoph,2021-09-19T00:39:53Z
47257,Taza rélé,und,Martinique,MQ,,Antillean Creole,Zane Roskoph,2021-09-20T00:10:46Z
47238,Trõmpet lamê,und,Dominica,DM,,Antillean Creole,Zane Roskoph,2021-10-16T18:25:00Z
95066,Blus blã,und,Dominica,DM,,Antillean Creole,Zane Roskoph,2021-10-17T13:47:56Z
52464,Bus neg,und,Dominica,DM,,Antillean Creole,Zane Roskoph,2021-10-17T14:18:41Z
47251,Bécune,und,Martinique,MQ,,Antillean Creole,Zane Roskoph,2021-10-17T22:32:15Z
