id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
6898,WFWD,und,"","",,Aou 4 Letter Codes,Ken-ichi Ueda,2013-11-26T02:26:13Z
6893,BBWD,und,"","",,Aou 4 Letter Codes,Ken-ichi Ueda,2013-11-26T02:26:13Z
144423,TUBG,und,"","",,Aou 4 Letter Codes,d_kluza,2013-11-26T02:26:15Z
7019,GWFG,und,"","",,Aou 4 Letter Codes,sea-kangaroo,2013-11-26T02:26:16Z
7087,BRAN,und,"","",,Aou 4 Letter Codes,d_kluza,2013-11-26T02:26:19Z
59220,CACG,und,"","",,Aou 4 Letter Codes,Ken-ichi Ueda,2013-11-26T02:26:20Z
7089,CANG,und,"","",,Aou 4 Letter Codes,Ken-ichi Ueda,2013-11-26T02:26:20Z
6921,MUSW,und,"","",,Aou 4 Letter Codes,野呂瀬,2013-11-26T02:26:22Z
7120,MUDU,und,"","",,Aou 4 Letter Codes,Cheng Te Hsu,2013-11-26T02:26:24Z
7107,WODU,und,"","",,Aou 4 Letter Codes,Ken-ichi Ueda,2013-11-26T02:26:25Z
6930,MALL,und,"","",,Aou 4 Letter Codes,Ken-ichi Ueda,2013-11-26T02:26:27Z
6923,LAYD,und,"","",,Aou 4 Letter Codes,lwnrngr,2013-11-26T02:26:28Z
7045,COMP,und,"","",,Aou 4 Letter Codes,Chris Cheatle,2013-11-26T02:26:34Z
7046,TUDU,und,"","",,Aou 4 Letter Codes,Sonia Landowska,2013-11-26T02:26:35Z
7047,GRSC,und,"","",,Aou 4 Letter Codes,Ken-ichi Ueda,2013-11-26T02:26:35Z
7054,LESC,und,"","",,Aou 4 Letter Codes,Kitty Maurey,2013-11-26T02:26:35Z
144220,BLSC,und,"","",,Aou 4 Letter Codes,Ken-ichi Ueda,2013-11-26T02:26:40Z
6994,BAGO,und,"","",,Aou 4 Letter Codes,Ken-ichi Ueda,2013-11-26T02:26:42Z
7109,HOME,und,"","",,Aou 4 Letter Codes,Ken-ichi Ueda,2013-11-26T02:26:42Z
7004,COME,und,"","",,Aou 4 Letter Codes,Alec Cowles,2013-11-26T02:26:43Z
6996,RBME,und,"","",,Aou 4 Letter Codes,Ken-ichi Ueda,2013-11-26T02:26:43Z
2090,PLCH,und,"","",,Aou 4 Letter Codes,Ken-ichi Ueda,2013-11-26T02:26:44Z
2084,RVCH,und,"","",,Aou 4 Letter Codes,Ken-ichi Ueda,2013-11-26T02:26:45Z
