id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
355675,মেৰুদণ্ডী প্ৰাণী,und,"","",,Assamese,John E. Christensen,2017-12-06T09:59:46Z
11901,অসমীয়া,und,"","",,Assamese,John E. Christensen,2017-12-22T13:28:05Z
50616,গধূলিগোপাল,und,"","",,Assamese,John E. Christensen,2017-12-24T13:12:53Z
40151,তন্যপায়ী প্ৰাণী,und,"","",,Assamese,John E. Christensen,2019-02-07T18:17:45Z
82814,পদুম,und,"","",,Assamese,John E. Christensen,2019-05-05T10:40:07Z
160294,বৰ মানিমুনি,und,"","",,Assamese,harshithjv,2019-07-14T11:06:05Z
505478,কুকুৰা,und,"","",,Assamese,John E. Christensen,2019-10-05T14:33:10Z
917812,দোল হোৰিন,und,"","",,Assamese,harshithjv,2019-11-13T07:12:04Z
20979,ভেকুলী,und,"","",,Assamese,John E. Christensen,2020-12-07T08:19:38Z
47903,কেক্‌টাছ,und,"","",,Assamese,John E. Christensen,2021-02-10T16:22:37Z
114230,Jongapithia,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061239/common/93553,Assamese,,2021-07-14T17:34:23Z
114230,Jungapithia,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061239/common/93551,Assamese,,2021-07-14T17:34:46Z
114230,Peetia,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061239/common/93527,Assamese,,2021-07-14T17:35:00Z
114230,Pithia,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061239/common/93526,Assamese,,2021-07-14T17:35:15Z
114231,Pithia,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061246/common/93428,Assamese,,2021-07-14T17:35:15Z
97280,Haal,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070083/common/128676,Assamese,,2021-07-15T15:36:33Z
97273,Haal,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070070/common/128932,Assamese,,2021-07-15T15:36:34Z
115010,Parhin,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081706/common/102859,Assamese,,2021-07-19T15:49:23Z
115010,Barali,und,"","",,Assamese,Zane Roskoph,2021-07-19T15:50:01Z
115010,Poil,und,"","",,Assamese,Zane Roskoph,2021-07-19T15:50:19Z
115010,Sareng,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081706/common/102851,Assamese,,2021-07-19T15:50:39Z
95038,Garuah bagai,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081711/common/150943,Assamese,Victor HOYEAU,2021-07-27T12:55:50Z
114230,Junga,und,"","",,Assamese,Zane Roskoph,2021-07-27T13:15:20Z
114231,Burapatra,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061246/common/93458,Assamese,,2021-07-27T14:04:47Z
114231,Jonga pethia,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061246/common/93456,Assamese,,2021-07-27T14:05:07Z
114231,Leopithia,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061246/common/93449,Assamese,,2021-07-27T14:05:14Z
114231,Pukkiranga,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061246/common/93424,Assamese,,2021-07-27T14:05:26Z
35172,ইনলেণ্ড টাইপেন,und,"","",,Assamese,Zane Roskoph,2021-08-02T14:23:35Z
30472,ৰাজফেঁটী সাপ,und,"","",,Assamese,Zane Roskoph,2021-08-02T15:13:05Z
41644,বগা ভালুক,und,"","",,Assamese,Zane Roskoph,2021-08-11T15:58:25Z
41964,সিংহ,und,"","",,Assamese,Zane Roskoph,2021-08-24T12:29:54Z
74831,বৰফৰ বাঘ,und,"","",,Assamese,Zane Roskoph,2021-08-24T15:41:26Z
130793,ঢেঁকীয়াপতীয়া বাঘ,und,"","",,Assamese,Zane Roskoph,2021-08-27T12:16:27Z
93987,Kai,und,"","",,Assamese,Zane Roskoph,2021-12-04T16:14:41Z
93987,Kawai,und,"","",,Assamese,Zane Roskoph,2021-12-04T16:15:13Z
93987,Koi,und,"","",,Assamese,Zane Roskoph,2021-12-04T16:15:34Z
114374,Lolholisha,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Assamese,,2021-12-30T23:30:33Z
105252,Bami,und,"","",,Assamese,Zane Roskoph,2022-03-09T23:24:30Z
