id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
492089,Cabeza de pollu,und,"","",,Asturian,John E. Christensen,2017-11-29T07:58:11Z
2,Chordata,und,"","",,Asturian,John E. Christensen,2017-11-30T11:10:44Z
83992,abeduriu común,und,"","",,Asturian,John E. Christensen,2017-12-14T22:09:25Z
49187,Castanea,und,"","",,Asturian,John E. Christensen,2017-12-17T11:04:34Z
47158,Inseutu,und,"","",,Asturian,John E. Christensen,2017-12-23T10:39:30Z
47118,Araneae,und,"","",,Asturian,John E. Christensen,2017-12-29T16:41:26Z
40268,Esperteyu,und,"","",,Asturian,John E. Christensen,2018-01-24T16:22:49Z
53856,carrascu,und,"","",,Asturian,Xurugetu,2019-04-14T17:52:22Z
55757,ciriguenya mayor,und,"","",,Asturian,Xurugetu,2019-04-14T18:10:51Z
47602,cardenya,und,"","",,Asturian,Xurugetu,2019-04-14T18:13:11Z
55848,golgeira,und,"","",,Asturian,Xurugetu,2019-04-14T18:16:52Z
55811,Prunal,und,"","",,Asturian,Xurugetu,2019-04-14T18:19:22Z
55858,corneyal,und,"","",,Asturian,Xurugetu,2019-04-14T18:22:46Z
56152,Ayo ursino,und,"","",,Asturian,Xurugetu,2019-04-14T18:27:00Z
55846,salgeiru,und,"","",,Asturian,Xurugetu,2019-04-14T18:28:41Z
204321,ciriguenya minor,und,"","",,Asturian,Xurugetu,2019-04-14T18:30:10Z
5106,ferre,und,"","",,Asturian,Xurugetu,2019-04-14T18:35:58Z
4643,ferlamicu,und,"","",,Asturian,Xurugetu,2019-04-14T18:37:26Z
5379,franwessu,und,"","",,Asturian,Xurugetu,2019-04-14T18:39:42Z
5265,pardon,und,"","",,Asturian,Xurugetu,2019-04-14T18:41:03Z
472766,Penheirina,und,"","",,Asturian,Xurugetu,2019-04-14T18:42:31Z
4672,Zaparin,und,"","",,Asturian,Xurugetu,2019-04-14T18:46:55Z
5361,Zapiqueira,und,"","",,Asturian,Xurugetu,2019-04-14T18:48:50Z
5267,Pardon,und,"","",,Asturian,Xurugetu,2019-04-14T18:50:57Z
20059,Coruxhon,und,"","",,Asturian,Xurugetu,2019-04-14T19:02:34Z
19898,Coruxhu,und,"","",,Asturian,Xurugetu,2019-04-14T19:03:52Z
20307,Tubeca,und,"","",,Asturian,Xurugetu,2019-04-14T19:05:15Z
20315,Coruxha marinhana,und,"","",,Asturian,Xurugetu,2019-04-14T19:06:52Z
19998,Miagon,und,"","",,Asturian,Xurugetu,2019-04-14T19:09:38Z
20445,Coruxha,und,"","",,Asturian,Xurugetu,2019-04-14T19:10:41Z
20244,Coruxhin,und,"","",,Asturian,Xurugetu,2019-04-14T19:11:58Z
41562,Balhena,und,"","",,Asturian,Xurugetu,2019-04-14T19:23:54Z
41570,Balhena Basca,und,"","",,Asturian,Xurugetu,2019-04-14T19:25:08Z
41550,Balhenatu,und,"","",,Asturian,Xurugetu,2019-04-14T19:27:11Z
41566,Xibarte,und,"","",,Asturian,Xurugetu,2019-04-14T19:28:59Z
41526,Tolinha,und,"","",,Asturian,Xurugetu,2019-04-14T19:31:28Z
41494,Tolinha raxona,und,"","",,Asturian,Xurugetu,2019-04-14T19:33:07Z
41521,Sperlon,und,"","",,Asturian,Xurugetu,2019-04-14T19:34:50Z
41539,Xiborgu,und,"","",,Asturian,Xurugetu,2019-04-14T19:36:16Z
41482,Tschitscharreiru,und,"","",,Asturian,Xurugetu,2019-04-14T19:38:33Z
41529,Arruaxe,und,"","",,Asturian,Xurugetu,2019-04-14T19:41:03Z
41440,Botu,und,"","",,Asturian,Xurugetu,2019-04-14T19:42:59Z
41541,Calderon,und,"","",,Asturian,Xurugetu,2019-04-14T19:44:26Z
41532,Romu aleta curtia,und,"","",,Asturian,Xurugetu,2019-04-14T19:46:04Z
41464,Romu pequenhu,und,"","",,Asturian,Xurugetu,2019-04-14T19:47:10Z
41428,Vacca marinha,und,"","",,Asturian,Xurugetu,2019-04-14T19:48:26Z
74890,Romu,und,"","",,Asturian,Xurugetu,2019-04-14T19:50:01Z
41421,Moscote,und,"","",,Asturian,Xurugetu,2019-04-14T19:51:14Z
41411,Balhena picu True,und,"","",,Asturian,Xurugetu,2019-04-14T19:52:46Z
41413,Balhena picu Sowerby,und,"","",,Asturian,Xurugetu,2019-04-14T19:53:46Z
41505,Tolinha picu blrancu,und,"","",,Asturian,Xurugetu,2019-04-14T19:55:14Z
41733,Lhuw marin,und,"","",,Asturian,Xurugetu,2019-04-14T19:57:00Z
41850,Lhóndriga,und,"","",,Asturian,Xurugetu,2019-04-14T20:01:21Z
569428,Mustelielha,und,"","",,Asturian,Xurugetu,2019-04-14T20:03:51Z
41800,Fhoina,und,"","",,Asturian,Xurugetu,2019-04-14T20:05:53Z
41796,Marta,und,"","",,Asturian,Xurugetu,2019-04-14T20:07:36Z
41808,Papalbina,und,"","",,Asturian,Xurugetu,2019-04-14T20:11:57Z
41812,Tôuron,und,"","",,Asturian,Xurugetu,2019-04-14T20:14:33Z
8088,Glrayu,und,"","",,Asturian,Xurugetu,2019-04-15T17:13:15Z
