id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
84298,At şabalıdı,und,"","",,Azerbaijani,John E. Christensen,2017-11-28T16:45:05Z
47434,Qırtıckimilər,und,"","",,Azerbaijani,John E. Christensen,2017-11-29T09:41:03Z
42357,Alp dağ keçisi,und,"","",,Azerbaijani,John E. Christensen,2017-12-23T17:28:31Z
47686,Protozoylar,und,"","",,Azerbaijani,John E. Christensen,2018-01-10T08:49:54Z
62941,Qramafonçiçək batat,und,"","",,Azerbaijani,John E. Christensen,2018-02-17T13:21:35Z
372739,Altıayaqlılar,und,"","",,Azerbaijani,John E. Christensen,2018-03-07T10:03:38Z
56222,Adi dəvədabanı,und,"","",,Azerbaijani,John E. Christensen,2018-04-10T16:30:55Z
55563,Çoxillik qızçiçəyi,und,"","",,Azerbaijani,John E. Christensen,2018-05-10T16:55:13Z
507134,Henrix tərəsi,und,"","",,Azerbaijani,John E. Christensen,2018-05-15T08:52:48Z
41663,Amerika yenotu,und,"","",,Azerbaijani,John E. Christensen,2018-05-22T19:50:12Z
85553,İlanlar,und,"","",,Azerbaijani,John E. Christensen,2018-06-24T13:39:09Z
71412,Dazıkimilər,und,"","",,Azerbaijani,John E. Christensen,2018-07-01T16:53:22Z
569428,عادی گلینجیک,und,"","",,Azerbaijani,John E. Christensen,2018-07-05T06:43:33Z
51611,Bulaqotu,und,"","",,Azerbaijani,John E. Christensen,2018-11-05T09:46:57Z
47162,Qırtıcçiçəklilər,und,"","",,Azerbaijani,John E. Christensen,2018-11-30T08:21:29Z
42147,Begemot,und,"","",,Azerbaijani,John E. Christensen,2018-12-04T17:25:52Z
371057,Gekkonlar,und,"","",,Azerbaijani,John E. Christensen,2018-12-10T16:31:37Z
63573,کوکنار,und,"","",,Azerbaijani,John E. Christensen,2018-12-16T09:36:34Z
45933,Sincablar,und,"","",,Azerbaijani,John E. Christensen,2019-01-14T09:17:02Z
40151,Məməlilər,und,"","",,Azerbaijani,John E. Christensen,2019-02-07T18:18:55Z
18874,Tutuquşukimilər,und,"","",,Azerbaijani,John E. Christensen,2019-03-04T13:07:35Z
47170,Göbələklər,und,"","",,Azerbaijani,John E. Christensen,2019-04-03T13:15:45Z
133387,Erikakimilər,und,"","",,Azerbaijani,John E. Christensen,2019-04-07T11:57:39Z
118552,پیشیک,und,"","",,Azerbaijani,John E. Christensen,2019-04-14T11:47:03Z
44576,Boz siçovul,und,"","",,Azerbaijani,John E. Christensen,2019-04-17T09:29:37Z
47125,Çiçəkli bitkilər,und,"","",,Azerbaijani,John E. Christensen,2019-04-27T09:46:33Z
50638,Bağayarpağıkimilər,und,"","",,Azerbaijani,John E. Christensen,2019-09-02T11:58:22Z
505478,Toyuq,und,"","",,Azerbaijani,John E. Christensen,2019-10-05T14:34:59Z
233598,Qütb tülküsü,und,"","",,Azerbaijani,John E. Christensen,2019-10-06T20:11:54Z
72281,Şamdangülü,und,"","",,Azerbaijani,John E. Christensen,2019-10-26T07:12:43Z
127355,Sarmaşıqyarpaq meşənovruzu,und,"","",,Azerbaijani,John E. Christensen,2019-11-24T15:36:13Z
130558,Gövdəciksiz acıçiçək,und,"","",,Azerbaijani,Johan Devos,2020-01-29T18:27:31Z
131236,viruslar,und,"","",,Azerbaijani,James K. Douch,2020-02-23T01:46:49Z
891696,Sağsağan,und,"","",,Azerbaijani,John E. Christensen,2020-04-30T13:58:15Z
47126,Bitkilər,und,"","",,Azerbaijani,drfh,2020-05-18T08:30:50Z
56932,Qızılsarmaşıq,und,"","",,Azerbaijani,drfh,2020-05-18T08:34:33Z
50879,Xırdaləçək,und,Azerbaijan,AZ,,Azerbaijani,drfh,2020-05-18T12:10:27Z
76907,Kanada xırdaləçəyi,und,Azerbaijan,AZ,,Azerbaijani,drfh,2020-05-18T12:14:31Z
76904,Qıvrım xırdaləçək,und,Azerbaijan,AZ,,Azerbaijani,drfh,2020-05-18T12:17:53Z
57481,Hasar sarmaşığı,und,Azerbaijan,AZ,,Azerbaijani,drfh,2020-05-18T13:07:37Z
57481,Çəpər sarmaşığı,und,"","",,Azerbaijani,drfh,2020-05-18T13:08:30Z
56031,Çəpərsarmaşığı,und,Azerbaijan,AZ,,Azerbaijani,drfh,2020-05-18T13:23:49Z
362522,Adi boyaqotu,und,Azerbaijan,AZ,,Azerbaijani,drfh,2020-05-18T13:39:38Z
82852,Boyaqotu,und,Azerbaijan,AZ,,Azerbaijani,drfh,2020-05-18T13:40:31Z
82852,Qızılboya,und,Azerbaijan,AZ,,Azerbaijani,drfh,2020-05-18T14:02:16Z
47693,Boyaqotukimilər,und,Azerbaijan,AZ,,Azerbaijani,drfh,2020-05-18T14:03:36Z
55976,Kənafvari asırqalotu,und,Azerbaijan,AZ,,Azerbaijani,drfh,2020-05-20T19:12:10Z
52935,Asırqalotu,und,Azerbaijan,AZ,,Azerbaijani,drfh,2020-05-20T19:13:51Z
54142,Yemlik,und,Azerbaijan,AZ,,Azerbaijani,drfh,2020-05-21T13:00:03Z
482893,Budaqlı danaqıran,und,"","",,Azerbaijani,Johan Devos,2020-06-05T21:00:04Z
50884,Poliporus,und,"","",https://eol.org/pages/16678,Azerbaijani,James Kameron Mitchell,2020-06-25T12:39:22Z
60284,Sürünən ayrıqotu,und,"","",,Azerbaijani,Marina Gorbunova,2020-07-01T00:00:16Z
102966,Dunay qızılbalığı,und,"","",,Azerbaijani,Marina Gorbunova,2020-09-29T16:02:33Z
558634,Kətanquşu,und,"","",,Azerbaijani,Marina Gorbunova,2020-11-06T18:58:55Z
558524,Ağqanad torağayı,und,"","",,Azerbaijani,Marina Gorbunova,2020-11-07T18:15:03Z
