id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
100089,Kerapu lumpur,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073111/common/43243,Bahasa Indonesia,,2021-07-15T12:15:53Z
100090,Kerapu lumpur,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073112/common/43145,Bahasa Indonesia,,2021-07-15T12:15:53Z
100111,Kerapu lumpur,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073135/common/42178,Bahasa Indonesia,,2021-07-15T12:15:53Z
100118,Kerapu lumpur,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073142/common/41866,Bahasa Indonesia,,2021-07-15T12:15:53Z
100141,Kerapu Lumpur,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073162/common/41006,Bahasa Indonesia,,2021-07-15T12:15:54Z
623876,Pari,und,"","",,Bahasa Indonesia,Zane Roskoph,2021-07-15T16:14:46Z
97439,Cucut tekeh,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10065897/common/155180,Bahasa Indonesia,,2021-07-16T13:09:58Z
102599,Cucut tekeh,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10065900/common/203864,Bahasa Indonesia,,2021-07-16T13:09:58Z
110381,Ikan gergaji,und,"","",,Bahasa Indonesia,Zane Roskoph,2021-07-16T16:55:38Z
67971,Pari kodok,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078380/common/265798,Bahasa Indonesia,,2021-07-19T14:59:48Z
67971,Anin,und,"","",,Bahasa Indonesia,Zane Roskoph,2021-07-19T15:00:11Z
67971,Ali,und,"","",,Bahasa Indonesia,Zane Roskoph,2021-07-19T15:00:30Z
115231,Cucut botol,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083925/common/261136,Bahasa Indonesia,,2021-07-20T16:11:38Z
96920,Cucut botol,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083930/common/79449,Bahasa Indonesia,,2021-07-20T16:11:38Z
96922,Cucut botol,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083932/common/79424,Bahasa Indonesia,,2021-07-20T16:11:38Z
96925,Cucut botol,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083936/common/79385,Bahasa Indonesia,,2021-07-20T16:11:39Z
113034,Cucut botol,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083893/common/37209,Bahasa Indonesia,,2021-07-20T16:11:39Z
113036,Cucut botol,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083897/common/37199,Bahasa Indonesia,,2021-07-20T16:11:39Z
49641,Burung laut,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066719/common/55542,Bahasa Indonesia,,2021-07-28T13:36:49Z
99786,Sidat listrik,und,"","",,Bahasa Indonesia,Zane Roskoph,2021-07-29T03:04:13Z
30164,Ular bertentakel,und,"","",,Bahasa Indonesia,Zane Roskoph,2021-07-29T03:50:06Z
97001,Kerapu,und,"","",,Bahasa Indonesia,Zane Roskoph,2021-07-31T20:12:03Z
52456,Kerapu,und,"","",,Bahasa Indonesia,Zane Roskoph,2021-07-31T22:42:15Z
153280,Gapok,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069945/common/133324,Bahasa Indonesia,,2021-08-29T14:00:55Z
1303450,Cucut tekeh,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10065882/common/260092,Bahasa Indonesia,,2021-11-04T23:03:41Z
173412,Renting,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Bahasa Indonesia,,2021-12-24T00:03:38Z
