id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
338159,Epe samo,und,"","",,Bajaw,Zane Roskoph,2021-07-27T16:08:54Z
154282,Pogo panau,und,"","",,Bajaw,Zane Roskoph,2021-07-27T16:25:27Z
135283,Dodoh igah,und,"","",,Bajaw,Zane Roskoph,2021-07-27T17:57:42Z
49641,Dodoh,und,"","",,Bajaw,Zane Roskoph,2021-07-28T13:37:12Z
49639,Kiapu mira binti,und,"","",,Bajaw,Zane Roskoph,2021-07-29T00:14:35Z
53669,Pogo nyuloh,und,"","",,Bajaw,Zane Roskoph,2021-07-30T11:30:43Z
187279,Dodoh,und,"","",,Bajaw,Zane Roskoph,2021-07-30T12:36:17Z
83884,Pogo pote,und,"","",,Bajaw,Zane Roskoph,2021-07-30T19:13:50Z
97001,Kiapu,und,"","",,Bajaw,Zane Roskoph,2021-07-31T20:19:26Z
52456,Kiapu loong,und,"","",,Bajaw,Zane Roskoph,2021-07-31T23:23:52Z
123227,Birra,und,"","",,Bajaw,Zane Roskoph,2021-08-03T11:46:22Z
52451,Kutiteh,und,"","",,Bajaw,Zane Roskoph,2021-08-03T16:02:19Z
52323,Pello mira,und,"","",,Bajaw,Zane Roskoph,2021-08-12T15:57:14Z
153280,Meah pote,und,"","",,Bajaw,Zane Roskoph,2021-08-29T14:00:35Z
196838,Timbungan tubba,und,"","",,Bajaw,Zane Roskoph,2021-09-12T21:59:04Z
83879,Kumai,und,"","",,Bajaw,Zane Roskoph,2021-09-15T23:13:43Z
132366,Malelah,und,"","",,Bajaw,Zane Roskoph,2021-09-17T19:08:30Z
112160,Mogoh nyuloh,und,"","",,Bajaw,Zane Roskoph,2021-09-25T14:24:19Z
68025,Mogoh loonge,und,"","",,Bajaw,Zane Roskoph,2021-09-25T14:47:23Z
97004,Kiapu mira lempes,und,"","",,Bajaw,Zane Roskoph,2021-10-09T16:00:02Z
52464,Pogo rambai,und,"","",,Bajaw,Zane Roskoph,2021-10-17T14:18:11Z
47251,Pangaluang,und,"","",,Bajaw,Zane Roskoph,2021-10-17T19:56:02Z
180396,Kekea,und,"","",,Bajaw,Zane Roskoph,2021-11-07T18:16:53Z
122514,Timbungan igabuku,und,"","",,Bajaw,Zane Roskoph,2021-12-06T00:00:27Z
