id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
67971,Pari minyak,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078380/common/265802,Bali,,2021-07-19T14:49:59Z
56764,Hiu bingkoh,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055536/common/158326,Bali,,2021-07-20T15:06:04Z
56766,Hiu bingkoh,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055538/common/158187,Bali,,2021-07-20T15:06:04Z
56765,Hiu bingkoh,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055541/common/157960,Bali,,2021-07-20T15:06:04Z
48066,Hiu bingkoh,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055533/common/343580,Bali,,2021-07-20T15:06:05Z
56766,Hiu capil,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055538/common/158188,Bali,,2021-07-20T15:06:30Z
56765,Hiu capil,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055541/common/157959,Bali,,2021-07-20T15:06:30Z
48066,Hiu capil,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055533/common/343579,Bali,,2021-07-20T15:06:30Z
56764,Hiu capil,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055536/common/158325,Bali,,2021-07-20T15:06:30Z
97827,Hiu taji,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083877/common/261169,Bali,,2021-07-20T16:11:54Z
96920,Hiu taji,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083930/common/79451,Bali,,2021-07-20T16:11:54Z
113034,Hiu taji,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083893/common/37213,Bali,,2021-07-20T16:11:54Z
96922,Hiu taji,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083932/common/79419,Bali,,2021-07-20T16:11:55Z
113036,Hiu taji,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083897/common/37202,Bali,,2021-07-20T16:11:55Z
113040,Hiu taji,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083903/common/37084,Bali,,2021-07-20T16:11:56Z
96925,Hiu taji,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083936/common/79382,Bali,,2021-07-20T16:11:56Z
113041,Hiu taji,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083904/common/37079,Bali,,2021-07-20T16:11:56Z
96917,Hiu taji,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083927/common/79535,Bali,,2021-07-20T16:11:56Z
97441,Hiu bongo,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Bali,,2021-12-04T03:27:07Z
97440,Hiu bongo,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Bali,,2021-12-04T03:27:07Z
97441,Hiu batu,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Bali,,2021-12-04T03:30:53Z
97441,Hiu gedok,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Bali,,2021-12-04T03:31:06Z
49962,Hiu gedok,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Bali,,2021-12-04T03:31:06Z
