id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
107887,Pale,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10067862/common/187176,Bemba,,2015-10-27T08:21:42Z
96086,Ntuntu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055913/common/72050,Bemba,,2021-07-12T15:58:51Z
103023,Manda,und,"","",,Bemba,Zane Roskoph,2021-07-16T15:51:25Z
103023,Mcheni,und,"","",,Bemba,Zane Roskoph,2021-07-16T15:51:46Z
102692,Sampa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082217/common/185241,Bemba,,2021-07-19T16:44:10Z
102692,Vundu,und,"","",,Bemba,Zane Roskoph,2021-07-19T16:44:35Z
595009,kasongole,und,"","",,Bemba,Botswanabugs,2021-07-28T04:25:48Z
595009,musayi,und,"","",,Bemba,Botswanabugs,2021-07-28T04:26:32Z
101561,Kalimulimo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066282/common/174528,Bemba,,2021-08-28T16:53:53Z
147000,musambafwa,und,"","",,Bemba,Botswanabugs,2021-09-28T11:19:14Z
147000,munsokansoka,und,"","",,Bemba,Botswanabugs,2021-09-28T11:19:45Z
430600,musongwa,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Bemba,Ken-ichi Ueda,2021-10-21T19:11:31Z
428367,Saninga,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Bemba,Ken-ichi Ueda,2021-10-21T19:11:31Z
133182,muku,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Bemba,Ken-ichi Ueda,2021-10-21T19:11:32Z
133182,mukunyu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Bemba,Ken-ichi Ueda,2021-10-21T19:11:32Z
133182,mukuyu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Bemba,Ken-ichi Ueda,2021-10-21T19:11:32Z
585963,mulemba,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Bemba,Ken-ichi Ueda,2021-10-21T19:11:33Z
164238,mufurungwo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Bemba,Ken-ichi Ueda,2021-10-21T19:11:33Z
81491,muvunguvungu,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Bemba,Ken-ichi Ueda,2021-10-21T19:11:33Z
590061,muliolo,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Bemba,Ken-ichi Ueda,2021-10-21T19:11:34Z
119995,ifishimu,und,"","",,Bemba,Botswanabugs,2021-11-08T07:27:25Z
81500,muuyu,und,"","",,Bemba,Botswanabugs,2021-11-11T16:50:54Z
2269,mukufi,und,"","",,Bemba,Botswanabugs,2022-01-09T05:00:15Z
2279,Cikwekwe,und,"","",,Bemba,Botswanabugs,2022-03-10T11:10:59Z
5308,cembe,und,"","",,Bemba,Botswanabugs,2022-03-10T11:12:14Z
201031,Cipampa,und,"","",,Bemba,Botswanabugs,2022-03-10T11:13:20Z
2938,Icipele,und,"","",,Bemba,Botswanabugs,2022-03-10T11:14:19Z
804,Icipingila,und,"","",,Bemba,Botswanabugs,2022-03-10T11:15:48Z
20438,Icipululu,und,"","",,Bemba,Botswanabugs,2022-03-10T11:16:51Z
5231,Icipungu,und,"","",,Bemba,Botswanabugs,2022-03-10T11:17:41Z
558641,Cisokopela,und,"","",,Bemba,Botswanabugs,2022-03-10T11:19:27Z
340265,Muputu,und,"","",,Bemba,Botswanabugs,2022-03-10T14:56:01Z
1116293,muteke,und,"","",,Bemba,Botswanabugs,2022-03-10T14:58:10Z
1116293,umuteke,und,"","",,Bemba,Botswanabugs,2022-03-10T14:58:39Z
1116293,imiteke,und,"","",,Bemba,Botswanabugs,2022-03-10T14:59:14Z
199580,Mupundu,und,"","",,Bemba,Botswanabugs,2022-03-10T15:01:09Z
199580,umupundu,und,"","",,Bemba,Botswanabugs,2022-03-10T15:01:55Z
946507,Kampombwe,und,"","",,Bemba,Botswanabugs,2022-03-10T15:07:44Z
946507,Mubale,und,"","",,Bemba,Botswanabugs,2022-03-10T15:08:42Z
946507,Mulumbwa,und,"","",,Bemba,Botswanabugs,2022-03-10T15:10:17Z
340245,musebe,und,"","",,Bemba,Botswanabugs,2022-06-02T09:50:50Z
