id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
49602,Mola,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Bengali,,2009-02-13T20:32:46Z
49605,Mola,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Bengali,,2009-02-13T20:32:49Z
103798,Nandina,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Bengali,,2012-03-30T05:21:55Z
170044,Bon okhra,und,"","",,Bengali,Chandan Pandey,2015-09-02T10:01:43Z
41651,শ্লথ ভালুক,und,"","",,Bengali,Bobby McCabe,2017-08-17T02:47:02Z
47208,কীট,und,"","",,Bengali,John E. Christensen,2017-11-30T22:03:27Z
355675,মেরুদণ্ডী প্রাণী,und,"","",,Bengali,John E. Christensen,2017-12-06T09:58:56Z
48891,হিবিস্কাস,und,"","",,Bengali,John E. Christensen,2017-12-18T15:25:51Z
43791,বীভার,und,"","",,Bengali,John E. Christensen,2017-12-26T20:05:08Z
47534,নিডারিয়া,und,"","",,Bengali,John E. Christensen,2018-01-04T10:40:10Z
43345,ভারতীয় গণ্ডার,und,"","",,Bengali,Bobby McCabe,2018-01-08T04:58:12Z
26039,কুমির,und,"","",,Bengali,John E. Christensen,2018-01-14T07:10:55Z
204454,ময়না,und,"","",,Bengali,John E. Christensen,2018-02-18T16:35:05Z
26063,স্বাদুপানির কুমির,und,"","",,Bengali,Bobby McCabe,2018-04-04T14:41:25Z
7085,গোলাপিশির,und,"","",,Bengali,Bobby McCabe,2018-04-08T05:21:54Z
39550,বোস্তামীর কাছিম,und,"","",,Bengali,Bobby McCabe,2018-05-07T14:29:43Z
491869,গোলবাহার,und,"","",,Bengali,Bobby McCabe,2018-05-08T04:14:30Z
42056,বাংলা খেঁকশিয়াল,und,"","",,Bengali,Bobby McCabe,2018-05-22T17:36:41Z
160294,ব্রহ্মমন্ডূকী,und,"","",,Bengali,harshithjv,2019-07-14T11:06:21Z
160294,থানকুনি,und,"","",,Bengali,harshithjv,2019-07-14T11:06:38Z
122835,Kachu,und,"","",,Bengali,harshithjv,2019-07-14T12:36:39Z
122835,Alti kachu,und,"","",,Bengali,harshithjv,2019-07-14T12:36:51Z
934078,Lal-surgumini,und,"","",,Bengali,Lera Miles,2019-09-07T23:42:00Z
131236,ভাইরাস,und,"","",,Bengali,James K. Douch,2020-02-23T01:49:00Z
47353,Bhetki,und,"","",,Bengali,Ashwin Srinivasan,2021-01-15T18:34:33Z
193609,কুলেখাড়া [kulekhara],und,"","",,Bengali,harshithjv,2021-04-03T05:42:53Z
193609,শুলামর্দন [Shulamardan],und,"","",,Bengali,harshithjv,2021-04-03T05:48:21Z
182480,তালমূলী,und,"","",,Bengali,Subhajit Roy,2021-06-28T22:10:03Z
446566,Hilsha,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10058215/common/234295,Bengali,,2021-06-30T06:17:10Z
114230,Khamahasur,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061239/common/93549,Bengali,,2021-07-14T17:35:30Z
114230,Mahasol,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061239/common/93544,Bengali,,2021-07-14T17:35:46Z
114231,Mahasol,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061246/common/93445,Bengali,,2021-07-14T17:35:46Z
114231,Mohashol,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061246/common/93434,Bengali,,2021-07-14T17:36:04Z
114230,Mohashol,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061239/common/93531,Bengali,,2021-07-14T17:36:05Z
114230,Putitor,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061239/common/93524,Bengali,,2021-07-14T17:36:28Z
114231,Putitor,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061246/common/93422,Bengali,,2021-07-14T17:36:28Z
114230,Putitor mahseer,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061239/common/93522,Bengali,,2021-07-14T17:36:41Z
114230,Putitor mohashol,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061239/common/93521,Bengali,,2021-07-14T17:36:56Z
114230,Turyia,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061239/common/93514,Bengali,,2021-07-14T17:37:18Z
