id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
204454,मैना,und,"","",,Bhojpuri,John E. Christensen,2018-02-18T16:38:45Z
3,चिरई,und,"","",,Bhojpuri,John E. Christensen,2018-03-20T07:02:39Z
40151,मैमल,und,"","",,Bhojpuri,John E. Christensen,2019-02-07T18:14:49Z
7251,पासराइन,und,"","",,Bhojpuri,John E. Christensen,2019-03-02T10:02:59Z
1199,मोर,und,"","",,Bhojpuri,John E. Christensen,2019-04-13T07:54:51Z
82814,कमल,und,"","",,Bhojpuri,John E. Christensen,2019-05-05T10:40:51Z
505478,देसी मुर्गा,und,"","",,Bhojpuri,John E. Christensen,2019-10-06T06:46:37Z
2715,कबूतर आ पंडुक,und,"","",,Bhojpuri,John E. Christensen,2020-02-26T13:30:47Z
157765,भिंडी,und,"","",,Bhojpuri,Johan Devos,2020-12-20T20:30:54Z
50873,बिसाल सफेद शार्क,und,"","",,Bhojpuri,Zane Roskoph,2021-07-30T13:48:21Z
41644,ध्रुवीय भालू,und,"","",,Bhojpuri,Zane Roskoph,2021-08-11T16:04:24Z
41955,चीता,und,"","",,Bhojpuri,Zane Roskoph,2021-08-13T11:53:48Z
41964,सिंह,und,"","",,Bhojpuri,Zane Roskoph,2021-08-24T13:01:39Z
41967,बाघ,und,"","",,Bhojpuri,Zane Roskoph,2021-08-26T14:59:46Z
