id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
84298,Divlji kesten,und,"","",,Bosnian,John E. Christensen,2017-11-28T16:31:42Z
47549,Bodljokošci,und,"","",,Bosnian,John E. Christensen,2017-12-02T21:03:31Z
18874,Papiga,und,"","",,Bosnian,John E. Christensen,2017-12-15T07:47:50Z
47118,Pauk,und,"","",,Bosnian,John E. Christensen,2017-12-29T16:42:01Z
47120,Zglavkari,und,"","",,Bosnian,John E. Christensen,2018-01-18T15:51:00Z
2,Hordati,und,"","",,Bosnian,John E. Christensen,2018-01-22T07:11:31Z
83204,Buha,und,"","",,Bosnian,John E. Christensen,2018-02-10T13:26:34Z
42134,Divlja svinja,und,"","",,Bosnian,John E. Christensen,2018-02-13T08:00:29Z
3,Ptice,und,"","",,Bosnian,John E. Christensen,2018-03-20T07:03:04Z
45933,Vjeverica,und,"","",,Bosnian,John E. Christensen,2018-07-12T15:26:43Z
63573,Smrča,und,"","",,Bosnian,John E. Christensen,2018-12-16T09:38:26Z
77965,Kamilica,und,"","",,Bosnian,John E. Christensen,2018-12-21T14:44:10Z
40151,Sisari,und,"","",,Bosnian,John E. Christensen,2019-02-07T18:19:40Z
47170,Gljive,und,"","",,Bosnian,John E. Christensen,2019-04-03T13:16:50Z
47125,Cvjetnica,und,"","",,Bosnian,John E. Christensen,2019-04-27T09:47:44Z
85553,Zmija,und,"","",,Bosnian,John E. Christensen,2019-04-28T07:09:31Z
505478,Kokoška,und,"","",,Bosnian,John E. Christensen,2019-10-05T14:36:59Z
131236,virusa,und,"","",,Bosnian,James K. Douch,2020-02-23T01:49:29Z
47114,Puževi,und,"","",,Bosnian,John E. Christensen,2020-04-24T14:42:40Z
20979,Žaba,und,"","",,Bosnian,John E. Christensen,2020-12-07T08:22:49Z
157765,Bamija,und,"","",,Bosnian,Johan Devos,2020-12-20T20:31:59Z
68235,Poluhordati,und,"","",,Bosnian,John E. Christensen,2021-01-01T15:59:20Z
47516,Kalifornijska pastrmka,und,"","",,Bosnian,Zane Roskoph,2021-07-29T22:53:38Z
41970,Jaguar,und,"","",,Bosnian,Zane Roskoph,2021-07-30T11:55:06Z
