id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
4956,Kerc'heiz vras Amerika,br,"","",,Breton,John E. Christensen,2017-11-29T07:50:53Z
47115,Blotviled,br,"","",,Breton,John E. Christensen,2017-11-29T21:57:10Z
47158,Amprevan,br,"","",,Breton,John E. Christensen,2017-12-23T10:46:56Z
43791,Avank,br,"","",,Breton,John E. Christensen,2017-12-26T20:09:38Z
39532,Baot,br,"","",,Breton,John E. Christensen,2018-02-02T07:36:45Z
569428,Kaerell,br,"","",,Breton,John E. Christensen,2018-07-05T06:52:22Z
333586,Buzhug,br,"","",,Breton,John E. Christensen,2018-07-11T14:03:11Z
49315,Morgazh,br,"","",,Breton,Bobby McCabe,2018-09-26T16:01:31Z
447155,Gouelan,br,"","",,Breton,John E. Christensen,2018-10-01T14:20:07Z
43697,Olifant Azia,br,"","",,Breton,Bobby McCabe,2018-10-09T20:26:31Z
339939,Tiranosaor,br,"","",,Breton,Bobby McCabe,2018-10-22T03:34:51Z
41964,Leon,br,"","",,Breton,Bobby McCabe,2018-10-22T03:54:08Z
41964,Loen,br,"","",,Breton,Bobby McCabe,2018-10-22T03:54:25Z
41970,Jagoar,br,"","",,Breton,Bobby McCabe,2018-10-22T04:18:53Z
41963,Panterenn,br,"","",,Breton,Bobby McCabe,2018-10-22T04:39:28Z
41963,Banterenn,br,"","",,Breton,Bobby McCabe,2018-10-22T04:39:44Z
41963,Loupard,br,"","",,Breton,Bobby McCabe,2018-10-22T04:40:11Z
41967,Tigr,br,"","",,Breton,Bobby McCabe,2018-10-22T05:04:53Z
74831,Loupard an erc'h,br,"","",,Breton,Bobby McCabe,2018-10-22T05:19:51Z
74831,Oñs,br,"","",,Breton,Bobby McCabe,2018-10-22T05:20:04Z
41955,Gwepard,br,"","",,Breton,Bobby McCabe,2018-10-22T12:52:54Z
42007,Puma,br,"","",,Breton,Bobby McCabe,2018-10-22T13:19:50Z
41641,Arzh gell,br,"","",,Breton,Bobby McCabe,2018-10-22T22:35:48Z
41659,Panda bras,br,"","",,Breton,Bobby McCabe,2018-10-23T00:19:52Z
41644,Arzh gwenn,br,"","",,Breton,Bobby McCabe,2018-10-23T20:37:58Z
41638,Arzh du Amerika,br,"","",,Breton,Bobby McCabe,2018-10-23T21:50:21Z
43335,Roudenneg ar stepennoù,br,"","",,Breton,Bobby McCabe,2018-10-23T22:24:31Z
41647,Arzh du Azia,br,"","",,Breton,Bobby McCabe,2018-10-24T13:41:44Z
43692,Olifanten,br,"","",,Breton,Bobby McCabe,2018-11-01T19:00:42Z
793469,Dreolan kabell aour,br,"","",,Breton,John E. Christensen,2018-11-06T02:58:54Z
43694,Olifant savanennoù Afrika,br,"","",,Breton,Bobby McCabe,2018-11-10T23:07:08Z
357910,Olifant koadoù Afrika,br,"","",,Breton,Bobby McCabe,2018-11-10T23:42:32Z
42405,Bual Afrika,br,"","",,Breton,Bobby McCabe,2018-11-24T17:46:34Z
43348,Frikorneg gwenn,br,"","",,Breton,Bobby McCabe,2018-11-26T13:22:08Z
47851,Derv,br,"","",,Breton,John E. Christensen,2018-11-26T15:14:56Z
121943,Raden,br,"","",,Breton,John E. Christensen,2018-12-17T16:21:37Z
848319,Godelleged,br,"","",,Breton,Bobby McCabe,2019-01-18T21:18:02Z
42412,Ejen-musk,br,"","",,Breton,Bobby McCabe,2019-01-20T17:30:23Z
40151,Bronneged,br,"","",,Breton,John E. Christensen,2019-02-07T18:13:56Z
47458,Morgazh,br,"","",,Breton,Bobby McCabe,2019-03-05T13:05:41Z
47217,Orkide,br,"","",,Breton,John E. Christensen,2019-03-15T10:43:33Z
81542,Dremedal,br,"","",,Breton,Bobby McCabe,2019-04-11T14:27:43Z
551307,Rinkined,br,"","",,Breton,Bobby McCabe,2019-04-16T20:01:18Z
44576,Razh rous,br,"","",,Breton,John E. Christensen,2019-04-17T09:30:37Z
43236,Ornitorink,br,"","",,Breton,Bobby McCabe,2019-04-18T15:21:10Z
85553,Naer,br,"","",,Breton,John E. Christensen,2019-04-28T07:09:07Z
74113,Chatal,br,"","",,Breton,Bobby McCabe,2019-05-07T14:20:15Z
47584,Daougleureged,br,"","",,Breton,John E. Christensen,2019-05-21T07:19:19Z
