id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
190393,Имануелова метличина,bg,"","",,Bulgarian,Aleksey Andreyanov,2015-08-13T06:45:38Z
17871,Голям пъстър кълвач,bg,"","",,Bulgarian,katunchik,2016-06-03T04:34:47Z
10070,Обикновена чинка,bg,"","",,Bulgarian,katunchik,2016-06-03T04:37:19Z
180365,Полска пърхутка,bg,"","",,Bulgarian,katunchik,2016-07-19T20:51:22Z
59281,Жълт крабов паяк,bg,"","",,Bulgarian,katunchik,2016-07-20T05:08:25Z
31975,Змиегущер,bg,"","",,Bulgarian,katunchik,2016-08-20T17:30:33Z
61937,Двадесет и четири точкова калинка,bg,"","",,Bulgarian,katunchik,2016-09-12T18:01:51Z
336326,Обикновена блъшница,bg,"","",,Bulgarian,katunchik,2016-09-12T19:36:29Z
167598,Блъшница,bg,"","",,Bulgarian,katunchik,2016-09-12T19:38:02Z
45550,Жълтогърла горска мишка,bg,"","",,Bulgarian,katunchik,2016-09-16T05:02:43Z
131586,Обикновен мразовец,bg,"","",,Bulgarian,katunchik,2016-09-17T06:06:42Z
4736,Черен щъркел,bg,"","",,Bulgarian,katunchik,2016-09-20T20:24:18Z
9192,Зеленогуша овесарка,bg,"","",,Bulgarian,katunchik,2016-09-30T18:07:34Z
18301,Сив кълвач,bg,"","",,Bulgarian,katunchik,2016-10-05T19:50:30Z
360830,Черен бегач,bg,"","",,Bulgarian,katunchik,2016-10-30T03:39:22Z
488542,Есенен синчец,bg,"","",,Bulgarian,katunchik,2016-10-31T07:21:10Z
13094,Червеногръдка,bg,"","",,Bulgarian,katunchik,2016-11-02T17:33:49Z
9398,Кадънка,bg,"","",,Bulgarian,katunchik,2016-11-02T18:01:45Z
49158,Игловиден корал,bg,"","",,Bulgarian,katunchik,2016-11-09T03:54:40Z
57920,Рогачица,bg,"","",,Bulgarian,katunchik,2016-11-14T03:26:49Z
125494,Кафява синевка,bg,"","",,Bulgarian,katunchik,2016-11-14T14:43:20Z
201192,Европейско черногушо ливадарче,bg,"","",,Bulgarian,katunchik,2016-11-16T06:51:03Z
144808,Жалобен синигер,bg,"","",,Bulgarian,katunchik,2016-11-16T07:32:25Z
52589,Дребнооко сатирче,bg,"","",,Bulgarian,katunchik,2016-11-16T23:17:59Z
55655,Малка огневка,bg,"","",,Bulgarian,katunchik,2016-11-16T23:26:13Z
147325,Обикновена ралица,bg,"","",,Bulgarian,katunchik,2016-11-18T13:56:34Z
56236,Червен кантарион,bg,"","",,Bulgarian,katunchik,2016-12-04T03:53:37Z
508378,Синтенисова перуника,bg,"","",,Bulgarian,katunchik,2016-12-04T13:11:54Z
128137,Недоразвит лимодорум,bg,"","",,Bulgarian,katunchik,2016-12-09T08:36:51Z
55411,Дива ряпа,bg,"","",,Bulgarian,katunchik,2016-12-11T07:06:37Z
54327,Европейски стършел,bg,"","",,Bulgarian,katunchik,2016-12-22T05:17:35Z
55858,Обикновен дрян,bg,"","",,Bulgarian,katunchik,2016-12-29T11:31:31Z
55814,Плътногрудеста лисичина,bg,"","",,Bulgarian,katunchik,2016-12-29T14:38:35Z
144455,Голяма бяла чапла,bg,Bulgaria,BG,,Bulgarian,Boris Grozev,2017-01-02T01:32:42Z
4943,Малка бяла чапла,bg,"","",,Bulgarian,Boris Grozev,2017-01-02T01:35:09Z
19349,Папагал монах,bg,"","",,Bulgarian,Boris Grozev,2017-01-02T01:37:36Z
4940,Снежна чапла,bg,"","",,Bulgarian,Boris Grozev,2017-01-02T01:38:34Z
4364,Пръстенчатоклюна чайка,bg,"","",,Bulgarian,Boris Grozev,2017-01-02T01:40:10Z
4956,Голяма синя чапла,bg,"","",,Bulgarian,Boris Grozev,2017-01-02T01:40:40Z
7054,Американска планинска потапница,bg,"","",,Bulgarian,Boris Grozev,2017-01-02T01:41:44Z
4929,Чаплови,bg,"","",,Bulgarian,Boris Grozev,2017-01-07T18:05:38Z
9083,Северен кардинал,bg,"","",,Bulgarian,Boris Grozev,2017-01-07T23:28:32Z
14886,Многоглас присмехулник,bg,"","",,Bulgarian,Boris Grozev,2017-01-07T23:30:52Z
68846,Пренебрегнато  кукувиче грозде,bg,"","",,Bulgarian,katunchik,2017-01-08T07:20:22Z
10069,Планинска чинка,bg,"","",,Bulgarian,harum.koh,2017-01-08T12:22:00Z
304243,Шушулков хоботник,bg,"","",,Bulgarian,katunchik,2017-01-18T05:30:29Z
5192,Белоопашат мишелов,bg,"","",,Bulgarian,katunchik,2017-01-18T12:29:57Z
75430,Лечебно паче гнездо,bg,"","",,Bulgarian,,2017-03-18T19:05:30Z
7347,Полска чучулига,bg,"","",,Bulgarian,max kirsch,2017-04-01T22:11:45Z
13729,Ливадна бъбрица,bg,"","",,Bulgarian,,2017-04-01T22:13:34Z
12707,Хвойнов дрозд,bg,"","",,Bulgarian,Chris Cheatle,2017-04-01T22:14:43Z
12749,Беловежд дрозд,bg,"","",,Bulgarian,,2017-04-01T22:16:15Z
12740,Белогуш дрозд,bg,"","",,Bulgarian,,2017-04-01T22:16:44Z
