id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
76341,Lakus,und,"","",,Bunun (Taiwan),Cheng-Tao Lin,2019-11-05T06:59:17Z
47144,asu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:22:22Z
122767,babalu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:23:29Z
324492,babu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:24:48Z
120479,dauluhudhud,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:26:44Z
74113,hanvangdanghas,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:28:00Z
524794,huluhuluh,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:29:28Z
143506,kaiku,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:30:42Z
123070,sidi,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:31:44Z
505478,tulkuk,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:32:50Z
47336,ahlua,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:35:21Z
7998,ak-aak,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:37:07Z
44705,aluaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:39:14Z
65541,auk-auk,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:40:21Z
43142,autuk,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:41:32Z
40268,aval,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:42:33Z
61860,babangu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:45:17Z
42134,babutakilimun,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:46:25Z
54328,bahusaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:47:56Z
53667,baksaaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:49:11Z
47157,balikuan,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:50:03Z
358855,balinuhaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:51:30Z
42210,banaan,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:52:08Z
43692,banbantangia,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:53:29Z
125819,buhultaki,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:54:50Z
371057,cikcik,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:55:52Z
472799,cikulas,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:56:47Z
30492,cintataku,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:58:26Z
39913,dauludaulu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T00:59:47Z
13851,dulpin,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:27:46Z
49556,hahapis,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:28:48Z
204524,haipis,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:29:28Z
47651,haludung,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:33:12Z
776827,halum,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:34:27Z
11853,halusing,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:37:14Z
75053,hanvang,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:38:33Z
39913,hasipa,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:40:18Z
81769,hatabang,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:41:08Z
30685,havit,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:42:14Z
3,hazam,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:43:09Z
92957,huvaisaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:44:04Z
413842,ishuus,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:45:30Z
413842,iskil,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:46:11Z
19350,ithuu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:47:04Z
85553,ivut,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:47:43Z
47158,ivutaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:48:35Z
318724,ivutdanum,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:53:58Z
492347,ivutning-av,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:57:05Z
30953,ivutsanglav,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:57:49Z
47584,kalada,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T02:59:41Z
47118,katukatu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:00:18Z
20979,kavakava,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:01:02Z
41963,kuknav,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:04:04Z
71261,kukuav,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:06:43Z
21614,kukulpa,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:08:49Z
41625,kukung,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:11:08Z
40268,laininataz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:12:05Z
49556,lalaus,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:13:02Z
509764,langkitaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:14:29Z
120156,liliu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:15:55Z
1158,linas,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:16:39Z
47115,mumuan,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:17:30Z
118552,naung,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:18:20Z
75053,ngabul,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:18:57Z
50190,ngingi,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:19:38Z
47731,pacishuan,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:20:31Z
118903,pakahuung,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:21:20Z
45933,puktu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:22:37Z
45933,puthudas,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:23:04Z
15156,saikvang,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:24:24Z
42187,sakut,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:26:38Z
47927,salinghanuaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:28:28Z
52134,salingkitaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:29:40Z
30953,sanglavaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:30:33Z
74144,siditakilibus,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:31:16Z
20979,sisiuh,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:32:46Z
371057,sisiun,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:33:39Z
46531,sunsun,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:34:40Z
358855,susu-ia,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:35:21Z
887384,tabukaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:37:59Z
49083,tadangkadang,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:39:44Z
42134,takilimun,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:41:24Z
333586,takiluhaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:42:01Z
20979,takula,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:42:48Z
43142,takulis,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:43:09Z
47224,talikuan,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:43:51Z
21614,tamahudas,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:44:31Z
776171,tanisi,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:45:10Z
209233,tansasikis,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:45:49Z
47731,tapushuan,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:46:22Z
42232,tasasikiskunul,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:47:25Z
41647,tumaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:48:28Z
83204,tumbi,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:49:34Z
43450,utung,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T03:50:45Z
47221,vanu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:16:20Z
128306,babituhaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:18:16Z
47314,iskaan-ivut,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:19:41Z
187788,iskaanpais,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:20:49Z
121639,kakalang,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:21:20Z
107615,langhaaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:22:30Z
49175,sasupilaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:23:23Z
170171,abulakili,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:24:35Z
180178,asik,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:25:19Z
180178,asikav,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:25:47Z
170171,avulakili,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:26:12Z
362126,ba-ial,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:27:07Z
83653,bala,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:28:04Z
127861,banil,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:28:38Z
122980,batakan,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:29:22Z
500715,batakandaingaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:29:54Z
607265,batakanduli,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:30:44Z
774073,batakanhaul,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:31:27Z
125625,bau-an,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:34:14Z
162991,baul,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:35:07Z
164415,bitahul,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:35:55Z
53720,budngus,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:36:45Z
78540,bukcau,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:38:10Z
76341,dakus,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:38:43Z
135413,dala,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:39:14Z
199339,dandan,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:40:24Z
774073,haul,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:41:10Z
128986,huaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:43:42Z
740663,huthutaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:44:39Z
64237,hutmuaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:45:31Z
622738,kalilizu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:46:35Z
68313,kancinghui,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:47:27Z
774366,kangkunanan,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:49:56Z
127387,kulutung,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:50:34Z
287316,lacing,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:51:29Z
164056,liah,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:52:18Z
164056,liih,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:52:30Z
159288,liiv,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T07:54:20Z
156333,lukishanitu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:17:17Z
125625,padan,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:18:16Z
48928,pahuhu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:19:49Z
56091,pakaun,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:21:07Z
53808,pika,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:22:34Z
160957,pupunu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:23:44Z
47562,saang,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:24:55Z
49487,salapuah,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:26:16Z
168884,salavsavaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:27:15Z
622738,salingza,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:28:11Z
622738,sangliza,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:28:36Z
47217,sampizing,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:29:23Z
47217,sanpizing,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:29:40Z
154776,sizu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:30:25Z
156333,sual,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:31:12Z
50203,susuluk,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:32:41Z
47444,suziziu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:33:19Z
516719,talum,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:35:58Z
344961,talunas,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:36:38Z
170171,tangsiing,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:37:14Z
54895,tuhulaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:39:47Z
72151,uata,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:41:41Z
138782,valanu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:42:46Z
57983,valihana,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:44:09Z
48448,acipul,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:45:31Z
122869,baat,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:46:28Z
47122,bainu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:47:17Z
122889,bainukalitang,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:48:14Z
122898,bainulaitaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:48:45Z
63205,bainuPuut,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:49:24Z
122885,bainustanaul,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:50:36Z
575097,balangbangaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:51:34Z
191503,bual,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-20T23:54:39Z
140907,bunbun,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T00:40:40Z
122965,bunglai,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T00:41:16Z
464594,bunuaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T00:42:01Z
357447,bunuazbusul,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T00:42:57Z
79519,buzuu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T00:45:43Z
168879,cilas,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T00:46:55Z
122971,duduk,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T00:48:03Z
139444,halidang,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T00:52:18Z
125147,halput,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T00:52:50Z
67679,halputzuszus,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T00:55:47Z
78755,halup,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T02:42:02Z
83468,halupaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T02:43:12Z
78755,halupdaingaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T02:49:05Z
322878,hatnga,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T02:49:38Z
63401,huung,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T02:53:32Z
123351,iahciiz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T02:55:33Z
342728,ikvuuh,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T02:59:00Z
331122,izuk,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:00:49Z
54299,izukdaing,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:01:42Z
331122,izuk-ikit,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:03:11Z
71992,kanciahciah,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:05:52Z
48872,kangavas,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:06:56Z
57140,kantumaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:09:00Z
50813,kulkulaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:10:00Z
54919,kut-ahun,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:10:58Z
122885,lai-an,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:11:24Z
283069,laingsaz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:11:55Z
62859,lapat,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:13:30Z
331124,libuung,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:14:15Z
121943,li'li,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:15:26Z
322878,linbu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:16:28Z
191503,lingkiing,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:17:00Z
708697,liskuz,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:17:49Z
76949,litu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:18:15Z
122902,luhu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:19:13Z
48514,mahav,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:19:40Z
69973,makasma,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:20:39Z
51737,matumatu,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T03:22:47Z
57156,mugi,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T23:28:28Z
851551,mukun,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-21T23:29:20Z
55366,mumulas,und,"","",,Bunun (Taiwan),anneliese merrigan,2020-09-22T00:11:57Z
