id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
108086,Soon hock,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10075765/common/81137,Cantonese,Bobby McCabe,2017-11-20T14:41:04Z
47549,棘皮動物,und,"","",,Cantonese,John E. Christensen,2017-12-02T21:25:31Z
355675,脊椎動物,und,"","",,Cantonese,John E. Christensen,2017-12-06T09:42:55Z
48824,海綿動物,und,"","",,Cantonese,John E. Christensen,2017-12-31T16:47:25Z
41659,熊貓,und,"","",,Cantonese,Bobby McCabe,2018-01-02T23:23:02Z
41659,大熊貓,und,"","",,Cantonese,Bobby McCabe,2018-01-02T23:23:26Z
41659,貓熊,und,"","",,Cantonese,Bobby McCabe,2018-01-02T23:23:47Z
40268,蝠鼠,und,"","",,Cantonese,John E. Christensen,2018-01-24T16:27:10Z
6888,雁形目,und,"","",,Cantonese,John E. Christensen,2018-01-25T15:55:39Z
62941,番薯,und,"","",,Cantonese,John E. Christensen,2018-02-17T13:22:58Z
59254,細香蔥,und,"","",,Cantonese,John E. Christensen,2018-04-04T07:11:37Z
704102,波緣櫛角螢,und,"","",,Cantonese,Tim Fallon,2018-04-16T20:14:47Z
143243,洋甘菊,und,"","",,Cantonese,John E. Christensen,2018-04-25T14:46:56Z
47603,蒲公英,und,"","",,Cantonese,John E. Christensen,2018-04-30T15:08:16Z
39392,雷公蛇,und,"","",,Cantonese,John E. Christensen,2018-07-08T16:15:02Z
58321,無患子科,und,"","",,Cantonese,John E. Christensen,2018-10-29T16:58:12Z
41893,獴科,und,"","",,Cantonese,John E. Christensen,2018-11-27T09:24:24Z
42241,牛科,und,"","",,Cantonese,John E. Christensen,2019-01-30T16:19:37Z
181672,洋紫荊,und,"","",,Cantonese,Harry Ng,2019-04-17T15:45:05Z
354394,廣東彈塗魚,und,"","",,Cantonese,Harry Ng,2019-08-08T10:26:15Z
75723,白骨壤,und,Hong Kong,HK,,Cantonese,Harry Ng,2019-08-08T10:46:55Z
368886,大齒斑鮃,und,"","",,Cantonese,H.T.Cheng,2019-12-27T10:03:17Z
979667,白頸鴉,und,Hong Kong,HK,,Cantonese,Harry Ng,2020-04-03T15:37:09Z
119450,杜鵑花科,und,"","",,Cantonese,John E. Christensen,2021-02-26T15:18:33Z
107889,Fai chau chak ue,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10067864/common/96905,Cantonese,,2021-07-15T14:54:33Z
107889,Gam san tsak,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10067864/common/96906,Cantonese,,2021-07-15T14:54:38Z
128274,Bin ue,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10059694/common/257268,Cantonese,,2021-07-15T15:21:25Z
128287,Bin ue,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10060333/common/229931,Cantonese,,2021-07-15T15:21:25Z
128274,Cho ue,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10059694/common/257256,Cantonese,,2021-07-15T15:21:30Z
128274,Lin ue,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10059694/common/257246,Cantonese,,2021-07-15T15:21:36Z
49587,Tam suy lo ue,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069306/common/103587,Cantonese,,2021-07-16T19:40:46Z
188371,Ngau P'ei Kaau,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072974/common/216697,Cantonese,,2021-07-19T15:24:05Z
