id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
58467,Dahlia,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Carolinian,Mark Rosenstein,2010-03-31T19:06:49Z
52323,Dahlia,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Carolinian,Mark Rosenstein,2010-03-31T19:06:51Z
121460,Sera,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Carolinian,,2012-07-18T20:18:57Z
68030,Moos,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10075943/common/139569,Carolinian,Mark Rosenstein,2015-05-06T20:03:04Z
121460,sara,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055520/common/318612,Carolinian,,2015-10-27T08:44:31Z
53573,sara,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055496/common/319069,Carolinian,Mark Rosenstein,2015-10-27T08:44:31Z
479375,sara,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10054405/common/329474,Carolinian,,2015-10-27T08:44:32Z
179880,sara,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070344/common/147951,Carolinian,Mark Rosenstein,2015-10-27T08:44:35Z
181020,sara,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070269/common/148875,Carolinian,Mark Rosenstein,2015-10-27T08:44:35Z
102579,Mem,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076405/common/67408,Carolinian,Mark Rosenstein,2016-10-11T13:03:34Z
97649,Mem,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076205/common/69711,Carolinian,,2016-10-11T13:03:36Z
82355,Mem,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076203/common/69867,Carolinian,Mark Rosenstein,2016-10-11T13:03:36Z
102580,Mem,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076406/common/67347,Carolinian,Mark Rosenstein,2016-10-11T13:03:37Z
504122,Mwelel,und,"","",,Carolinian,James Ojascastro,2016-11-19T06:47:26Z
363301,Lighitar,und,"","",,Carolinian,James Ojascastro,2017-07-05T00:27:09Z
363301,Atiyat,und,"","",,Carolinian,James Ojascastro,2017-07-05T00:27:40Z
360351,Ghasooso,und,"","",,Carolinian,James Ojascastro,2017-07-05T00:37:24Z
552070,Bwengwa,und,"","",,Carolinian,James Ojascastro,2017-07-05T00:43:11Z
549374,Mwesor,und,"","",,Carolinian,James Ojascastro,2017-07-05T00:44:43Z
159698,Raghisch,und,"","",,Carolinian,James Ojascastro,2017-07-05T01:03:14Z
48865,luu,und,"","",,Carolinian,James Ojascastro,2017-07-05T01:24:32Z
84150,Poghu,und,"","",,Carolinian,James Ojascastro,2017-07-05T02:12:33Z
70026,Fashil wal,und,"","",,Carolinian,James Ojascastro,2017-07-05T02:15:03Z
343758,Apilas,und,"","",,Carolinian,James Ojascastro,2017-07-05T02:16:38Z
62888,Weighu,und,"","",,Carolinian,James Ojascastro,2017-07-05T03:39:18Z
504090,Oschal,und,"","",,Carolinian,James Ojascastro,2017-07-05T19:34:29Z
62859,Abwas,und,"","",,Carolinian,James Ojascastro,2017-07-05T19:38:36Z
278899,Oschal,und,"","",,Carolinian,James Ojascastro,2017-07-05T19:47:08Z
2787,Mwee'mwe,und,"","",,Carolinian,James Ojascastro,2017-07-05T21:41:38Z
366267,Mwesor,und,"","",,Carolinian,James Ojascastro,2017-11-21T18:20:08Z
553615,Walmwasching,und,"","",,Carolinian,James Ojascastro,2018-07-20T16:44:27Z
123681,Wengu,und,"","",,Carolinian,James Ojascastro,2019-08-01T16:03:15Z
344375,Nimmis,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070372/common/53526,Carolinian,,2021-07-13T12:22:55Z
57339,Nimmis,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070355/common/53672,Carolinian,,2021-07-13T12:22:55Z
468752,Nimmis,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070377/common/53495,Carolinian,,2021-07-13T12:22:56Z
179869,Nimmis,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070356/common/53648,Carolinian,,2021-07-13T12:22:56Z
179849,Nimmis,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070358/common/53632,Carolinian,,2021-07-13T12:22:57Z
338073,Nimmis,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070382/common/53452,Carolinian,,2021-07-13T12:22:57Z
204591,Nimmis,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070363/common/53587,Carolinian,,2021-07-13T12:22:58Z
470653,Nimmis,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070364/common/53562,Carolinian,,2021-07-13T12:22:58Z
341387,Nimmis,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070353/common/53714,Carolinian,,2021-07-13T12:22:58Z
95837,Ngishif,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076179/common/124990,Carolinian,,2021-07-13T12:35:27Z
113978,Gashileo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076596/common/94252,Carolinian,,2021-07-13T13:00:02Z
113980,Gashileo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076599/common/94182,Carolinian,,2021-07-13T13:00:02Z
113981,Gashileo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076600/common/94103,Carolinian,,2021-07-13T13:00:03Z
113202,Ighil-wosh,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076555/common/152073,Carolinian,,2021-07-13T13:00:17Z
113981,Ighil-wosh,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076600/common/94101,Carolinian,,2021-07-13T13:00:17Z
113981,Keyiyop,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076600/common/94099,Carolinian,,2021-07-13T13:00:27Z
100111,Taiyaaw,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10073135/common/42142,Carolinian,,2021-07-15T12:07:14Z
67971,Faiyemeet,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078380/common/265772,Carolinian,,2021-07-19T14:58:33Z
111716,Sáyuwaanu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10053747/common/198070,Carolinian,,2021-07-20T15:49:54Z
52508,Yásáápin yáriiné,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076322/common/200205,Carolinian,,2021-07-27T16:00:58Z
52508,Yásááp pwerépwer,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076322/common/200207,Carolinian,,2021-07-27T16:01:04Z
52508,Yásááp,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076322/common/200206,Carolinian,,2021-07-27T16:01:10Z
52508,U-wau,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076322/common/200211,Carolinian,,2021-07-27T16:01:19Z
113985,U-wau,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076605/common/93935,Carolinian,,2021-07-27T16:01:19Z
52508,Geosaap,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076322/common/200256,Carolinian,,2021-07-27T16:01:25Z
93202,Pariutet,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10085161/common/230778,Carolinian,,2021-07-27T16:09:13Z
334731,Pariutet,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10085222/common/124376,Carolinian,,2021-07-27T16:09:13Z
338159,Pariutet,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10085163/common/230754,Carolinian,,2021-07-27T16:09:14Z
196902,Pariutet,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10085236/common/205979,Carolinian,,2021-07-27T16:09:14Z
196907,Pariutet,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10085169/common/161232,Carolinian,,2021-07-27T16:09:14Z
418231,Pariutet,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10085176/common/175560,Carolinian,,2021-07-27T16:09:15Z
196905,Pariutet,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10085182/common/175523,Carolinian,,2021-07-27T16:09:15Z
154282,Bbutelitel,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084940/common/227978,Carolinian,,2021-07-27T16:26:01Z
154282,Ppwumásen,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084940/common/227947,Carolinian,,2021-07-27T16:26:08Z
121597,Gamashuwag,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066649/common/55164,Carolinian,,2021-07-27T16:46:40Z
187000,Gamashuwag,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066659/common/54894,Carolinian,,2021-07-27T16:46:41Z
132366,Gamashuwag,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066677/common/54026,Carolinian,,2021-07-27T16:46:41Z
94016,Gaaguluug,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076137/common/200164,Carolinian,,2021-07-27T16:50:31Z
94016,Nipwurupwur,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076137/common/200139,Carolinian,,2021-07-27T16:50:37Z
135283,Filaang,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066658/common/54824,Carolinian,,2021-07-27T17:58:02Z
135283,Felang,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066658/common/54826,Carolinian,,2021-07-27T17:58:16Z
135283,Hiyuk,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066658/common/54818,Carolinian,,2021-07-27T17:58:25Z
135283,Fenaang,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066658/common/54825,Carolinian,,2021-07-27T17:58:31Z
135283,Fitiru,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066658/common/54823,Carolinian,,2021-07-27T17:58:38Z
63597,Lisheileil,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076469/common/36368,Carolinian,,2021-07-27T19:19:17Z
63597,Potofúsúfús,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076469/common/36321,Carolinian,,2021-07-27T19:19:23Z
424818,Fiepwerik,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066720/common/55477,Carolinian,,2021-07-27T19:58:51Z
52459,Ligapwarig,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066716/common/55593,Carolinian,,2021-07-27T19:59:01Z
49641,Ligapwarig,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066719/common/55526,Carolinian,,2021-07-27T19:59:01Z
424818,Ligapwarig,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066720/common/55496,Carolinian,,2021-07-27T19:59:01Z
