id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
509307,Pepega,und,"","",,Chamorro,James Ojascastro,2016-10-03T13:18:31Z
189051,Mapunyao,und,"","",,Chamorro,James Ojascastro,2016-10-04T10:38:25Z
510457,Potupot,und,"","",,Chamorro,James Ojascastro,2016-10-14T02:31:34Z
504651,Otot,und,"","",,Chamorro,James Ojascastro,2016-10-17T06:04:01Z
504035,Yoga,und,"","",,Chamorro,James Ojascastro,2016-10-18T02:08:50Z
471230,Alom,und,"","",,Chamorro,James Ojascastro,2016-10-18T03:26:25Z
511065,Chopak,und,"","",,Chamorro,James Ojascastro,2016-10-18T03:30:23Z
510930,Agatelang,und,"","",,Chamorro,James Ojascastro,2016-10-18T03:47:23Z
504034,Gausali,und,"","",,Chamorro,James Ojascastro,2016-10-18T06:40:22Z
122796,Donni sali,und,"","",,Chamorro,James Ojascastro,2016-11-19T07:42:44Z
363481,nanaso,und,"","",,Chamorro,James Ojascastro,2016-12-05T09:02:57Z
138579,Håyun lågu,und,"","",,Chamorro,Corey Lange,2017-04-10T03:17:15Z
193311,Ufa hålom tåno',und,"","",,Chamorro,Corey Lange,2017-05-16T18:55:59Z
504339,Langiti,und,"","",,Chamorro,James Ojascastro,2017-05-31T16:04:29Z
425741,Fagot,und,"","",,Chamorro,James Ojascastro,2017-05-31T16:05:23Z
425757,Lalaha,und,"","",,Chamorro,James Ojascastro,2017-05-31T16:08:28Z
509162,Banago,und,"","",,Chamorro,James Ojascastro,2017-06-04T23:24:56Z
47447,Tangantangan,und,"","",,Chamorro,James Ojascastro,2017-06-11T23:25:03Z
528817,pupulon aniti,und,"","",,Chamorro,James Ojascastro,2017-06-15T14:24:16Z
343875,Ifit,und,"","",,Chamorro,James Ojascastro,2017-06-29T19:37:37Z
485345,Tagete,und,"","",,Chamorro,James Ojascastro,2017-06-30T14:37:54Z
485345,Hodda,und,"","",,Chamorro,James Ojascastro,2017-06-30T14:38:22Z
503865,Nunu,und,"","",,Chamorro,James Ojascastro,2017-06-30T14:39:48Z
139168,Gaogao,und,"","",,Chamorro,James Ojascastro,2017-06-30T17:36:15Z
169399,Mwelel piut,und,"","",,Chamorro,James Ojascastro,2017-06-30T20:19:13Z
510928,Paipai,und,"","",,Chamorro,James Ojascastro,2017-07-01T21:55:49Z
363301,Hamlag,und,"","",,Chamorro,James Ojascastro,2017-07-05T00:26:29Z
360351,Amahadyan,und,"","",,Chamorro,James Ojascastro,2017-07-05T00:36:16Z
360351,Amahatyan,und,"","",,Chamorro,James Ojascastro,2017-07-05T00:36:46Z
552070,Pengua,und,"","",,Chamorro,James Ojascastro,2017-07-05T00:39:52Z
62821,Talisai,und,"","",,Chamorro,James Ojascastro,2017-07-05T00:48:20Z
159698,Da'ok,und,"","",,Chamorro,James Ojascastro,2017-07-05T01:01:38Z
14946,Sali,und,"","",,Chamorro,James Ojascastro,2017-07-05T01:08:21Z
8007,Aga,und,"","",,Chamorro,James Ojascastro,2017-07-05T01:09:34Z
136153,Fadang,und,"","",,Chamorro,James Ojascastro,2017-07-05T01:18:54Z
136153,Fandang,und,"","",,Chamorro,James Ojascastro,2017-07-05T01:19:23Z
136153,Fadan,und,"","",,Chamorro,James Ojascastro,2017-07-05T01:19:57Z
48865,niyog,und,"","",,Chamorro,James Ojascastro,2017-07-05T01:22:11Z
48865,niyok,und,"","",,Chamorro,James Ojascastro,2017-07-05T01:22:46Z
84150,Pahong,und,"","",,Chamorro,James Ojascastro,2017-07-05T02:11:47Z
70026,Kafu,und,"","",,Chamorro,James Ojascastro,2017-07-05T02:14:07Z
70026,Fatsao,und,"","",,Chamorro,James Ojascastro,2017-07-05T02:14:32Z
343758,Chi'ute,und,"","",,Chamorro,James Ojascastro,2017-07-05T02:16:02Z
62888,Gagu,und,"","",,Chamorro,James Ojascastro,2017-07-05T03:38:19Z
62888,Gago,und,"","",,Chamorro,James Ojascastro,2017-07-05T03:38:48Z
132923,Gulos,und,"","",,Chamorro,James Ojascastro,2017-07-05T17:02:29Z
136213,Fadan,und,"","",,Chamorro,James Ojascastro,2017-07-05T17:08:29Z
136213,Fadang,und,"","",,Chamorro,James Ojascastro,2017-07-05T17:16:33Z
425825,Lalanyok,und,"","",,Chamorro,James Ojascastro,2017-07-05T18:21:14Z
425825,Lalanyog,und,"","",,Chamorro,James Ojascastro,2017-07-05T18:22:07Z
62859,Abas,und,"","",,Chamorro,James Ojascastro,2017-07-05T19:37:28Z
278899,Nonak,und,"","",,Chamorro,James Ojascastro,2017-07-05T19:45:35Z
278899,Nonag,und,"","",,Chamorro,James Ojascastro,2017-07-05T19:46:15Z
122099,Kulales,und,"","",,Chamorro,James Ojascastro,2017-07-05T21:39:39Z
2787,Totot,und,"","",,Chamorro,James Ojascastro,2017-07-05T21:41:10Z
17540,Canario,und,"","",,Chamorro,James Ojascastro,2017-07-05T21:43:56Z
549370,Berenghenas hålom tåno',und,"","",,Chamorro,James Ojascastro,2017-07-06T02:15:26Z
549374,Katot,und,"","",,Chamorro,James Ojascastro,2017-07-06T02:17:31Z
472136,Tsatsa,und,"","",,Chamorro,James Ojascastro,2017-07-06T02:18:37Z
549373,Ahgaga,und,"","",,Chamorro,James Ojascastro,2017-07-06T02:19:41Z
138579,Trongkon guåfi,und,"","",,Chamorro,James Ojascastro,2017-07-06T02:22:57Z
160745,Gulalen,und,"","",,Chamorro,James Ojascastro,2017-07-06T15:44:19Z
169500,Saigon,und,"","",,Chamorro,James Ojascastro,2017-07-06T16:54:25Z
370011,Raguar,und,"","",,Chamorro,James Ojascastro,2017-07-06T16:55:54Z
552389,Atoto,und,"","",,Chamorro,James Ojascastro,2017-07-07T15:47:04Z
62942,Fofegau,und,"","",,Chamorro,James Ojascastro,2017-07-07T16:08:39Z
62942,Fofgu,und,"","",,Chamorro,James Ojascastro,2017-07-07T16:08:59Z
