id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
20978,ᎢᏧᎳ ᎦᏙ ᎠᎹ ᏱᏃ ᎡᎯ,und,"","",,Cherokee,John E. Christensen,2017-12-01T10:13:08Z
47126,ᏗᎦᎪᎯᏗ,und,"","",,Cherokee,John E. Christensen,2017-12-13T15:24:12Z
45933,ᏌᎶᎵ,und,"","",,Cherokee,John E. Christensen,2018-07-12T15:25:38Z
41871,ᏗᎳ,und,"","",,Cherokee,John E. Christensen,2018-10-28T12:52:55Z
12727,ᏴᏩᏁᎬ ᏥᏉᏉ,und,"","",,Cherokee,John E. Christensen,2019-02-02T16:40:49Z
40151,ᎺᎹᎵ,und,"","",,Cherokee,John E. Christensen,2019-02-07T16:27:16Z
119817,inage-tanenu-na,und,"","",,Cherokee,Valerie Anderson,2019-02-12T16:44:06Z
119817,ako-hl,und,"","",,Cherokee,Valerie Anderson,2019-02-12T16:44:24Z
46095,ᐧᐄᓂᔥᒄ,und,"","",,Cherokee,John E. Christensen,2019-03-05T06:30:47Z
47170,ᏭᎾᎩ,und,"","",,Cherokee,John E. Christensen,2019-04-03T13:14:32Z
47927,ᏩᏓᏚᎦ,und,"","",,Cherokee,John E. Christensen,2019-11-11T21:23:08Z
526556,ᏥᏯ,und,"","",,Cherokee,John E. Christensen,2020-06-07T11:39:29Z
50310,ᏚᏯᏍᏗ (duyasdi),und,"","",,Cherokee,Ben,2020-07-09T04:39:58Z
54504,ᎬᏂᎨ ᏎᏘ,und,"","",,Cherokee,Ben,2020-07-09T04:44:15Z
49202,ᎫᏏ,und,"","",,Cherokee,Ben,2020-07-09T12:38:41Z
54854,ᎢᏓᎭ,und,"","",,Cherokee,Ben,2020-07-09T12:50:20Z
4793,ᏦᏍᏙᏩ,und,"","",,Cherokee,Ben,2020-07-09T18:21:59Z
972793,Nakwisiusdi,und,"","",,Cherokee,anneliese merrigan,2020-07-20T21:46:10Z
42158,ᎠᏫ,und,"","",,Cherokee,John E. Christensen,2020-09-26T15:23:04Z
20979,ᏩᎶᏏ,und,"","",,Cherokee,John E. Christensen,2020-12-07T11:29:46Z
41970,ᎠᎺᎵᎨ ᏢᏓᏥ ᎤᏅᏣᏗ,und,"","",,Cherokee,Zane Roskoph,2021-07-30T11:55:32Z
41972,ᎤᎶᎩᎸ ᏢᏓᏥ,und,"","",,Cherokee,Zane Roskoph,2021-07-30T12:50:18Z
42007,ᏢᏓᏥ,und,"","",,Cherokee,Zane Roskoph,2021-08-01T00:42:06Z
41955,ᏢᏓᏥ ᎠᎦᏣᏄᎳ,und,"","",,Cherokee,Zane Roskoph,2021-08-13T11:55:31Z
41964,ᏢᏓᏥ ᎤᏃᏕᎾ,und,"","",,Cherokee,Zane Roskoph,2021-08-24T13:04:51Z
116735,Sochan,und,"","",,Cherokee,Annkatrin Rose,2021-08-25T19:53:00Z
41967,ᏢᏓᏥ ᏧᎶᎸᏗ,und,"","",,Cherokee,Zane Roskoph,2021-08-26T15:02:27Z
47851,ᏧᏍᎦ,und,"","",,Cherokee,Charlie Ashwood-Johns,2021-09-08T15:48:41Z
