id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
1,Hova,und,"","",,Cheyenne,John E. Christensen,2017-12-04T12:06:30Z
3,Ve'kese,und,"","",,Cheyenne,John E. Christensen,2017-12-22T21:52:16Z
47158,Meškêso,und,"","",,Cheyenne,John E. Christensen,2017-12-23T10:44:15Z
39532,Ma'ëno,und,"","",,Cheyenne,John E. Christensen,2018-02-02T07:37:45Z
5305,Vóaxáa'e,und,"","",,Cheyenne,John E. Christensen,2018-03-23T10:49:29Z
333586,Ho'éméhne,und,"","",,Cheyenne,John E. Christensen,2018-07-11T14:05:06Z
41871,Xäö'o,und,"","",,Cheyenne,John E. Christensen,2018-10-28T12:52:34Z
70054,Nêxo'mévéhe,und,"","",,Cheyenne,John E. Christensen,2018-12-24T08:06:58Z
12727,Ma'êšenévé'késo,und,"","",,Cheyenne,John E. Christensen,2019-02-02T16:40:30Z
46095,Séavóneške,und,"","",,Cheyenne,John E. Christensen,2019-03-05T06:30:29Z
505478,Kokêhéaxa,und,"","",,Cheyenne,John E. Christensen,2019-10-06T06:47:28Z
317759,Ahke,und,"","",,Cheyenne,Dewald du Plessis,2020-03-23T12:55:24Z
354784,Ahke,und,"","",,Cheyenne,Dewald du Plessis,2020-03-23T12:55:50Z
339939,Ahke,und,"","",,Cheyenne,Dewald du Plessis,2020-03-23T12:56:48Z
906,Ma'xėhē'ne,und,"","",,Cheyenne,Ben,2020-07-09T10:57:54Z
42158,Váótséva,und,"","",,Cheyenne,John E. Christensen,2020-09-26T15:23:30Z
47903,Heškóvemata,und,"","",,Cheyenne,John E. Christensen,2021-02-10T16:23:30Z
42007,Nanóse'hame,und,"","",,Cheyenne,Zane Roskoph,2021-08-01T00:43:16Z
41644,Vóhpenáhkohe,und,"","",,Cheyenne,Zane Roskoph,2021-08-11T16:06:35Z
41964,Péhpe'énanóse'hame,und,"","",,Cheyenne,Zane Roskoph,2021-08-24T13:05:07Z
77305,Âhkévó'êstse,und,"","",,Cheyenne,Charlie Ashwood-Johns,2021-09-08T14:51:21Z
47130,Hestaahtsémeno,und,"","",,Cheyenne,Charlie Ashwood-Johns,2021-09-08T15:39:40Z
135883,Vé'evêšéstótó'e,und,"","",,Cheyenne,Charlie Ashwood-Johns,2021-09-08T16:11:29Z
47603,Heóvêstséávó'êstse,und,"","",,Cheyenne,Charlie Ashwood-Johns,2021-09-08T16:18:13Z
