id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
55897,agrimony orthezia,und,"","",http://www.ubio.org/browser/details.php?namebankID=4637581,Chinese,,2010-02-11T14:01:24Z
28331,Xizang Wenquan She,und,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Chinese,,2011-08-19T02:15:36Z
104888,Gongshan Baihuanshe,und,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Chinese,,2011-08-19T03:02:51Z
114065,Sichuan Wenquan She,und,"","",The Reptile Database (2011). Downloaded from http://www.reptile-database.org on 31/07/2011,Chinese,,2011-08-19T03:06:43Z
143784,crapemyrtle scale,und,"","",http://www.ubio.org/browser/details.php?namebankID=4637552,Chinese,,2012-08-16T20:55:58Z
41584,Ba Gua Mao,und,"","",http://www.ubio.org/browser/details.php?namebankID=760180,Chinese,,2012-11-05T21:35:44Z
198780,Hanguo Zhaoni,und,"","",,Chinese,Scott Loarie,2012-12-20T15:09:53Z
198781,Riben Bei Zhaoni,und,"","",,Chinese,Scott Loarie,2012-12-20T15:10:51Z
198782,Jilin Zhaoni,und,"","",,Chinese,Scott Loarie,2012-12-20T15:11:35Z
198783,Liaoning Zhaoni,und,"","",,Chinese,Scott Loarie,2012-12-20T15:12:11Z
337453,玉帶鳳蝶,und,"","",http://www.ubio.org/browser/details.php?namebankID=5431691,Chinese,,2013-11-27T14:48:08Z
337533,玉帶弄蝶,und,"","",http://www.ubio.org/browser/details.php?namebankID=5431344,Chinese,,2013-12-02T02:14:29Z
337534,玉帶黛眼蝶,und,"","",http://www.ubio.org/browser/details.php?namebankID=5431582,Chinese,,2013-12-02T02:14:30Z
337534,玉帶黑蔭蝶,und,"","",http://www.ubio.org/browser/details.php?namebankID=5432048,Chinese,,2013-12-02T02:14:31Z
179383,白帶黛眼蝶,und,Hong Kong | Macao,"HK,MO",http://www.ubio.org/browser/details.php?namebankID=5431575,Chinese,sunnetchan,2013-12-05T15:44:13Z
49530,尺蛾科 (尺蠖蛾科),und,"Hong Kong | Macao | Taiwan | Guangdong, CN","HK,MO,TW",,Chinese,sunnetchan,2013-12-12T09:56:44Z
135808,白皮松,und,"","",,Chinese,Duarte Frade,2014-08-24T22:33:25Z
369810,紅毛斑蛾,und,"","",,Chinese,sunnetchan,2014-09-13T17:23:06Z
416147,黃帶並脊天牛,und,"","",,Chinese,sunnetchan,2014-10-30T09:02:03Z
47434,禾本科,und,Hong Kong | Taiwan | Macao,"HK,TW,MO",,Chinese,sunnetchan,2015-01-31T02:26:03Z
465558,纖紅蜻蜓,und,"","",,Chinese,Scott King,2015-06-04T16:08:01Z
202224,眼蛺蝶族,und,Hong Kong | Taiwan | Macao,"HK,TW,MO",,Chinese,sunnetchan,2015-09-24T08:37:17Z
500822,毛柱隔距兰,und,"","",,Chinese,Jonatan Glad,2016-07-09T16:29:03Z
500822,蜘蛛蘭,und,Hong Kong,HK,,Chinese,Jonatan Glad,2016-07-09T16:36:02Z
511543,黃脛巨緣椿象,und,"","",,Chinese,James Bailey,2016-10-22T16:48:32Z
165004,小茄,und,"","",,Chinese,James Bailey,2017-06-01T22:46:27Z
445672,腹帶叉鼻魨,und,"","",http://eol.org/pages/52605458,Chinese,Bobby McCabe,2017-10-10T10:21:08Z
112582,昆明鲇,und,"","",,Chinese,Bobby McCabe,2017-10-12T00:13:47Z
79462,榔榆,und,"","",,Chinese,Bobby McCabe,2017-10-12T22:33:36Z
126845,單葉蔓荊,und,"","",,Chinese,portioid,2017-10-29T18:28:57Z
120847,铁杉,und,"","",,Chinese,Bobby McCabe,2017-11-01T13:42:46Z
135557,云南铁杉,und,"","",,Chinese,Bobby McCabe,2017-11-01T13:47:21Z
569411,中國山貓,und,"","",,Chinese,Bobby McCabe,2017-11-05T02:18:47Z
569411,草猞猁,und,"","",,Chinese,Bobby McCabe,2017-11-05T02:18:48Z
569411,漠貓,und,"","",,Chinese,Bobby McCabe,2017-11-05T02:18:48Z
464373,朱砂杜鹃,und,"","",,Chinese,James Ojascastro,2017-11-08T02:16:06Z
47821,虻科,und,"","",,Chinese,Yang Yi,2017-11-24T15:26:37Z
49195,老鸦糊,und,"","",,Chinese,John E. Christensen,2017-11-29T08:03:15Z
57157,大凌风草,und,"","",,Chinese,John E. Christensen,2017-11-29T09:26:33Z
209325,小叶栒子,und,"","",,Chinese,James Ojascastro,2017-11-30T05:50:57Z
602697,平龙胆,und,"","",,Chinese,James Ojascastro,2017-11-30T05:52:27Z
336018,兜蝽科,und,"","",,Chinese,Yang Yi,2017-11-30T14:44:58Z
569754,绵参,und,"","",,Chinese,James Ojascastro,2017-12-10T09:39:19Z
603037,大果大戟,und,"","",,Chinese,James Ojascastro,2017-12-10T09:40:38Z
556229,尖叶唐松草,und,"","",,Chinese,Will van Hemessen,2017-12-20T16:59:48Z
481558,大花唐松草,und,"","",,Chinese,Will van Hemessen,2017-12-20T17:06:46Z
493058,紫堇叶唐松草,und,"","",,Chinese,Will van Hemessen,2017-12-20T20:19:19Z
103289,粗鉤春蜓,und,"","",,Chinese,Mafia Tsavo,2017-12-25T07:33:10Z
64517,海神花屬,und,"","",,Chinese,John E. Christensen,2017-12-27T15:31:15Z
135552,崖柏,und,"","",,Chinese,cassi saari,2017-12-31T17:51:37Z
557574,小漆树,und,"","",,Chinese,cassi saari,2018-01-02T18:56:11Z
557574,xiao qi shu,und,"","",,Chinese,cassi saari,2018-01-02T18:56:30Z
486549,標準,und,"","",,Chinese,cassi saari,2018-01-02T18:57:34Z
428410,毛漆树,und,"","",,Chinese,cassi saari,2018-01-02T18:59:49Z
136233,银杉,und,"","",,Chinese,cassi saari,2018-01-02T20:01:12Z
136233,yin shan,und,"","",,Chinese,cassi saari,2018-01-02T20:01:22Z
135905,长苞铁杉,und,"","",,Chinese,cassi saari,2018-01-02T20:04:55Z
483934,宽叶兔儿风,und,"","",,Chinese,cassi saari,2018-01-04T01:30:53Z
483934,kuan ye tu er feng,und,"","",,Chinese,cassi saari,2018-01-04T01:31:11Z
