id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
62941,agcum,und,"","",,Chol,Ken-ichi Ueda,2013-05-16T07:58:17Z
206529,chacté,und,"","",,Chol,Ken-ichi Ueda,2013-05-16T08:04:51Z
290046,Chacté,und,"","",,Chol,Ken-ichi Ueda,2013-05-16T08:04:51Z
209939,chacté,und,"","",,Chol,Ken-ichi Ueda,2013-05-16T08:04:51Z
209957,chic'b,und,"","",,Chol,Jorge Rojas S.,2013-05-16T08:05:15Z
277806,guch-shibá,und,"","",,Chol,Ken-ichi Ueda,2013-05-16T08:10:31Z
49658,naba,und,"","",,Chol,Ken-ichi Ueda,2013-05-16T08:19:44Z
125147,ñiuc,und,"","",,Chol,harum.koh,2013-05-16T08:20:38Z
291783,cha'te',und,"","",,Chol,Ken-ichi Ueda,2018-08-21T06:56:47Z
964736,Gran Cucaracha de Aguas,und,"","",,Chol,Francisco Acosta,2020-05-04T18:52:04Z
47118,Am,und,"","",,Chol,Diego Barrales,2021-03-14T18:20:15Z
47424,Chiwoj,und,"","",,Chol,Diego Barrales,2021-03-14T18:21:45Z
48894,Tuchub,und,"","",,Chol,Diego Barrales,2021-03-14T18:22:36Z
