id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
127676,achi-ol,und,"","",,Chontal,,2013-05-16T07:58:09Z
75363,ajus,und,"","",,Chontal,,2013-05-16T07:58:35Z
161144,al-a-ju,und,"","",,Chontal,,2013-05-16T07:58:41Z
169858,alca-pajac,und,"","",,Chontal,,2013-05-16T07:58:45Z
274262,al-ca-uo-she,und,"","",,Chontal,,2013-05-16T07:58:46Z
62859,al-pil-ca,und,"","",,Chontal,,2013-05-16T07:59:07Z
209870,am-le,und,"","",,Chontal,,2013-05-16T07:59:24Z
209957,auue-quec,und,"","",,Chontal,Jorge Rojas S.,2013-05-16T08:00:13Z
48448,cal-coshac,und,"","",,Chontal,,2013-05-16T08:03:17Z
284698,cal-fui-bi-ku,und,"","",,Chontal,,2013-05-16T08:03:18Z
125147,cal-mishi,und,"","",,Chontal,harum.koh,2013-05-16T08:03:18Z
165144,Cal-que-lidzi-na,und,"","",,Chontal,María Alejandra González,2013-05-16T08:03:19Z
273902,cashi-quec,und,"","",,Chontal,,2013-05-16T08:04:21Z
58138,cua-aua,und,"","",,Chontal,Oscar González,2013-05-16T08:07:20Z
206793,cu-jue-e,und,"","",,Chontal,,2013-05-16T08:07:43Z
123694,el-pa-te-shima-lo,und,"","",,Chontal,,2013-05-16T08:08:19Z
286952,flor de tórtola,und,"","",,Chontal,,2013-05-16T08:09:31Z
201454,fuibiku,und,"","",,Chontal,,2013-05-16T08:09:43Z
283309,ique-juacle,und,"","",,Chontal,,2013-05-16T08:15:33Z
202573,lacú,und,"","",,Chontal,,2013-05-16T08:16:49Z
136083,la-fane-tejuá,und,"","",,Chontal,,2013-05-16T08:16:49Z
139075,lai-tus,und,"","",,Chontal,,2013-05-16T08:16:50Z
122850,la-la-ne,und,"","",,Chontal,Zachary Dankowicz,2013-05-16T08:16:51Z
132130,la-li-pe,und,"","",,Chontal,Adrian Bojorquez,2013-05-16T08:16:51Z
278375,lalustú,und,"","",,Chontal,,2013-05-16T08:16:52Z
81817,lan-cua-yu-ca-cat-no,und,"","",,Chontal,,2013-05-16T08:16:53Z
154828,lan-fe-la,und,"","",,Chontal,Adrian Bojorquez,2013-05-16T08:16:53Z
158455,lan-uo-shé,und,"","",,Chontal,,2013-05-16T08:16:54Z
290264,lan-uo-shé,und,"","",,Chontal,,2013-05-16T08:16:54Z
274367,La-po-ne-ca-dzol,und,"","",,Chontal,María Alejandra González,2013-05-16T08:16:55Z
136889,lasha-ual-co,und,"","",,Chontal,cassi saari,2013-05-16T08:16:55Z
52440,lash-matz-za,und,"","",,Chontal,,2013-05-16T08:16:55Z
