id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
11901,Ял чĕкеçĕ,und,"","",,Chuvash,John E. Christensen,2017-12-22T13:36:26Z
3,Вĕçен кайăксем,und,"","",,Chuvash,John E. Christensen,2018-03-20T07:05:29Z
53352,Çирĕк,und,"","",,Chuvash,John E. Christensen,2018-05-12T19:24:42Z
45933,Пакша йышшисем,und,"","",,Chuvash,John E. Christensen,2018-07-12T15:24:48Z
4730,Аист евĕрлисем,und,"","",,Chuvash,John E. Christensen,2018-11-15T08:19:37Z
63573,Чăрăш,und,"","",,Chuvash,John E. Christensen,2018-12-16T09:36:59Z
57983,Хĕвелçаврăнăш,und,"","",,Chuvash,John E. Christensen,2018-12-23T15:22:28Z
40151,Сĕтпе ӳсекенсем,und,"","",,Chuvash,John E. Christensen,2019-02-07T16:02:29Z
51741,Серте,und,"","",,Chuvash,John E. Christensen,2019-05-01T07:58:18Z
19350,Тăмана евĕррисем,und,"","",,Chuvash,John E. Christensen,2020-08-30T20:04:14Z
44576,Сăрă йĕкехӳре,und,"","",,Chuvash,Marina Gorbunova,2021-01-12T18:03:16Z
44576,Йĕкехӳре,und,"","",,Chuvash,Marina Gorbunova,2021-01-12T18:03:27Z
41970,Ягуар,und,"","",,Chuvash,Zane Roskoph,2021-07-30T11:57:29Z
42007,Пума,und,"","",,Chuvash,Zane Roskoph,2021-08-01T00:45:54Z
129054,Геснер тюльпанӗ,und,"","",,Chuvash,Zane Roskoph,2021-08-10T12:05:57Z
123356,Цитрон,und,"","",,Chuvash,Zane Roskoph,2021-08-10T12:35:57Z
41644,Шурă упа,und,"","",,Chuvash,Zane Roskoph,2021-08-11T16:07:20Z
41955,Гепард,und,"","",,Chuvash,Zane Roskoph,2021-08-13T11:56:22Z
112581,Çуйăн,und,"","",,Chuvash,Zane Roskoph,2021-08-14T18:06:08Z
102975,Шурă пулă,und,"","",,Chuvash,Zane Roskoph,2021-08-14T18:46:09Z
41964,Арăслан,und,"","",,Chuvash,Zane Roskoph,2021-08-24T13:06:47Z
74831,Ирбис,und,"","",,Chuvash,Zane Roskoph,2021-08-25T11:36:01Z
130796,Амур тигрĕ,und,"","",,Chuvash,Zane Roskoph,2021-08-26T13:48:59Z
41967,Тигр,und,"","",,Chuvash,Zane Roskoph,2021-08-26T15:10:52Z
