id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
84996,Ivanga sheu,und,Comoros,KM,,Comorian,Zane Roskoph,2021-07-16T16:39:46Z
52188,Mgonguzi,und,"","",,Comorian,Zane Roskoph,2021-07-19T11:37:14Z
52188,Mgonguzi mafia,und,"","",,Comorian,Zane Roskoph,2021-07-19T11:37:41Z
52188,Mgonguzi matuda,und,"","",,Comorian,Zane Roskoph,2021-07-19T11:38:00Z
67971,Ntsara,und,"","",,Comorian,Zane Roskoph,2021-07-19T14:58:22Z
52508,Chithozi,und,"","",,Comorian,Zane Roskoph,2021-07-27T16:00:48Z
154282,Chicanda moanefe,und,"","",,Comorian,Zane Roskoph,2021-07-27T16:26:51Z
154282,Chicanda nyongo,und,"","",,Comorian,Zane Roskoph,2021-07-27T16:27:08Z
154282,Chicandra moanefe,und,"","",,Comorian,Zane Roskoph,2021-07-27T16:27:25Z
94016,N'tsime,und,"","",,Comorian,Zane Roskoph,2021-07-27T16:51:15Z
121705,Nyeve,und,"","",,Comorian,Zane Roskoph,2021-07-27T17:32:51Z
135283,Chimazi,und,"","",,Comorian,Zane Roskoph,2021-07-27T17:58:50Z
135283,Mazi ntimbo,und,"","",,Comorian,Zane Roskoph,2021-07-27T17:59:04Z
63597,Chenkwa,und,"","",,Comorian,Zane Roskoph,2021-07-27T19:20:05Z
63597,Simba,und,"","",,Comorian,Zane Roskoph,2021-07-27T19:20:29Z
63597,Sine,und,"","",,Comorian,Zane Roskoph,2021-07-27T19:20:45Z
63597,Tsime,und,"","",,Comorian,Zane Roskoph,2021-07-27T19:20:59Z
104109,Combessa,und,"","",,Comorian,Zane Roskoph,2021-07-28T14:22:52Z
104109,Gombesa,und,"","",,Comorian,Zane Roskoph,2021-07-28T14:23:17Z
104109,Gombessa,und,"","",,Comorian,Zane Roskoph,2021-07-28T14:23:41Z
104109,Gombeza,und,"","",,Comorian,Zane Roskoph,2021-07-28T14:24:05Z
104109,Kombesa,und,"","",,Comorian,Zane Roskoph,2021-07-28T14:24:27Z
104109,Mtsamboaboa,und,"","",,Comorian,Zane Roskoph,2021-07-28T14:24:51Z
49639,M'fikudi tengagwe,und,"","",,Comorian,Zane Roskoph,2021-07-29T00:18:34Z
49639,M'zoussi nyodri,und,"","",,Comorian,Zane Roskoph,2021-07-29T00:19:04Z
49639,Mzoussi,und,"","",,Comorian,Zane Roskoph,2021-07-29T00:19:37Z
49639,Sahale,und,"","",,Comorian,Zane Roskoph,2021-07-29T00:19:59Z
49639,Tsahale,und,"","",,Comorian,Zane Roskoph,2021-07-29T00:20:26Z
52466,Chicanda niancoiche,und,"","",,Comorian,Zane Roskoph,2021-07-29T02:05:36Z
53669,Chicanda mamouale,und,"","",,Comorian,Zane Roskoph,2021-07-30T11:32:36Z
53669,Chicandra mamouale,und,"","",,Comorian,Zane Roskoph,2021-07-30T11:32:53Z
53669,Kanandje,und,"","",,Comorian,Zane Roskoph,2021-07-30T11:33:08Z
50873,Mambwe,und,"","",,Comorian,Zane Roskoph,2021-07-30T14:14:28Z
50873,Mambwe zingwi,und,"","",,Comorian,Zane Roskoph,2021-07-30T14:14:46Z
50873,Milime,und,"","",,Comorian,Zane Roskoph,2021-07-30T14:14:59Z
50873,Pamba maji,und,"","",,Comorian,Zane Roskoph,2021-07-30T14:15:25Z
179875,Ch'tsimba kombe,und,"","",,Comorian,Zane Roskoph,2021-07-30T15:27:16Z
179875,Cohana,und,"","",,Comorian,Zane Roskoph,2021-07-30T15:27:30Z
123269,Mazi bile,und,"","",,Comorian,Zane Roskoph,2021-07-30T18:42:14Z
83884,Chicanda coaei,und,"","",,Comorian,Zane Roskoph,2021-07-30T19:15:22Z
83884,Chicanda nyongo,und,"","",,Comorian,Zane Roskoph,2021-07-30T19:15:37Z
83884,Chicandra coaeï,und,"","",,Comorian,Zane Roskoph,2021-07-30T19:15:55Z
83884,Nkada mbuhu,und,"","",,Comorian,Zane Roskoph,2021-07-30T19:16:08Z
97001,Itsuhetsuhe,und,"","",,Comorian,Zane Roskoph,2021-07-31T20:19:51Z
97001,Mzisi nkanku,und,"","",,Comorian,Zane Roskoph,2021-07-31T20:20:38Z
97001,Soumahasera,und,"","",,Comorian,Zane Roskoph,2021-07-31T20:21:27Z
97001,Sumaha,und,"","",,Comorian,Zane Roskoph,2021-07-31T20:21:51Z
52456,Chendanthau,und,"","",,Comorian,Zane Roskoph,2021-07-31T23:41:43Z
52456,Shenbandro,und,"","",,Comorian,Zane Roskoph,2021-07-31T23:42:12Z
52451,Gnonga,und,"","",,Comorian,Zane Roskoph,2021-08-03T16:05:30Z
52451,Ivoumbounde,und,"","",,Comorian,Zane Roskoph,2021-08-03T16:05:43Z
620623,Domoue kaba,und,"","",,Comorian,Zane Roskoph,2021-08-05T17:44:07Z
620623,Domouekaba,und,"","",,Comorian,Zane Roskoph,2021-08-05T17:44:26Z
620623,N'tarangaa,und,"","",,Comorian,Zane Roskoph,2021-08-05T17:44:39Z
54441,Mhunga dawo,und,"","",,Comorian,Zane Roskoph,2021-08-29T11:46:12Z
153280,Cahoa,und,"","",,Comorian,Zane Roskoph,2021-08-29T13:55:56Z
153280,N'tsihitsihi,und,"","",,Comorian,Zane Roskoph,2021-08-29T13:56:11Z
153280,Songowa,und,"","",,Comorian,Zane Roskoph,2021-08-29T13:56:30Z
153280,Gourou,und,"","",,Comorian,Zane Roskoph,2021-08-29T13:58:08Z
106222,M'Hizi,und,"","",,Comorian,Zane Roskoph,2021-09-01T17:09:17Z
142970,Mhunga kame,und,"","",,Comorian,Zane Roskoph,2021-09-11T18:55:45Z
194883,Koule,und,"","",,Comorian,Zane Roskoph,2021-09-18T15:27:31Z
114122,Mbasi bankudi,und,"","",,Comorian,Zane Roskoph,2021-09-18T20:00:20Z
49601,Mbamba kubwa,und,"","",,Comorian,Zane Roskoph,2021-09-19T15:18:26Z
49601,Mbamba,und,"","",,Comorian,Zane Roskoph,2021-09-19T15:18:42Z
47257,Mbasi ngu,und,"","",,Comorian,Zane Roskoph,2021-09-20T00:08:49Z
47257,Kanadi,und,"","",,Comorian,Zane Roskoph,2021-09-20T00:09:10Z
47257,Nguu,und,"","",,Comorian,Zane Roskoph,2021-09-20T00:09:30Z
47257,M'Bassi n'gourou,und,"","",,Comorian,Zane Roskoph,2021-09-20T00:09:58Z
97004,M'vouhé,und,"","",,Comorian,Zane Roskoph,2021-10-09T16:01:35Z
97004,M'Voue,und,"","",,Comorian,Zane Roskoph,2021-10-09T16:02:00Z
97004,Cherove,und,"","",,Comorian,Zane Roskoph,2021-10-09T16:02:17Z
97004,Ifinkoudi,und,"","",,Comorian,Zane Roskoph,2021-10-09T16:02:35Z
97004,Ifinkudi,und,"","",,Comorian,Zane Roskoph,2021-10-09T16:02:52Z
97004,Sherove,und,"","",,Comorian,Zane Roskoph,2021-10-09T16:03:08Z
47578,Ch'tamare,und,"","",,Comorian,Zane Roskoph,2021-10-10T18:49:51Z
47578,Mbisu hassan,und,"","",,Comorian,Zane Roskoph,2021-10-10T18:50:19Z
95066,Chicandra maronto,und,"","",,Comorian,Zane Roskoph,2021-10-17T13:46:06Z
47251,Mhudana,und,"","",,Comorian,Zane Roskoph,2021-10-17T22:31:33Z
121661,Irorovu kocha,und,"","",,Comorian,Zane Roskoph,2021-12-28T15:19:04Z
