id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
49617,Céro,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Creole (French),Donald Davesne,2009-02-15T05:31:08Z
53567,Lion Baroque,und,"","",http://www.ubio.org/browser/details.php?namebankID=895765,Creole (French),Bobby McCabe,2009-10-04T06:31:27Z
53574,Lion aux ailes rouges,und,"","",http://www.ubio.org/browser/details.php?namebankID=896878,Creole (French),Ken-ichi Ueda,2009-10-04T06:31:42Z
55202,Kaya,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Creole (French),Ken-ichi Ueda,2010-01-17T15:49:36Z
342673,Sap-sap le dents,und,"","",http://www.ubio.org/browser/details.php?namebankID=868051,Creole (French),Ken-ichi Ueda,2014-02-11T07:00:22Z
52817,Coulant barré,und,"","",http://www.ubio.org/browser/details.php?namebankID=898170,Creole (French),Ken-ichi Ueda,2014-05-31T01:42:24Z
154723,Madame tombé,und,"","",,Creole (French),Cédric de Foucault,2015-08-26T07:07:59Z
275157,Liane papaye,und,"","",,Creole (French),Cédric de Foucault,2015-09-02T07:06:28Z
193310,Toto margot,und,"","",,Creole (French),Cédric de Foucault,2015-09-03T14:02:54Z
119428,Laffe volant,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10079383/common/38235,Creole (French),Ken-ichi Ueda,2015-09-15T09:41:36Z
111200,Laffe volant,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10079385/common/38200,Creole (French),Bobby McCabe,2015-09-15T09:41:37Z
123459,Laffe volant,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10079386/common/38187,Creole (French),Mark Rosenstein,2015-09-15T09:41:37Z
47281,Laffe volant,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10079389/common/38127,Creole (French),Ken-ichi Ueda,2015-09-15T09:41:37Z
47280,Laffe volant,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10079391/common/38065,Creole (French),Ken-ichi Ueda,2015-09-15T09:41:37Z
84181,Dilar,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10070650/common/142943,Creole (French),,2017-05-23T16:08:14Z
187097,Sap-sap long,und,"","",http://www.ubio.org/browser/details.php?namebankID=893742,Creole (French),Ken-ichi Ueda,2017-12-21T22:48:59Z
851888,Cadoc,und,"","",,Creole (French),Cédric de Foucault,2019-01-13T19:35:42Z
