id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47241,Viola,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Creole (Portuguese),,2009-04-14T06:58:36Z
28081,cobra bobo,und,"","",,Creole (Portuguese),Jakob Fahr,2011-05-05T06:16:42Z
50976,Viola,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/585335/common/194589,Creole (Portuguese),Ken-ichi Ueda,2012-11-07T17:12:56Z
50974,Viola,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083678/common/19351,Creole (Portuguese),Ken-ichi Ueda,2012-11-07T17:12:57Z
127856,Viola,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081061/common/30642,Creole (Portuguese),,2012-11-07T17:12:58Z
50965,Viola,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083677/common/19337,Creole (Portuguese),,2012-11-07T17:12:58Z
182243,Viola,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10080974/common/30861,Creole (Portuguese),,2012-11-07T17:12:59Z
182244,Viola,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081272/common/30042,Creole (Portuguese),,2012-11-07T17:13:00Z
50966,Viola,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078406/common/46787,Creole (Portuguese),,2012-11-07T17:13:02Z
182245,Viola,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081250/common/30115,Creole (Portuguese),,2012-11-07T17:13:02Z
50972,Viola,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076604/common/64511,Creole (Portuguese),,2012-11-07T17:13:04Z
50969,Viola-de-cunha,und,Cape Verde,CV,http://www.catalogueoflife.org/annual-checklist/details/species/id/10078445/common/46209,Creole (Portuguese),Ken-ichi Ueda,2012-11-07T17:13:04Z
182248,Viola,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081232/common/30179,Creole (Portuguese),,2012-11-07T17:13:05Z
50968,Viola,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076296/common/68869,Creole (Portuguese),Kitty Maurey,2012-11-07T17:13:07Z
50963,Viola,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078433/common/46434,Creole (Portuguese),Ken-ichi Ueda,2012-11-07T17:13:07Z
111813,Viola,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081206/common/30269,Creole (Portuguese),,2012-11-07T17:13:07Z
50971,Viola,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076185/common/70428,Creole (Portuguese),Ken-ichi Ueda,2012-11-07T17:13:08Z
131428,Lagartijo,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10054947/common/46919,Creole (Portuguese),Ken-ichi Ueda,2014-05-16T13:46:34Z
425981,Passarinha,und,Cape Verde,CV,,Creole (Portuguese),Duarte Frade,2015-02-06T17:58:55Z
116766,Tchota-cana,und,"","",,Creole (Portuguese),Duarte Frade,2015-02-06T18:08:09Z
179551,Mané-cabeça,und,"","",,Creole (Portuguese),Duarte Frade,2015-03-02T19:57:44Z
179551,Manelinho,und,"","",,Creole (Portuguese),Duarte Frade,2015-03-02T19:57:25Z
517001,Erva-cidreira,und,"","",,Creole (Portuguese),Duarte Frade,2016-11-29T19:21:19Z
39670,Tatô,und,Sao Tome and Principe,ST,,Creole (Portuguese),Cesar Pollo,2017-01-27T11:56:09Z
39677,Tartaruga Ambulãncia,und,Sao Tome and Principe,ST,,Creole (Portuguese),Cesar Pollo,2017-01-27T11:58:28Z
39672,Sada,und,Sao Tome and Principe,ST,,Creole (Portuguese),Cesar Pollo,2017-01-27T12:03:38Z
109023,Benku,und,Sao Tome and Principe,ST,,Creole (Portuguese),Cesar Pollo,2017-01-27T12:06:48Z
39665,Cabeça grande,und,Sao Tome and Principe,ST,,Creole (Portuguese),Cesar Pollo,2017-01-27T12:11:12Z
39659,Ambô,und,Sao Tome and Principe,ST,,Creole (Portuguese),Cesar Pollo,2017-01-27T12:14:59Z
429827,Osga de Príncipe,und,"","",,Creole (Portuguese),Cesar Pollo,2017-04-05T16:17:03Z
607505,Viola,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078418/common/46626,Creole (Portuguese),Ken-ichi Ueda,2017-12-20T07:27:20Z
607507,Viola,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078427/common/46552,Creole (Portuguese),Ken-ichi Ueda,2017-12-20T07:27:33Z
607504,Viola,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10078414/common/46683,Creole (Portuguese),Ken-ichi Ueda,2017-12-20T07:27:35Z
50984,Anchova,und,Cape Verde,CV,,Creole (Portuguese),Zane Roskoph,2021-07-20T12:33:57Z
491007,Peixe-burro,und,"","",,Creole (Portuguese),Zane Roskoph,2021-07-27T17:26:03Z
491007,Fambil,und,"","",,Creole (Portuguese),Zane Roskoph,2021-07-27T17:26:44Z
491007,Cangul,und,"","",,Creole (Portuguese),Zane Roskoph,2021-07-27T17:26:58Z
491007,Asno,und,"","",,Creole (Portuguese),Zane Roskoph,2021-07-27T17:27:10Z
