id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
62831,basholobó,und,"","",,Cuicateco,Ken-ichi Ueda,2013-05-16T08:00:43Z
147260,cadili,und,"","",,Cuicateco,Jorge Rojas S.,2013-05-16T08:03:00Z
277826,cuputishi,und,"","",,Cuicateco,Ken-ichi Ueda,2013-05-16T08:07:58Z
276412,cuyá,und,"","",,Cuicateco,Ken-ichi Ueda,2013-05-16T08:08:01Z
62811,dungué,und,"","",,Cuicateco,Ken-ichi Ueda,2013-05-16T08:08:14Z
122811,du-te-dan,und,"","",,Cuicateco,Ken-ichi Ueda,2013-05-16T08:08:15Z
281614,Ejechí,und,"","",,Cuicateco,Ken-ichi Ueda,2013-05-16T08:08:17Z
278375,ibacó,und,"","",,Cuicateco,Ken-ichi Ueda,2013-05-16T08:15:24Z
49658,ien-gau-o,und,"","",,Cuicateco,Ken-ichi Ueda,2013-05-16T08:15:27Z
48059,inda-a,und,"","",,Cuicateco,Ken-ichi Ueda,2013-05-16T08:15:28Z
281597,itate,und,"","",,Cuicateco,Ken-ichi Ueda,2013-05-16T08:15:39Z
166920,lala-nempá,und,"","",,Cuicateco,joshua_tx,2013-05-16T08:16:51Z
290171,ma-hña,und,"","",,Cuicateco,Ken-ichi Ueda,2013-05-16T08:18:16Z
161287,nanda-yudi,und,"","",,Cuicateco,Ken-ichi Ueda,2013-05-16T08:19:50Z
48448,nih-gno,und,"","",,Cuicateco,Ken-ichi Ueda,2013-05-16T08:20:06Z
122849,pe'ta,und,"","",,Cuicateco,Ken-ichi Ueda,2013-05-16T08:22:50Z
48651,shimul,und,"","",,Cuicateco,Alexis López Hernández,2013-05-16T08:24:32Z
58991,uadela,und,"","",,Cuicateco,Ken-ichi Ueda,2013-05-16T08:27:02Z
122866,uajpada,und,"","",,Cuicateco,Bobby McCabe,2013-05-16T08:27:02Z
154528,u-e,und,"","",,Cuicateco,Ken-ichi Ueda,2013-05-16T08:27:04Z
135929,yac-cú,und,"","",,Cuicateco,Ken-ichi Ueda,2013-05-16T08:28:04Z
170883,aabu,und,"","",,Cuicateco,Carlos Galindo-Leal,2014-10-13T18:18:12Z
79472,iai-do-no,und,"","",,Cuicateco,Konstantinos Kalaentzis,2017-04-20T06:43:50Z
84300,yah-cuio,und,"","",,Cuicateco,Ken-ichi Ueda,2018-04-04T15:02:00Z
49658,ingamo,und,"","",,Cuicateco,Ken-ichi Ueda,2019-01-29T17:53:22Z
873768,apuga,und,"","",,Cuicateco,Valentin de Mazancourt,2019-03-13T15:23:59Z
