id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
127438,Buga-ong,und,"","",http://www.ubio.org/browser/details.php?namebankID=1547863,Davawenyo,,2012-04-26T02:11:15Z
81498,Labayan,und,"","",,Davawenyo,Zane Roskoph,2021-12-04T06:44:38Z
81498,Mul-mul,und,"","",,Davawenyo,Zane Roskoph,2021-12-04T06:45:04Z
102075,Labayan,und,"","",,Davawenyo,Zane Roskoph,2021-12-04T14:07:51Z
102075,Mul-mul,und,"","",,Davawenyo,Zane Roskoph,2021-12-04T14:08:14Z
105065,Labayan,und,"","",,Davawenyo,Zane Roskoph,2021-12-04T14:24:03Z
105065,Mul-mul,und,"","",,Davawenyo,Zane Roskoph,2021-12-04T14:24:27Z
471636,Lagaw,und,"","",,Davawenyo,Zane Roskoph,2021-12-04T14:59:14Z
105062,Mul-mul,und,"","",,Davawenyo,Zane Roskoph,2021-12-04T15:03:58Z
122514,Timbungan,und,"","",,Davawenyo,Zane Roskoph,2021-12-06T00:08:52Z
619681,Pata,und,"","",,Davawenyo,Zane Roskoph,2021-12-24T16:27:52Z
424314,Pata,und,"","",,Davawenyo,Zane Roskoph,2021-12-24T16:36:38Z
447759,Pata,und,"","",,Davawenyo,Zane Roskoph,2021-12-24T16:52:53Z
325535,Pata,und,"","",,Davawenyo,Zane Roskoph,2021-12-24T17:04:03Z
181026,Pata,und,"","",,Davawenyo,Zane Roskoph,2021-12-24T17:15:19Z
121661,Baka-baka,und,"","",,Davawenyo,Zane Roskoph,2021-12-28T15:20:04Z
121661,Butiti,und,"","",,Davawenyo,Zane Roskoph,2021-12-28T15:20:55Z
