id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
58755,Zerbrechlicher Blasenfarn,und,Austria | Germany,"AT,DE",,Deutsch,Tig,2011-11-03T19:51:16Z
59567,Mammutbaum,und,"","",,Deutsch,John E. Christensen,2017-12-07T15:16:15Z
605446,sonnenblumen,und,"","",,Deutsch,Bodo Nuñez Oberg,2017-12-10T23:04:45Z
49571,Tillandsien,und,"","",,Deutsch,Joachim Louis,2017-12-21T08:01:41Z
48111,Gottesanbeterinnen,und,"","",,Deutsch,John E. Christensen,2017-12-21T13:03:27Z
47232,Stachelmakrelen,und,"","",,Deutsch,Joachim Louis,2018-02-02T09:33:20Z
47398,Einsiedlerkrebse,und,"","",,Deutsch,John E. Christensen,2018-02-06T12:02:44Z
557401,Kaplöwe,und,"","",,Deutsch,Joachim Louis,2018-02-11T11:24:10Z
41566,Buckelwaal,und,"","",,Deutsch,Joachim Louis,2018-03-01T09:52:05Z
482864,Kretisches Alpenveilchen,und,"","",,Deutsch,Jörg Hempel,2018-03-12T19:51:18Z
81694,Riesen-Knabenkraut,und,"","",,Deutsch,Jörg Hempel,2018-03-13T11:10:31Z
47890,Balsaminengewächse,und,"","",,Deutsch,Erwin Gruber,2018-03-13T13:25:14Z
129271,Strauch-Schneckenklee,und,"","",,Deutsch,Lukas Mohr,2018-03-13T14:10:09Z
333821,MIlchweißes Knabenkraut,und,"","",,Deutsch,Jörg Hempel,2018-03-13T16:21:32Z
220326,Knöterichblattkäfer,und,"","",,Deutsch,Eric Knopf,2018-03-29T16:44:50Z
59320,Schmetterlings-Knabenkraut,und,"","",,Deutsch,Jörg Hempel,2018-04-13T19:03:33Z
221981,Grüner Kokonrüssler,und,"","",,Deutsch,Eric Knopf,2018-05-02T16:59:38Z
77840,Großblütiges Heusenkraut,und,"","",,Deutsch,purperlibel,2018-06-12T08:28:56Z
63567,Fichte,und,"","",,Deutsch,Harald Schnöde (Schnode),2018-12-06T21:53:19Z
155714,Safranmalven,und,"","",,Deutsch,bernhard_hiller,2019-06-30T19:16:10Z
85718,Hüpferlinge,und,"","",,Deutsch,John,2019-11-01T09:36:29Z
48536,Aronstabgewächse,und,"","",,Deutsch,bernhard_hiller,2019-11-11T20:25:29Z
976463,Admiral,und,"","",,Deutsch,Bodo Nuñez Oberg,2019-12-11T16:06:07Z
1051100,Silberspitzen Nacktschnecke,und,"","",https://www.inaturalist.org/taxon_names/1094585/edit,Deutsch,,2020-03-24T00:58:13Z
483509,Grüneule,und,"","",,Deutsch,Alexis,2020-07-16T09:16:51Z
