id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
40905,ngununy,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-01-29T00:51:04Z
42916,wulaba,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-16T08:45:28Z
40184,mirrin,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-16T08:52:35Z
42888,badagarang,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-16T08:53:40Z
40166,bulungga,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-16T08:59:45Z
43238,barrugin,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-16T09:07:27Z
42715,wubin,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-16T09:08:38Z
42996,ganyimung,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-16T09:10:24Z
42864,ganyimung,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-16T09:19:47Z
42864,buru,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-16T09:20:20Z
42982,gulamany,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-16T09:20:54Z
846291,wali,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-16T09:30:16Z
42808,burumin,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-16T09:30:57Z
42987,buduru,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T06:30:20Z
372843,dawaran,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T07:48:45Z
42743,bugari,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T07:50:27Z
42723,djubi,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T07:52:00Z
42973,banggaray,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T07:52:52Z
40166,marriyagang,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T07:53:44Z
42872,wularu,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T07:54:27Z
45616,djanarruk,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T07:55:13Z
43001,wumbat,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T07:56:54Z
42729,yabunaru,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T07:57:32Z
35073,wirragadara,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T07:58:17Z
31419,ngarang,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T08:08:05Z
35140,marragawan,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T08:09:01Z
35060,daning,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T08:10:39Z
32175,malya,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T08:11:25Z
20979,gunggung,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T08:11:59Z
39469,wirriga,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T08:12:35Z
85660,bayagin,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T08:14:09Z
85552,bunmarra,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T08:15:37Z
35153,djirrabidi,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T08:20:55Z
26036,gan,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T08:36:34Z
85553,bulada,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T08:37:28Z
37460,mugadun,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T08:46:36Z
8575,djarrawunang,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T09:05:17Z
8040,wugan,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T09:06:10Z
3,binyang,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T09:07:04Z
14092,wibung,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-17T09:08:34Z
6987,yurungay,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-26T04:16:41Z
5276,gugurruk,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-26T08:01:15Z
6914,mulgu,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-26T08:01:52Z
20099,bubuk,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-26T08:02:29Z
508055,dyuralya,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-26T08:03:06Z
3336,guwadagang,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-26T08:05:20Z
5407,djamuldjamul,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-26T08:12:16Z
3681,mirral,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-26T08:18:23Z
8585,wanyuwin,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-26T08:19:03Z
3898,ngurwinarriwing,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-26T08:19:39Z
20504,murawung,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-26T08:21:26Z
116846,garada,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-26T08:31:44Z
19111,wangawang,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-26T08:33:01Z
144507,djugadya,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-26T08:34:05Z
71261,bunda,und,"","",,Dharug,Taylor,2022-02-26T08:34:38Z
19195,guma,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-27T08:10:06Z
2413,guganagina,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-27T08:25:50Z
6905,nuwalgang,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-27T08:26:16Z
4872,bunyarinarin,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-27T08:27:02Z
19721,binit,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-27T08:27:48Z
19246,guma,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-27T09:02:32Z
12329,wirgan,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-27T21:26:35Z
18921,guriyayil,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-27T21:27:47Z
19284,guriyayil,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-27T21:28:30Z
980095,guriyayil,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-27T21:29:23Z
19246,guriyayil,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-27T21:32:01Z
18920,guriyayil,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-27T21:32:39Z
8583,birrarik,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-27T21:35:18Z
4326,garranga bumarri,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-27T21:36:12Z
4783,burrandjarung,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-27T21:36:58Z
980095,warin,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-27T21:38:24Z
14069,gulungaga,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-27T21:38:57Z
4988,gulina,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-27T21:39:47Z
2464,dyaramak,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-28T08:25:57Z
979682,marrigang,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-28T08:30:01Z
20422,budhawa,und,"Greater Sydney Area, NSW AU","",,Dharug,Taylor,2022-02-28T08:30:41Z
