id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
170883,ދޮންކެޔޮ,und,"","",,Divehi,John E. Christensen,2017-12-20T15:50:31Z
75445,ދަމުއި,und,"","",,Divehi,John E. Christensen,2018-04-23T20:41:27Z
70054,ކަރާ,und,"","",,Divehi,John E. Christensen,2018-12-24T10:45:54Z
82814,ނެލަންބޯ ނުސިފޭރާ,und,"","",,Divehi,John E. Christensen,2019-05-05T10:41:12Z
157765,ބާމިޔާ,und,"","",,Divehi,Johan Devos,2020-12-20T20:34:30Z
102636,Hindhu dhidhamas,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069841/common/192939,Divehi,,2021-07-20T16:10:05Z
113200,Hikaa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076553/common/152113,Divehi,,2021-07-27T16:23:17Z
94025,Hikaa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076146/common/200004,Divehi,,2021-07-27T16:23:17Z
102580,Hikaa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076406/common/171782,Divehi,,2021-07-27T16:23:18Z
102040,Hikaa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076341/common/59402,Divehi,,2021-07-27T16:23:18Z
113980,Hikaa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076599/common/94179,Divehi,,2021-07-27T16:23:19Z
94027,Hikaa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076148/common/199961,Divehi,,2021-07-27T16:23:19Z
108076,Hikaa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076475/common/125472,Divehi,,2021-07-27T16:23:20Z
102051,Hikaa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076357/common/59192,Divehi,,2021-07-27T16:23:20Z
95813,Hikaa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076153/common/125326,Divehi,,2021-07-27T16:23:21Z
110971,Hikaa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076525/common/156960,Divehi,,2021-07-27T16:23:21Z
102080,Hikaa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076392/common/58693,Divehi,,2021-07-27T16:23:21Z
95819,Hikaa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076159/common/125233,Divehi,,2021-07-27T16:23:22Z
