id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
63081,Sangvétula,und,"","",,Emilian Romagnol,John E. Christensen,2017-12-30T07:58:10Z
311249,Musć,und,"","",,Emilian Romagnol,John E. Christensen,2018-01-01T10:05:01Z
85552,Arzintèla,und,"","",,Emilian Romagnol,John E. Christensen,2018-01-02T11:25:18Z
47170,Funś,und,"","",,Emilian Romagnol,John E. Christensen,2018-01-20T08:42:08Z
40268,Papastrèl,und,"","",,Emilian Romagnol,John E. Christensen,2018-01-24T16:25:01Z
42134,Signàl,und,"","",,Emilian Romagnol,John E. Christensen,2018-02-13T08:02:05Z
52134,Sinsàla,und,"","",,Emilian Romagnol,John E. Christensen,2018-02-17T10:23:46Z
43042,Ris,und,"","",,Emilian Romagnol,John E. Christensen,2018-05-24T15:35:43Z
47336,Furmîga,und,"","",,Emilian Romagnol,John E. Christensen,2018-11-01T16:28:52Z
47157,Parpàja,und,"","",,Emilian Romagnol,John E. Christensen,2018-11-23T08:52:17Z
47851,Quérza,und,"","",,Emilian Romagnol,John E. Christensen,2018-11-26T15:15:27Z
44576,Påndga,und,"","",,Emilian Romagnol,John E. Christensen,2019-04-17T09:31:22Z
47602,Pisalèt,und,"","",,Emilian Romagnol,Irene Saltini,2019-04-20T09:06:47Z
51884,Urtîga,und,"","",,Emilian Romagnol,Irene Saltini,2019-04-20T09:10:18Z
54404,Papàver,und,"","",,Emilian Romagnol,Irene Saltini,2019-04-20T09:23:43Z
55884,Ròza selvàdga,und,"","",,Emilian Romagnol,Irene Saltini,2019-04-20T09:27:54Z
55886,Mdàj dal Pèpa,und,"","",,Emilian Romagnol,Irene Saltini,2019-04-20T09:33:46Z
12716,Mèrel,und,"","",,Emilian Romagnol,Irene Saltini,2019-04-24T15:34:53Z
55563,Malgaritéin,und,"","",,Emilian Romagnol,Irene Saltini,2019-06-11T20:52:29Z
56057,Malgarétta,und,"","",,Emilian Romagnol,Irene Saltini,2019-06-11T20:55:00Z
47566,Fjòpi,und,"","",,Emilian Romagnol,Irene Saltini,2019-06-11T21:12:38Z
51875,Tarfój råss,und,"","",,Emilian Romagnol,Irene Saltini,2019-06-11T21:16:03Z
55745,Tarfój bjânc,und,"","",,Emilian Romagnol,Irene Saltini,2019-06-11T21:16:38Z
50298,Frēvla salvâdga,und,"","",,Emilian Romagnol,Irene Saltini,2019-06-11T21:18:20Z
51737,Pamdòr,und,"","",,Emilian Romagnol,Irene Saltini,2019-08-18T19:29:26Z
505478,Gal,und,"","",,Emilian Romagnol,John E. Christensen,2019-11-22T13:37:12Z
60265,Sparzéina,und,"","",,Emilian Romagnol,Irene Saltini,2020-06-14T07:30:24Z
