id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
41845,Nutria Gigante,und,Argentina,AR,,Español (Argentina),Gonzalo Roget,2011-05-18T03:07:37Z
41845,Lobo Gargantilla,und,Argentina,AR,,Español (Argentina),Gonzalo Roget,2011-05-18T03:07:37Z
42694,Comadrejita Yungueña,und,Argentina,AR,,Español (Argentina),Gonzalo Roget,2011-05-18T03:07:48Z
539037,Yarará grande,und,Argentina,AR,,Español (Argentina),Leonardo Adrián LEIVA,2018-10-12T10:39:35Z
607207,Cuis común,und,Argentina,AR,,Español (Argentina),Germán González,2019-03-29T15:03:36Z
330291,Lechiguana,und,Argentina,AR,,Español (Argentina),Gonzalo Roget,2019-04-30T16:59:38Z
810560,Espinillo,und,Argentina,AR,,Español (Argentina),Horacio Sirolli,2019-06-07T16:15:37Z
43802,Liebre patagónica,und,Argentina,AR,,Español (Argentina),Gonzalo Roget,2020-01-18T20:15:31Z
43802,Mara,und,Argentina,AR,,Español (Argentina),Gonzalo Roget,2020-01-18T20:16:09Z
542425,Ninfa Verdosa,und,Argentina,AR,,Español (Argentina),Leonel Roget,2020-02-10T14:51:59Z
447545,Guindo,und,Argentina,AR,,Español (Argentina),María Regina Silva,2020-04-25T01:25:15Z
539037,Víbora de la cruz,und,Argentina,AR,,Español (Argentina),Gonzalo Roget,2020-05-25T19:40:36Z
42694,Marmosa elegante,und,Argentina,AR,,Español (Argentina),Gonzalo Roget,2020-06-14T05:08:40Z
44623,Ratón de pastizal pampeano,und,Argentina,AR,,Español (Argentina),Gonzalo Roget,2020-06-25T23:09:32Z
621947,Testolín rojo,und,Argentina,AR,,Español (Argentina),Gonzalo Roget,2020-06-28T04:15:26Z
621947,Rubio,und,Argentina,AR,,Español (Argentina),Gonzalo Roget,2020-06-28T04:15:45Z
56765,Tiburón Martillo,und,Argentina,AR,,Español (Argentina),demianlescano,2020-07-23T23:16:20Z
96768,Escalandrún,und,Argentina,AR,,Español (Argentina),demianlescano,2020-07-23T23:39:48Z
326800,Killi Perla,und,Argentina,AR,,Español (Argentina),demianlescano,2020-07-27T19:44:46Z
59195,Medialuna Común,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2020-09-11T22:38:05Z
50073,Julia,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2020-09-12T00:37:18Z
372529,Blanca Lomo Negro,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2020-09-12T01:34:34Z
975987,Sátiro-Plateado Chileno,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2020-09-12T03:32:07Z
148638,Ninfa Ocelada,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2020-09-12T04:17:38Z
67435,Rabuda Verde Común,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2020-09-12T13:53:55Z
418030,Élida,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2020-09-12T22:43:11Z
601709,Frotadora-Menor Sangrante,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2020-09-13T01:20:46Z
804504,Borde de Jade,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2020-09-13T01:29:24Z
130451,Juno,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2020-09-13T01:45:01Z
194335,Frotadora línea oscura,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2020-09-13T02:16:27Z
143021,Sopapita de Marfil,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2020-09-13T02:56:56Z
418032,Frotadora Esmeralda Coluda,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2020-09-13T03:43:12Z
294022,Llamarada,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2020-09-13T03:45:41Z
522311,Sátiro-Plateado Común,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2020-09-13T03:52:16Z
338569,Almendra Tigre,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2020-09-13T21:05:17Z
148670,Golondrinita,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2020-09-13T22:09:42Z
423997,Sátiro del Coirón,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2020-09-13T22:45:50Z
126308,Daga Chirona,und,Argentina,AR,,Español (Argentina),Andrés Nicolás Ramírez,2020-11-13T16:48:31Z
68268,Hegesia,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2021-02-10T00:20:28Z
513301,Cristal Yungueña,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2021-02-11T00:49:18Z
857036,Llamarada,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2021-02-11T22:00:59Z
886225,Vitral Oscura,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2021-02-11T23:20:33Z
372528,Solcito,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2021-02-16T22:24:17Z
357598,Dama Patagónica,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2021-02-18T17:16:08Z
357600,Dama Tropical,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2021-02-18T17:17:23Z
60859,Dama Andina,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2021-02-18T17:18:26Z
429536,Isoca Patagónica,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2021-02-18T17:21:15Z
1176823,Rana criolla,und,Argentina,AR,,Español (Argentina),Gonzalo Roget,2021-02-20T04:15:38Z
1047015,Ajedrezada Oscura,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2021-02-22T21:49:53Z
494285,Medialuna Común,und,Argentina,AR,,Español (Argentina),Michelle Delaloye,2021-02-22T22:38:50Z
245942,Pequeñita rojiza,und,Argentina,AR,,Español (Argentina),Gonzalo Roget,2021-02-25T13:29:27Z
428323,Pequeñita naranja,und,Argentina,AR,,Español (Argentina),Gonzalo Roget,2021-02-25T13:30:30Z
423976,Paranense,und,Argentina,AR,,Español (Argentina),Gonzalo Roget,2021-02-25T13:32:00Z
872270,Alba amarilla,und,Argentina,AR,,Español (Argentina),Gonzalo Roget,2021-02-25T13:42:17Z
704183,Alba yungueña,und,Argentina,AR,,Español (Argentina),Gonzalo Roget,2021-02-25T13:43:48Z
