id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
39111,Lagartija esbelta,und,Chile,CL,,Español (Chile),Sam McNally,2012-03-13T06:07:27Z
4867,Queltehue,und,Chile,CL,,Español (Chile),max kirsch,2018-04-09T15:09:12Z
144504,Gaviota cáhuil,und,Chile,CL,,Español (Chile),max kirsch,2018-04-09T16:28:37Z
606382,Lagartija de Isluga,und,Chile,CL,,Español (Chile),Bobby McCabe,2020-02-16T02:02:18Z
39111,Lagartija tenue,und,Chile,CL,,Español (Chile),Ariel Cabrera Foix,2021-03-28T13:33:06Z
39782,Tortuga de orejas rojas,und,Chile,CL,,Español (Chile),Jorge Herreros de Lartundo,2021-04-25T05:00:51Z
717033,Calilla,und,Chile,CL,,Español (Chile),Ariel Cabrera Foix,2021-04-29T13:17:44Z
701433,Mariposita cordillerana,und,Chile,CL,,Español (Chile),Ariel Cabrera Foix,2021-05-03T14:34:36Z
626601,Mariposita,und,Chile,CL,,Español (Chile),Ariel Cabrera Foix,2021-05-03T14:37:41Z
560734,Mariposita costera,und,Chile,CL,,Español (Chile),Ariel Cabrera Foix,2021-05-03T14:38:53Z
1019190,Ortiga de Magallanes,und,Chile,CL,,Español (Chile),Ariel Cabrera Foix,2021-05-05T19:14:22Z
979885,Cometocino de dorso castaño,und,Chile,CL,,Español (Chile),Ariel Cabrera Foix,2021-05-09T12:59:20Z
73388,Picaflor chico,und,Chile,CL,,Español (Chile),Ariel Cabrera Foix,2021-05-10T05:21:24Z
780674,Chinche corazón,und,"","",,Español (Chile),Diego Almendras,2021-05-13T19:50:21Z
1261510,Chuchampe,und,"","",,Español (Chile),Diego Almendras,2021-07-05T15:54:49Z
1063064,Pez Sol,und,"","",,Español (Chile),Diego Almendras,2021-07-30T02:17:35Z
829615,Orquídea de Selkirk,und,Chile,CL,,Español (Chile),Jorge Herreros de Lartundo,2021-09-02T22:29:03Z
563544,Cacho de cabra,und,Chile,CL,,Español (Chile),Jorge Herreros de Lartundo,2021-09-21T20:49:21Z
1289358,Platero,und,"","",https://www.inaturalist.org/taxon_names/2525488/edit,Español (Chile),,2021-10-08T06:33:44Z
4867,Treile,und,Chile,CL,,Español (Chile),Jorge Herreros de Lartundo,2021-10-20T16:16:11Z
6309,Picaflor del Norte,und,Chile,CL,,Español (Chile),Jorge Herreros de Lartundo,2021-10-21T16:22:17Z
346959,Palomita,und,Chile,CL,,Español (Chile),Jorge Herreros de Lartundo,2021-10-21T16:27:54Z
43997,Coipo,und,Chile,CL,,Español (Chile),Jorge Herreros de Lartundo,2021-10-22T11:55:37Z
319332,Pichi romero,und,Chile,CL,,Español (Chile),Jorge Herreros de Lartundo,2021-11-01T17:27:51Z
732847,Clarincillo,und,Chile,CL,,Español (Chile),Jorge Herreros de Lartundo,2021-11-01T18:46:27Z
716671,Frangel,und,Chile,CL,,Español (Chile),Jorge Herreros de Lartundo,2021-11-02T03:14:59Z
14879,Tenca,und,Chile,CL,,Español (Chile),Jorge Herreros de Lartundo,2021-11-08T13:08:51Z
39064,Dragón de Torres-Mura,und,"","",,Español (Chile),Ariel Cabrera Foix,2021-11-18T13:05:38Z
40283,Murciélago oreja de ratón del sur,und,"","",,Español (Chile),Ariel Cabrera Foix,2021-11-19T17:29:57Z
41824,Quique,und,Chile,CL,,Español (Chile),Jorge Herreros de Lartundo,2021-11-24T23:07:56Z
855260,Hierba del clavo,und,"","",,Español (Chile),alainc,2021-11-30T17:53:34Z
47392,Barbuda,und,"","",,Español (Chile),Ariel Cabrera Foix,2021-12-11T20:00:32Z
519962,Ostión,und,Chile,CL,,Español (Chile),Jorge Herreros de Lartundo,2021-12-14T14:39:58Z
652152,Cholga,und,Chile,CL,,Español (Chile),Jorge Herreros de Lartundo,2021-12-14T14:43:37Z
428955,Chupalla,und,Chile,CL,,Español (Chile),José Miguel Contreras Fernández,2021-12-15T12:24:10Z
41133,Murciélago de hocico largo,und,"","",,Español (Chile),Ariel Cabrera Foix,2021-12-16T15:03:15Z
41133,Murciélago longirrostro peruano,und,"","",,Español (Chile),Ariel Cabrera Foix,2021-12-16T15:03:47Z
465228,Frutilla del diablo,und,Chile,CL,,Español (Chile),Jorge Herreros de Lartundo,2022-03-30T02:02:55Z
1289529,Diucón,und,Chile,CL,,Español (Chile),Jorge Herreros de Lartundo,2022-04-12T21:15:44Z
853980,Voqui auca,und,"","",,Español (Chile),Ariel Cabrera Foix,2022-04-26T22:48:23Z
853980,Siete huiras,und,"","",,Español (Chile),Ariel Cabrera Foix,2022-04-26T22:48:42Z
853980,Coralito,und,"","",,Español (Chile),Ariel Cabrera Foix,2022-04-26T22:49:24Z
1282689,Limoncito,und,Chile,CL,,Español (Chile),Mario Ramos González,2022-05-10T17:15:09Z
1117848,Muchi,und,"","",,Español (Chile),Ariel Cabrera Foix,2022-05-17T15:03:06Z
1117848,Litrecillo,und,"","",,Español (Chile),Ariel Cabrera Foix,2022-05-17T15:03:23Z
703954,Peumo,und,"","",,Español (Chile),Ariel Cabrera Foix,2022-05-19T14:58:22Z
1289601,Yeco,und,"","",,Español (Chile),Ariel Cabrera Foix,2022-05-19T16:14:10Z
781083,Yaro,und,Chile,CL,,Español (Chile),Jorge Herreros de Lartundo,2022-05-31T02:09:24Z
23189,Rana de pecho espinoso de la Cordillera Pelada,und,Chile,CL,,Español (Chile),Jorge Herreros de Lartundo,2022-06-21T23:01:16Z
122916,Pez Sol,und,Chile,CL,,Español (Chile),Jorge Herreros de Lartundo,2022-06-22T15:03:15Z
