id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
538974,Salamanqueja del Norte Chico,und,Chile,CL,,Español Chileno,Sam McNally,2017-03-21T22:15:02Z
556670,Matabuey,und,"","",,Español Chileno,Claudio Maureira,2019-11-19T12:57:55Z
330438,Mariposa colorada,und,"","",,Español Chileno,Diego Almendras,2020-05-07T17:29:14Z
210289,Picorocos,und,"","",,Español Chileno,Diego Almendras,2020-05-19T22:52:56Z
1086015,Pinocho,und,"","",,Español Chileno,Diego Almendras,2020-05-24T23:56:20Z
489666,Zapatito de la Virgen,und,"","",,Español Chileno,Diego Almendras,2020-06-10T13:36:22Z
637432,Pangue,und,"","",,Español Chileno,Diego Almendras,2020-09-20T22:22:37Z
540950,Pajarito de San Juan,und,"","",,Español Chileno,frank_u,2021-01-29T02:56:31Z
552199,Chagualillo,und,"","",,Español Chileno,Ariel Cabrera Foix,2021-02-09T16:34:47Z
552199,Chagual Chico,und,"","",,Español Chileno,Ariel Cabrera Foix,2021-02-09T16:35:14Z
5017,Garza boyera,und,Chile,CL,,Español Chileno,Ariel Cabrera Foix,2021-02-22T13:46:56Z
5017,Garza bueyera,und,Chile | Uruguay,"CL,UY",,Español Chileno,Ariel Cabrera Foix,2021-02-22T13:47:11Z
39245,Lagartija de Atacama,und,"","",,Español Chileno,Ariel Cabrera Foix,2021-03-28T13:53:46Z
62205,Malva loca,und,Chile,CL,,Español Chileno,Ariel Cabrera Foix,2021-04-19T12:28:42Z
559298,Oreja de zorro,und,Chile,CL,,Español Chileno,Ariel Cabrera Foix,2021-04-19T12:36:38Z
559298,Hierba de la Virgen María,und,Chile,CL,,Español Chileno,Ariel Cabrera Foix,2021-04-19T12:37:25Z
