id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
6921,Cigno,eo,"","",,Esperanto,John E. Christensen,2017-11-28T13:05:15Z
47208,Koleopteroj,eo,"","",,Esperanto,John E. Christensen,2017-11-30T21:52:01Z
48220,Brunalgoj,eo,"","",,Esperanto,John E. Christensen,2017-12-14T10:28:08Z
11858,Klifhirundo,eo,"","",,Esperanto,John E. Christensen,2017-12-17T14:40:39Z
1409,Kalifornia koturno,eo,"","",,Esperanto,John E. Christensen,2017-12-19T07:20:00Z
11901,Kamphirundo,eo,"","",,Esperanto,John E. Christensen,2017-12-22T13:39:47Z
26718,Salamandroj,eo,"","",,Esperanto,John E. Christensen,2018-01-07T09:23:45Z
40268,Kiropteroj,eo,"","",,Esperanto,John E. Christensen,2018-01-24T16:23:43Z
85552,Lacertuloj,eo,"","",,Esperanto,John E. Christensen,2018-01-27T07:32:38Z
481959,Marstelo,eo,"","",,Esperanto,John E. Christensen,2018-01-29T09:53:46Z
47219,Mielabelo,eo,"","",,Esperanto,John E. Christensen,2018-02-06T10:29:08Z
56764,Martelŝarko,eo,"","",,Esperanto,John E. Christensen,2018-02-07T09:01:21Z
42134,Apro,eo,"","",,Esperanto,John E. Christensen,2018-02-13T08:01:04Z
47668,Marstelo,eo,"","",,Esperanto,John E. Christensen,2018-03-16T14:30:05Z
48867,Arekacoj,eo,"","",,Esperanto,John E. Christensen,2018-03-18T14:45:37Z
56006,Kalao,eo,"","",,Esperanto,John E. Christensen,2018-05-02T08:11:53Z
41663,Lav-urso,eo,"","",,Esperanto,John E. Christensen,2018-05-22T19:50:40Z
53030,Kardilo,eo,"","",,Esperanto,John E. Christensen,2018-10-24T09:17:12Z
64714,Nigra vakcinio,eo,"","",,Esperanto,John E. Christensen,2018-11-19T09:50:44Z
41893,Mungotedoj,eo,"","",,Esperanto,John E. Christensen,2018-11-27T09:21:02Z
57140,Olivarbo,eo,"","",,Esperanto,John E. Christensen,2018-12-02T22:35:41Z
42147,Amfibia hipopotamo,eo,"","",,Esperanto,John E. Christensen,2018-12-04T17:24:54Z
36982,Skinkedoj,eo,"","",,Esperanto,John E. Christensen,2018-12-06T10:00:16Z
6930,Platbeka anaso,eo,"","",,Esperanto,John E. Christensen,2018-12-14T15:03:37Z
121943,Filiko,eo,"","",,Esperanto,John E. Christensen,2018-12-17T16:21:13Z
56299,Sentiga arĝentokardo,eo,"","",,Esperanto,John E. Christensen,2018-12-30T15:42:11Z
114891,Varano,eo,"","",,Esperanto,John E. Christensen,2019-01-03T07:18:17Z
8034,Brunkola korvo,eo,"","",,Esperanto,John E. Christensen,2019-01-06T08:53:58Z
45933,Sciuredoj,eo,"","",,Esperanto,John E. Christensen,2019-01-14T09:18:22Z
48836,Ofiuredoj,eo,"","",,Esperanto,John E. Christensen,2019-01-27T08:25:57Z
42241,Bovedoj,eo,"","",,Esperanto,John E. Christensen,2019-01-30T16:22:31Z
12727,Migra turdo,eo,"","",,Esperanto,John E. Christensen,2019-02-02T16:38:34Z
40151,Mamuloj,eo,"","",,Esperanto,John E. Christensen,2019-02-07T18:21:38Z
26039,Krokodiluloj,eo,"","",,Esperanto,John E. Christensen,2019-02-08T15:24:54Z
47119,Araneoidoj,eo,"","",,Esperanto,John E. Christensen,2019-02-13T19:59:55Z
48486,Kokcinelo,eo,"","",,Esperanto,John E. Christensen,2019-02-25T19:00:38Z
47516,Ĉielarka truto,eo,"","",,Esperanto,John E. Christensen,2019-03-13T09:40:33Z
47217,Orkidacoj,eo,"","",,Esperanto,John E. Christensen,2019-03-15T10:44:41Z
197808,Tamiaso,eo,"","",,Esperanto,John E. Christensen,2019-03-25T08:14:46Z
133387,Erikacoj,eo,"","",,Esperanto,John E. Christensen,2019-04-07T11:58:50Z
44576,Bruna rato,eo,"","",,Esperanto,John E. Christensen,2019-04-17T09:28:40Z
85553,Serpentoj,eo,"","",,Esperanto,John E. Christensen,2019-04-28T07:13:10Z
43367,Primatoj,eo,"","",,Esperanto,John E. Christensen,2019-05-11T11:13:42Z
47584,Duvalvulo,eo,"","",,Esperanto,John E. Christensen,2019-05-21T07:18:29Z
40019,Teraj testudoj,eo,"","",,Esperanto,John E. Christensen,2019-05-28T13:28:03Z
61267,Heteropteroj,eo,"","",,Esperanto,John E. Christensen,2019-06-13T08:56:43Z
74442,Kapibaro,eo,"","",,Esperanto,Bobby McCabe,2019-07-17T21:00:55Z
74442,Akvoporko,eo,"","",,Esperanto,Bobby McCabe,2019-07-17T21:01:06Z
914922,Japana falopio,eo,"","",,Esperanto,John E. Christensen,2019-07-30T18:49:03Z
8010,Korako,eo,"","",,Esperanto,John E. Christensen,2019-08-02T13:53:13Z
81925,Akvobubalo,eo,"","",,Esperanto,John E. Christensen,2019-08-15T13:48:24Z
52818,Milfolia akileo,eo,"","",,Esperanto,John E. Christensen,2019-09-01T13:20:11Z
50638,Plantagacoj,eo,"","",,Esperanto,John E. Christensen,2019-09-02T11:57:53Z
5179,Buteo (genro),eo,"","",,Esperanto,John E. Christensen,2019-09-05T13:55:51Z
43584,Homa,eo,"","",,Esperanto,Andrés Nicolás Ramírez,2019-09-15T21:20:50Z
57503,Melampiro,eo,"","",https://eol.org/pages/70729,Esperanto,,2019-10-11T18:27:04Z
60076,Herbeja melampiro,eo,"","",https://eol.org/pages/5672972,Esperanto,,2019-10-11T18:27:04Z
245680,Kampa melampiro,eo,"","",https://eol.org/pages/5672884,Esperanto,,2019-10-11T18:27:04Z
131612,Arbara melampiro,eo,"","",https://eol.org/pages/52375220,Esperanto,,2019-10-11T18:27:05Z
55854,Strammon,eo,"","",,Esperanto,Andrés Nicolás Ramírez,2019-11-17T17:08:00Z
41964,Leono,eo,"","",,Esperanto,Andrés Nicolás Ramírez,2019-11-22T00:37:27Z
41967,Tigro,eo,"","",,Esperanto,Andrés Nicolás Ramírez,2019-11-22T00:39:06Z
53438,Rozoj,eo,"","",,Esperanto,Andrés Nicolás Ramírez,2019-11-22T00:41:06Z
50299,Fragoj,eo,"","",,Esperanto,Andrés Nicolás Ramírez,2019-11-22T00:42:24Z
68763,Ĉerizo,eo,"","",,Esperanto,Andrés Nicolás Ramírez,2019-11-22T00:43:12Z
60773,Vinberoj,eo,"","",,Esperanto,Andrés Nicolás Ramírez,2019-11-22T00:44:57Z
60773,Vito,eo,"","",,Esperanto,Andrés Nicolás Ramírez,2019-11-22T00:45:27Z
