id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
122918,Agama,und,"","","FA Bisby, YR Roskov, MA Ruggiero, TM Orrell, LE Paglinawan, PW Brewer, N Bailly, J van Hertum, eds (2007). Species 2000 & ITIS Catalogue of Life: 2007 Annual Checklist Taxonomic Classification. CD-ROM; Species 2000: Reading, U.K.",Ewe,Bobby McCabe,2012-03-10T11:22:40Z
188520,Tsetsegoyie,und,"","",http://www.ubio.org/browser/details.php?namebankID=870705,Ewe,Ken-ichi Ueda,2015-02-05T18:13:50Z
188520,Tsetsegohie,und,"","",http://www.ubio.org/browser/details.php?namebankID=8112057,Ewe,Ken-ichi Ueda,2015-02-05T18:13:50Z
113675,Tsetsentor,und,"","",http://www.ubio.org/browser/details.php?namebankID=925953,Ewe,Ken-ichi Ueda,2017-12-21T22:56:56Z
123070,Gbɔ̃,und,"","",,Ewe,John E. Christensen,2018-12-30T16:04:50Z
18874,Ako,und,"","",,Ewe,John E. Christensen,2019-03-04T13:08:20Z
205917,Deka,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10077946/common/51958,Ewe,,2019-09-24T23:48:52Z
505478,Koklo,und,"","",,Ewe,John E. Christensen,2019-10-06T06:48:11Z
620393,Ekã,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072584/common/115749,Ewe,,2020-11-29T00:28:44Z
491025,Ekã,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072582/common/115804,Ewe,,2020-11-29T00:28:44Z
1154424,Ekã,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/9677794/common/247626,Ewe,,2020-11-29T00:28:45Z
97790,Deblolo,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082883/common/83770,Ewe,,2021-07-12T17:08:37Z
100167,Dzorkpletoe,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10062767/common/36937,Ewe,,2021-07-15T13:27:53Z
100167,Tagbanyae,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10062767/common/36926,Ewe,,2021-07-15T13:28:04Z
102742,Efa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10066252/common/233241,Ewe,,2021-07-15T14:13:32Z
102742,Fa,und,"","",,Ewe,Zane Roskoph,2021-07-16T16:10:08Z
102692,Wonyi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082217/common/185229,Ewe,,2021-07-19T16:45:52Z
103474,Gada-agborhor,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083374/common/261721,Ewe,,2021-07-21T13:35:04Z
103474,Akotsogada,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083374/common/261725,Ewe,,2021-07-21T13:35:24Z
103474,Tasaa,und,"","",,Ewe,Zane Roskoph,2021-07-21T13:36:44Z
97803,Blolofavimezi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082877/common/83791,Ewe,,2021-07-21T13:38:38Z
49606,Akpãgba,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10084933/common/104390,Ewe,,2021-07-27T17:24:38Z
491007,Akpamgba,und,"","",,Ewe,Zane Roskoph,2021-07-27T17:27:33Z
491007,Fume ha,und,"","",,Ewe,Zane Roskoph,2021-07-27T17:27:53Z
491007,Akpagbá,und,"","",,Ewe,Zane Roskoph,2021-07-27T17:28:14Z
67836,Atramedekakpui,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10074698/common/61930,Ewe,,2021-08-24T11:55:40Z
41964,Dzata,und,"","",,Ewe,Zane Roskoph,2021-08-24T12:18:25Z
101561,Liwoe nukpui,und,"","",,Ewe,Zane Roskoph,2021-08-28T17:06:00Z
49961,Agbloloe,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Ewe,,2021-09-01T12:02:49Z
493799,Adeke,und,"","",,Ewe,Zane Roskoph,2021-09-11T19:41:06Z
493799,Alidekae,und,"","",,Ewe,Zane Roskoph,2021-09-11T19:41:29Z
493799,Dégé,und,"","",,Ewe,Zane Roskoph,2021-09-11T19:41:53Z
493799,Deka,und,"","",,Ewe,Zane Roskoph,2021-09-11T19:42:13Z
120657,Dzodzodroe,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Ewe,,2021-10-23T14:24:04Z
55016,Dzodzodroe,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Ewe,,2021-10-23T14:24:04Z
113934,Fovunalawoe,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Ewe,,2021-12-23T20:21:58Z
113934,Agede,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Ewe,,2021-12-23T20:22:10Z
113934,Wuwluwoe,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Ewe,,2021-12-23T20:22:23Z
