id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47115,Lindýr,und,"","",,Faroese,John E. Christensen,2017-11-29T22:09:20Z
1,Dýr,und,"","",,Faroese,John E. Christensen,2017-12-09T10:40:09Z
41708,Steinkópur,und,"","",,Faroese,John E. Christensen,2017-12-12T13:11:21Z
47120,Liðadýr,und,"","",,Faroese,John E. Christensen,2018-01-18T15:51:29Z
10070,Bókígða,und,"","",,Faroese,John E. Christensen,2018-02-12T12:52:28Z
40019,Landskjaldbøkur,und,"","",,Faroese,John E. Christensen,2018-04-15T12:56:09Z
43042,Tindasvín,und,"","",,Faroese,John E. Christensen,2018-05-24T15:36:09Z
6930,Villdunna,und,"","",,Faroese,John E. Christensen,2018-12-14T15:04:53Z
40151,Súgdjór,und,"","",,Faroese,John E. Christensen,2019-02-07T18:21:59Z
47549,Tindadýr,und,"","",,Faroese,John E. Christensen,2019-03-01T09:30:49Z
43698,Gnagdýr,und,"","",,Faroese,John E. Christensen,2019-03-05T06:34:51Z
47170,Soppar,und,"","",,Faroese,John E. Christensen,2019-04-03T13:18:11Z
233598,Pólrevur,und,"","",,Faroese,John E. Christensen,2019-10-06T20:13:05Z
47114,Sniglar,und,"","",,Faroese,John E. Christensen,2020-04-24T14:44:36Z
1105043,margblømdur rølikur,und,Faroe Islands,FO,"Hansen, L. J. (n.d.). Vernacular species names—Tjóðsavnið. Tjóðsavnið. Retrieved June 18, 2021, from https://www.tjodsavnid.fo/vernacular-species-names
",Faroese,Ken-ichi Ueda,2021-06-18T20:12:23Z
54055,snúsrølikur,und,Faroe Islands,FO,"Hansen, L. J. (n.d.). Vernacular species names—Tjóðsavnið. Tjóðsavnið. Retrieved June 18, 2021, from https://www.tjodsavnid.fo/vernacular-species-names
",Faroese,Ken-ichi Ueda,2021-06-18T20:12:24Z
325916,sevkendur kveiki,und,Faroe Islands,FO,"Hansen, L. J. (n.d.). Vernacular species names—Tjóðsavnið. Tjóðsavnið. Retrieved June 18, 2021, from https://www.tjodsavnid.fo/vernacular-species-names
",Faroese,Ken-ichi Ueda,2021-06-18T20:12:25Z
60284,víðgongdur kveiki,und,Faroe Islands,FO,"Hansen, L. J. (n.d.). Vernacular species names—Tjóðsavnið. Tjóðsavnið. Retrieved June 18, 2021, from https://www.tjodsavnid.fo/vernacular-species-names
",Faroese,Ken-ichi Ueda,2021-06-18T20:12:25Z
158132,hundafínagras,und,Faroe Islands,FO,"Hansen, L. J. (n.d.). Vernacular species names—Tjóðsavnið. Tjóðsavnið. Retrieved June 18, 2021, from https://www.tjodsavnid.fo/vernacular-species-names
",Faroese,Ken-ichi Ueda,2021-06-18T20:12:29Z
69931,skriðfínagras,und,Faroe Islands,FO,"Hansen, L. J. (n.d.). Vernacular species names—Tjóðsavnið. Tjóðsavnið. Retrieved June 18, 2021, from https://www.tjodsavnid.fo/vernacular-species-names
",Faroese,Ken-ichi Ueda,2021-06-18T20:12:29Z
75312,vanligt fínagras,und,Faroe Islands,FO,"Hansen, L. J. (n.d.). Vernacular species names—Tjóðsavnið. Tjóðsavnið. Retrieved June 18, 2021, from https://www.tjodsavnid.fo/vernacular-species-names
",Faroese,Ken-ichi Ueda,2021-06-18T20:12:30Z
