id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
7043,دریانشین,und,"","",,Farsi,elham,2015-06-27T13:52:33Z
19022,مکائو ارغوانی,und,"","",,Farsi,John E. Christensen,2017-12-09T08:50:44Z
3800,سفیدغاز,und,"","",,Farsi,John E. Christensen,2018-02-08T09:50:15Z
53350,شاه‌بلوط (سرده),und,"","",,Farsi,John E. Christensen,2018-07-06T13:57:25Z
54327,زنبور سرخ اروپایی,und,"","",,Farsi,John E. Christensen,2018-10-30T10:01:14Z
51611,سیزاب,und,"","",,Farsi,John E. Christensen,2018-11-05T09:45:30Z
48486,کفش‌دوزک,und,"","",,Farsi,John E. Christensen,2019-02-25T19:01:09Z
82814,لاله مردابی,und,"","",,Farsi,John E. Christensen,2019-05-05T10:40:25Z
57563,کنگر فرنگی خاردار,und,"","",,Farsi,John E. Christensen,2019-07-06T09:43:06Z
42065,روباه ترکمنی,und,"","",,Farsi,Farshad Eskandari,2020-05-22T15:02:18Z
41959,گربه شنی,und,"","",,Farsi,Farshad Eskandari,2020-05-22T15:44:54Z
108103,سگ ماهي,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10061660/common/73806,Farsi,,2021-07-09T12:43:17Z
445815,سگ ماهي,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10058262/common/17883,Farsi,,2021-07-09T12:43:17Z
620925,سگ ماهي,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081815/common/74116,Farsi,,2021-07-09T12:43:17Z
611835,سگ ماهي,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10058277/common/17815,Farsi,,2021-07-09T12:43:18Z
620887,سگ ماهي,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081746/common/74245,Farsi,,2021-07-09T12:43:18Z
98114,سگ ماهي,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10058308/common/17678,Farsi,,2021-07-09T12:43:18Z
620892,سگ ماهي,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081759/common/74230,Farsi,,2021-07-09T12:43:18Z
98119,سگ ماهي,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10058314/common/17659,Farsi,,2021-07-09T12:43:18Z
446042,سگ ماهي,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081780/common/74186,Farsi,,2021-07-09T12:43:19Z
620924,سگ ماهي,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10081813/common/74123,Farsi,,2021-07-09T12:43:20Z
