id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
244698,Vaca,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10057965/common/216054,Fijian,,2013-04-18T02:32:35Z
57814,Vaca,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10072575/common/238057,Fijian,sea-kangaroo,2013-04-18T02:33:20Z
120614,Vaca,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10072939/common/160436,Fijian,Ken-ichi Ueda,2013-04-18T02:33:21Z
130052,Vaca,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10073202/common/170432,Fijian,Ken-ichi Ueda,2013-04-18T02:33:22Z
101906,Vaca,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10078475/common/221920,Fijian,Ken-ichi Ueda,2013-04-18T02:33:23Z
114252,Vaca,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10085422/common/82651,Fijian,Ken-ichi Ueda,2013-04-18T02:33:24Z
120659,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10071766/common/126942,Fijian,,2017-08-30T07:05:57Z
529428,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069170/common/168543,Fijian,,2017-08-30T07:05:58Z
94400,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10068940/common/170211,Fijian,,2017-08-30T07:05:58Z
487373,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069232/common/168153,Fijian,,2017-08-30T07:05:58Z
153276,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10071765/common/126957,Fijian,,2017-08-30T07:05:59Z
516050,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069169/common/168558,Fijian,,2017-08-30T07:05:59Z
196845,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10071760/common/126994,Fijian,,2017-08-30T07:06:41Z
529458,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069218/common/168240,Fijian,,2017-08-30T07:06:42Z
153277,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10071746/common/127122,Fijian,,2017-08-30T07:06:43Z
194784,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069159/common/168632,Fijian,,2017-08-30T07:06:43Z
424865,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069206/common/168349,Fijian,,2017-08-30T07:06:43Z
194782,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069152/common/168686,Fijian,,2017-08-30T07:06:44Z
529429,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069174/common/168494,Fijian,,2017-08-30T07:06:45Z
451143,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10068978/common/169924,Fijian,,2017-08-30T07:06:45Z
451142,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069266/common/167981,Fijian,,2017-08-30T07:06:45Z
194783,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069148/common/168754,Fijian,,2017-08-30T07:06:46Z
525411,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069173/common/168522,Fijian,,2017-08-30T07:06:46Z
194757,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069258/common/168039,Fijian,,2017-08-30T07:06:47Z
529473,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069140/common/168807,Fijian,,2017-12-21T20:07:11Z
520823,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069009/common/169627,Fijian,,2017-12-21T20:10:16Z
523374,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069231/common/168180,Fijian,,2017-12-21T22:36:42Z
3,Manumanu vuka,und,"","",,Fijian,John E. Christensen,2017-12-22T21:58:01Z
117459,Mama,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076052/common/71754,Fijian,,2018-02-28T00:07:42Z
132385,Mama,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076021/common/73430,Fijian,,2018-02-28T00:07:42Z
47336,Qasikalolo,und,"","",,Fijian,John E. Christensen,2018-11-01T16:29:22Z
121943,Balabala,und,"","",,Fijian,Kuruvitu Siva,2018-11-01T22:47:59Z
47157,Bebe,und,"","",,Fijian,John E. Christensen,2018-11-23T08:52:44Z
529450,tina,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069049/common/169377,Fijian,,2019-01-31T18:39:23Z
896389,tina,und,"","",,Fijian,Mark Rosenstein,2019-06-02T03:28:41Z
505478,Toa,und,"","",,Fijian,John E. Christensen,2019-11-19T14:13:38Z
69675,Yatu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072977/common/107339,Fijian,,2020-10-11T23:03:03Z
56943,Yatu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072945/common/110056,Fijian,,2020-10-11T23:03:03Z
182584,Yatu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072944/common/110112,Fijian,Donald Davesne,2020-10-11T23:03:03Z
120615,Yatu,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10072938/common/110453,Fijian,Donald Davesne,2020-10-11T23:03:03Z
102066,drividrivi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076374/common/58892,Fijian,,2021-07-13T12:44:50Z
102044,drividrivi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076349/common/59341,Fijian,,2021-07-13T12:44:50Z
58467,drividrivi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076606/common/93912,Fijian,,2021-07-13T12:44:50Z
49492,drividrivi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076585/common/94447,Fijian,,2021-07-13T12:44:51Z
102075,drividrivi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076383/common/58814,Fijian,,2021-07-13T12:44:51Z
102045,drividrivi,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10076351/common/59292,Fijian,,2021-07-13T12:44:51Z
