id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
48891,gumamela,fil,"","",,Filipino,Carrie Seltzer,2015-02-02T16:18:53Z
131236,mga virus,fil,"","",,Filipino,James K. Douch,2020-02-23T02:03:02Z
43584,Tao,fil,"","",,Filipino,Alessandro G.,2020-10-23T15:11:14Z
68319,Kapa-Kapa,fil,"","",,Filipino,Peter Quakenbush,2021-01-26T21:31:04Z
81925,Kalabaw,fil,"","",,Filipino,Alessandro G.,2021-02-02T20:54:44Z
154842,Ilang ilang,fil,"","",,Filipino,Alessandro G.,2021-02-02T21:32:45Z
68686,Balayong,fil,"","",,Filipino,Kitty Maurey,2021-07-02T01:42:35Z
74831,Leopardong niyebe,fil,"","",,Filipino,Zane Roskoph,2021-08-25T12:31:56Z
42407,Europeong bison,fil,"","",,Filipino,Zane Roskoph,2021-08-25T14:02:27Z
130793,Tigreng Bengal,fil,"","",,Filipino,Zane Roskoph,2021-08-27T12:43:20Z
1044384,Panggabing Berdeng Kuliglig,fil,"","",,Filipino,Neo Scott Anzai 安濟 ネオ スコット,2021-09-24T12:33:06Z
568769,Berdeng Kuliglig,fil,"","",,Filipino,Neo Scott Anzai 安濟 ネオ スコット,2021-09-24T13:45:52Z
469472,mansanas,fil,"","",,Filipino,DW,2022-03-27T04:26:18Z
50190,Kuliglig,fil,"","",,Filipino,Neo Scott Anzai 安濟 ネオ スコット,2022-05-13T10:01:58Z
340825,Alimango,fil,Philippines,PH,,Filipino,nxbgan,2022-05-19T09:21:42Z
127703,Alimasaag,fil,Philippines,PH,,Filipino,nxbgan,2022-05-19T09:27:45Z
55533,Bangus,fil,"","",,Filipino,Nope,2022-06-17T07:12:51Z
505478,Manok,fil,"","",,Filipino,Nope,2022-06-17T07:17:10Z
236935,Itik,fil,"","",,Filipino,Nope,2022-06-17T07:18:41Z
925355,Kagang kuliglig,fil,"","",,Filipino,Neo Scott Anzai 安濟 ネオ スコット,2022-07-01T12:08:13Z
