id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
27735,alppisalamanteri,fi,"","",,Finnish,max kirsch,2011-05-05T06:16:38Z
81758,Kongonimubarbi,fi,Finland,FI,http://www.ubio.org/browser/details.php?namebankID=4708193,Finnish,,2011-05-23T02:25:14Z
121250,Ankeriasveitsikala,fi,Finland,FI,http://www.ubio.org/browser/details.php?namebankID=4716638,Finnish,,2011-12-02T06:53:12Z
103502,Ankeriasnuijakala,fi,Finland,FI,http://www.ubio.org/browser/details.php?namebankID=4700905,Finnish,,2011-12-02T06:53:15Z
121251,Ankeriaspimelo,fi,Finland,FI,http://www.ubio.org/browser/details.php?namebankID=4640131,Finnish,,2011-12-02T06:53:16Z
97282,Ankeriasmonni,fi,Finland,FI,http://www.ubio.org/browser/details.php?namebankID=908083,Finnish,,2011-12-02T06:53:17Z
94105,Ankerias,fi,Finland,FI,http://www.ubio.org/browser/details.php?namebankID=872077,Finnish,,2011-12-02T06:53:17Z
121252,Ankeriastandani,fi,Finland,FI,http://www.ubio.org/browser/details.php?namebankID=4682783,Finnish,,2011-12-02T06:53:18Z
121253,Ankeriaspiikkisilmä,fi,Finland,FI,http://www.ubio.org/browser/details.php?namebankID=4711037,Finnish,,2011-12-02T06:53:19Z
144830,Töyhtötiainen,fi,Finland,FI,,Finnish,Finlay Cox,2013-06-08T14:24:10Z
119696,Turvejäkälät,fi,Finland,FI,,Finnish,Justin,2013-12-09T17:02:50Z
49593,Hopea-aurinkoahven,fi,Finland,FI,http://www.ubio.org/browser/details.php?namebankID=4697250,Finnish,,2014-03-04T07:22:17Z
49593,Hopea-ahven,fi,Finland,FI,http://www.ubio.org/browser/details.php?namebankID=918936,Finnish,,2014-03-04T07:22:18Z
63954,Espanjanpäärynä,fi,Finland,FI,,Finnish,Duarte Frade,2014-07-14T13:03:32Z
55925,haisukurjenpolvi,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:28:52Z
60885,seljakämmekkä,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:31:22Z
50831,jauhoesikko,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:32:20Z
163812,tyrni,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:33:21Z
53178,heinäratamo,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:34:18Z
132621,miehenkämmekkä,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:35:15Z
56152,karhunlaukka,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:36:15Z
57418,lehtokielo,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:37:14Z
6921,Kyhmyjoutsen,fi,"Finland | Finland, FI",FI,,Finnish,Kari Pihlaviita,2015-05-14T21:38:27Z
60264,merisuolake,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:39:18Z
79385,piennarpukinparta,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:41:23Z
62312,kissankello,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:42:09Z
59779,soikkoratamo,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:43:30Z
84278,ketopäivännouto,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:44:36Z
48216,rakkolevä,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:47:05Z
47435,keltamaite,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:47:48Z
53313,pikkuapila,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:48:38Z
53076,pehmytkurjenpolvi,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:49:46Z
167210,isolinnunruoho,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:50:42Z
204175,merirannikki,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:51:31Z
124548,lehtokuusama,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T21:55:11Z
133005,konnanmarja,fi,"","",,Finnish,Kari Pihlaviita,2015-05-14T21:59:02Z
129853,verikurjenpolvi,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T22:00:45Z
54531,luhtalitukka,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T22:02:26Z
124720,hammasjuuri,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-14T22:03:28Z
53307,nurmihärkki,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T11:28:26Z
57495,täpläverkkoperhonen,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T11:30:26Z
62020,sikoangervo,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T11:31:37Z
52592,täpläpapurikko,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T11:33:13Z
143416,valkoyökönlehti,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T11:35:04Z
54638,tikankontti,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T11:36:20Z
60376,tähtitalvikki,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T11:37:36Z
154238,kenttäkeulankärki,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T11:43:59Z
83541,lapinvuokko,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T11:49:01Z
128599,pussikämmekkä,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T11:49:57Z
119892,suokukka,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T11:50:55Z
78540,pohjantähkiö,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T11:52:04Z
56406,palokeuhkosammal,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T11:53:32Z
59552,kullero,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T11:55:27Z
121363,mesimarja,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T11:56:31Z
75611,viherraunioinen,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T11:58:22Z
130478,tunturikurjenherne,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T12:01:28Z
144185,tunturihärkki,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T12:04:52Z
170239,korpiorvokki,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T12:08:14Z
159228,vaivaiskoivu,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T12:09:26Z
13071,Sinirinta,fi,"Finland | Finland, FI",FI,,Finnish,Kari Pihlaviita,2015-05-15T12:10:32Z
13729,Niittykirvinen,fi,"Finland | Finland, FI",FI,,Finnish,Kari Pihlaviita,2015-05-15T12:11:55Z
144183,uuvana,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T12:12:48Z
204337,sielikkö,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T12:14:33Z
79076,närvänä,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T12:15:29Z
225797,pohjankorvajäkälä,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T12:16:40Z
119147,ketunlieko,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T12:17:56Z
25591,sammakko,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T12:19:46Z
204364,herttakaksikko,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T12:20:41Z
166245,lapinkuusio,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T12:21:37Z
175232,kaarrekarve,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T12:23:19Z
117059,Pulmunen,fi,"Finland | Finland, FI",FI,,Finnish,Kari Pihlaviita,2015-05-15T12:24:24Z
52720,koiranheinä,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T12:25:24Z
52992,pihasaunio,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T12:26:20Z
129115,ruusuruoho,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T12:27:24Z
159764,kurjenkello,fi,Finland,FI,,Finnish,Kari Pihlaviita,2015-05-15T12:28:35Z
