id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
133993,Grosjé vaz,und,"","",,French Guianese Creole,Zane Roskoph,2021-07-27T19:39:28Z
133993,Grosjé gran zécay,und,"","",,French Guianese Creole,Zane Roskoph,2021-07-27T19:39:51Z
133991,Grosjé sab,und,"","",,French Guianese Creole,Zane Roskoph,2021-07-27T19:44:25Z
133991,Grosjé ti zecay,und,"","",,French Guianese Creole,Zane Roskoph,2021-07-27T19:44:48Z
99786,Z'angi-tranblan,und,"","",,French Guianese Creole,Zane Roskoph,2021-07-29T02:40:58Z
99786,Anguille-tremblante,und,"","",,French Guianese Creole,Zane Roskoph,2021-07-29T02:41:46Z
493695,Bloblo,und,"","",,French Guianese Creole,Zane Roskoph,2021-08-19T14:34:22Z
493695,Bobo,und,"","",,French Guianese Creole,Zane Roskoph,2021-08-19T14:34:37Z
52553,Bloblo,und,"","",,French Guianese Creole,Zane Roskoph,2021-08-30T00:44:56Z
52553,Poisson sabe,und,"","",,French Guianese Creole,Zane Roskoph,2021-08-30T00:45:16Z
106222,Milé,und,"","",,French Guianese Creole,Zane Roskoph,2021-09-01T17:16:33Z
51402,Palika,und,"","",,French Guianese Creole,Zane Roskoph,2021-09-08T00:18:25Z
215207,Bayara,und,"","",,French Guianese Creole,Zane Roskoph,2021-09-12T23:43:48Z
49509,Sarde grise,und,"","",,French Guianese Creole,Zane Roskoph,2021-09-18T21:38:31Z
182608,P'tit rouget,und,"","",,French Guianese Creole,Zane Roskoph,2021-09-18T23:44:56Z
182608,Sarde dent chien,und,"","",,French Guianese Creole,Zane Roskoph,2021-09-18T23:45:16Z
131530,Vivianeau rayé,und,"","",,French Guianese Creole,Zane Roskoph,2021-09-19T00:41:34Z
244861,Poson lavwèl,und,"","",,French Guianese Creole,Zane Roskoph,2021-11-07T19:54:11Z
225012,Yaya soley,und,"","",,French Guianese Creole,Zane Roskoph,2021-11-07T20:21:28Z
225012,Yaya koumarou,und,"","",,French Guianese Creole,Zane Roskoph,2021-11-07T20:21:51Z
225012,San sou,und,"","",,French Guianese Creole,Zane Roskoph,2021-11-07T20:22:15Z
225012,Lime,und,"","",,French Guianese Creole,Zane Roskoph,2021-11-07T20:22:37Z
549774,Yaya gro tjò,und,"","",,French Guianese Creole,Zane Roskoph,2021-12-10T14:58:23Z
549774,Poson rach,und,"","",,French Guianese Creole,Zane Roskoph,2021-12-10T14:58:40Z
549774,Yaya rach,und,"","",,French Guianese Creole,Zane Roskoph,2021-12-10T14:58:58Z
614170,Yaya hache,und,"","",,French Guianese Creole,Zane Roskoph,2021-12-10T15:07:48Z
614170,Yaya rach,und,"","",,French Guianese Creole,Zane Roskoph,2021-12-10T15:08:05Z
614170,Yaya gro tjò,und,"","",,French Guianese Creole,Zane Roskoph,2021-12-10T15:08:24Z
614170,Poson rach,und,"","",,French Guianese Creole,Zane Roskoph,2021-12-10T15:08:46Z
484029,Yaya,und,"","",,French Guianese Creole,Zane Roskoph,2022-01-06T01:03:42Z
322857,Pacoucine,und,"","",,French Guianese Creole,Zane Roskoph,2022-01-07T01:46:16Z
322857,Pacoutane,und,"","",,French Guianese Creole,Zane Roskoph,2022-01-07T01:46:40Z
322857,Pacoutann,und,"","",,French Guianese Creole,Zane Roskoph,2022-01-07T01:47:08Z
322857,Yapinan,und,"","",,French Guianese Creole,Zane Roskoph,2022-01-07T01:47:36Z
322857,Pasina tanakem,und,"","",,French Guianese Creole,Zane Roskoph,2022-01-07T01:48:10Z
322857,Pakousi,und,"","",,French Guianese Creole,Zane Roskoph,2022-01-07T01:48:35Z
322857,Pasina tikolokem,und,"","",,French Guianese Creole,Zane Roskoph,2022-01-07T01:49:10Z
