id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
825289,Sundu,und,"","",https://www.inaturalist.org/taxon_names/1479575/edit,Fula,,2021-02-25T02:26:48Z
102742,Lareo,und,"","",,Fula,Zane Roskoph,2021-07-16T16:11:27Z
594430,dibehi,und,"","",,Fula,Botswanabugs,2021-09-28T11:31:46Z
342724,bugi baley,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Fula,Ken-ichi Ueda,2021-10-21T20:12:19Z
342724,dalevi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Fula,Ken-ichi Ueda,2021-10-21T20:12:19Z
342724,gubi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Fula,Ken-ichi Ueda,2021-10-21T20:12:20Z
342724,gumi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Fula,Ken-ichi Ueda,2021-10-21T20:12:20Z
342724,gumi-baledi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Fula,Ken-ichi Ueda,2021-10-21T20:12:20Z
342724,gumi-baley,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Fula,Ken-ichi Ueda,2021-10-21T20:12:21Z
342724,nguni daleewi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Fula,Ken-ichi Ueda,2021-10-21T20:12:21Z
141177,djambel gak,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Fula,Ken-ichi Ueda,2021-10-21T20:12:21Z
141177,jamabere jire,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Fula,Ken-ichi Ueda,2021-10-21T20:12:21Z
164238,chidige,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Fula,Ken-ichi Ueda,2021-10-21T20:12:22Z
164238,dialaduke,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Fula,Ken-ichi Ueda,2021-10-21T20:12:22Z
164238,duladukad,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Fula,Ken-ichi Ueda,2021-10-21T20:12:22Z
164238,kidi,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Fula,Ken-ichi Ueda,2021-10-21T20:12:23Z
164238,kokolaji,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Fula,Ken-ichi Ueda,2021-10-21T20:12:23Z
164238,kolakoladje,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Fula,Ken-ichi Ueda,2021-10-21T20:12:23Z
164238,kolakolaje,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Fula,Ken-ichi Ueda,2021-10-21T20:12:24Z
