id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
47649,|Inidzi,und,"","",,G|Wi,Dewald du Plessis,2020-03-14T13:44:38Z
52884,|Inidzi,und,"","",,G|Wi,Dewald du Plessis,2020-03-14T13:51:24Z
47651,|Inidzi,und,"","",,G|Wi,Dewald du Plessis,2020-03-14T13:52:23Z
48112,G||amdzi,und,"","",,G|Wi,Dewald du Plessis,2020-03-16T09:12:54Z
84718,N||abokije=we=wedidzi,und,"","",,G|Wi,Dewald du Plessis,2020-04-06T18:24:52Z
48147,N||abokije=we=wedidzi,und,"","",,G|Wi,Dewald du Plessis,2020-04-06T18:27:56Z
49556,N!hada||eidzi,und,"","",,G|Wi,Dewald du Plessis,2020-04-07T11:20:20Z
47735,G!ōg!ōnidzi,und,"","",,G|Wi,Dewald du Plessis,2020-04-07T18:11:57Z
123675,Tamminidzi,und,"","",,G|Wi,Dewald du Plessis,2020-08-21T12:07:15Z
47367,G|uba:dzi,und,"","",,G|Wi,Dewald du Plessis,2020-08-21T12:22:59Z
52788,Tamminidzi,und,"","",,G|Wi,Dewald du Plessis,2020-08-21T12:24:08Z
129763,Tamminidzi,und,"","",,G|Wi,Dewald du Plessis,2020-08-21T12:27:08Z
570744,!noamallgarn,und,"","",,G|Wi,Botswanabugs,2021-10-11T03:58:52Z
714593,!gaemallgarn,und,"","",,G|Wi,Botswanabugs,2021-10-11T04:04:24Z
557666,!nabets'urots'uro,und,"","",,G|Wi,Botswanabugs,2021-10-11T04:06:22Z
510214,||Xadidzi,und,Central Kalahari and Khutse Game Reserves,"",,G|Wi,Dewald du Plessis,2021-10-19T20:36:55Z
