id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
97803,Kportoe,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082877/common/83787,Ga,,2021-07-12T17:07:20Z
97790,Kportoe,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082883/common/83761,Ga,,2021-07-12T17:07:21Z
97957,Kportoe,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082910/common/196636,Ga,,2021-07-12T17:07:21Z
51402,Manyofle,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10063455/common/256943,Ga,,2021-07-19T16:28:54Z
102692,Denor,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082217/common/185254,Ga,,2021-07-19T16:46:33Z
107164,Denor,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082921/common/262056,Ga,,2021-07-19T16:46:33Z
97925,Denor,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082150/common/73445,Ga,,2021-07-19T16:46:34Z
102690,Denor,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10082214/common/185291,Ga,,2021-07-19T16:46:34Z
103474,Tasaa-agborhor,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083374/common/261720,Ga,,2021-07-21T13:34:38Z
112204,Tasaa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083413/common/182260,Ga,,2021-07-21T13:34:51Z
103474,Tasaa,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10083374/common/261722,Ga,,2021-07-21T13:34:51Z
67836,Lomole,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10074698/common/61917,Ga,,2021-08-24T11:56:52Z
67836,Putunpuli,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10074698/common/61907,Ga,,2021-08-24T11:57:16Z
103021,Akao,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055945/common/225144,Ga,,2021-08-29T13:40:14Z
103022,Akao,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055946/common/225129,Ga,,2021-08-29T13:40:14Z
82777,Akao,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10055950/common/225084,Ga,,2021-08-29T13:40:14Z
102645,Akao,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10056011/common/230565,Ga,,2021-08-29T13:40:15Z
153280,Akao,und,"","",http://www.catalogueoflife.org/annual-checklist/details/species/id/10069945/common/133358,Ga,,2021-08-29T13:40:15Z
49961,Lale-akal,und,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9741333,Ga,,2021-09-01T12:05:25Z
493799,Sanmeki,und,"","",,Ga,Zane Roskoph,2021-09-11T19:42:43Z
164238,aburokyiriaba,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ga,Ken-ichi Ueda,2021-10-21T20:12:28Z
164238,adadze,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ga,Ken-ichi Ueda,2021-10-21T20:12:29Z
164238,kaneadua,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ga,Ken-ichi Ueda,2021-10-21T20:12:29Z
164238,kitigbetso,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ga,Ken-ichi Ueda,2021-10-21T20:12:29Z
164238,kplukatso,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ga,Ken-ichi Ueda,2021-10-21T20:12:29Z
81491,fufo akpele,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ga,Ken-ichi Ueda,2021-10-21T20:12:30Z
81491,schototacho,und,"","",South African National Biodiversity Institute. 2021. Botanical Database of Southern Africa (BODATSA) [offline dataset]. http://newposa.sanbi.org [Note that these data are not available at this URL as of 2021],Ga,Ken-ichi Ueda,2021-10-21T20:12:30Z
113934,Kookoe,und,"","",,Ga,Zane Roskoph,2021-12-23T20:20:51Z
