id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
48796,Malvales,und,"","",,Galego,John E. Christensen,2017-12-18T12:57:40Z
43793,Castor europeo,und,"","",,Galego,John E. Christensen,2017-12-30T15:24:30Z
41663,Mapache,und,"","",,Galego,John E. Christensen,2018-05-22T19:51:12Z
53022,Correola,und,"","",,Galego,John E. Christensen,2018-07-10T14:12:58Z
121943,Fento,und,"","",,Galego,John E. Christensen,2018-08-12T07:11:13Z
77965,Macela,und,"","",,Galego,John E. Christensen,2018-12-21T14:44:53Z
20969,Bubela,und,"","",,Galego,Carlos Pizcueta Suárez,2019-03-03T15:14:07Z
4504,Arao papagaio,und,"","",,Galego,Carlos Pizcueta Suárez,2019-03-04T13:50:29Z
325295,Avelaíña do buxo,und,"","",,Galego,Roger C. Kendrick,2019-05-21T09:52:18Z
4324,Pelicanos,und,"","",,Galego,Carlos Pizcueta Suárez,2020-11-19T16:40:55Z
1907,Cuco vulgar,und,"","",,Galego,Carlos Pizcueta Suárez,2020-11-19T20:58:22Z
148030,Burro,und,"","",,Galego,Carlos Pizcueta Suárez,2020-11-21T00:35:11Z
7101,Ganso sangano,und,"","",,Galego,Carlos Pizcueta Suárez,2020-12-12T01:42:25Z
483132,Navalla,und,"","",,Galego,Carlos Pizcueta Suárez,2020-12-12T04:09:22Z
