id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
56765,Zygaena,el,"","",http://www.ubio.org/browser/details.php?namebankID=960249,Greek,,2010-06-30T16:13:19Z
56765,Zygena,el,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10055541/common/157839,Greek,,2014-05-26T16:29:56Z
118709,Litsa,el,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10069973/common/216555,Greek,,2015-04-14T06:48:42Z
51401,Litsa,el,"","",http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/10070028/common/206605,Greek,,2015-04-14T06:48:43Z
57281,Περδικάκι,el,"","",,Greek,Charalampos Tsiamitas,2017-11-24T10:27:57Z
47170,"μύκητας, λειχήνα",el,Greece,GR,,Greek,John E. Christensen,2017-11-27T16:44:16Z
4265,Αμερικανικός Κορμοράνος,el,"","",,Greek,John E. Christensen,2017-11-27T16:51:51Z
244017,τζίτζικας,el,"","",,Greek,John E. Christensen,2017-11-27T16:53:10Z
84640,σφήκα,el,"","",,Greek,John E. Christensen,2017-11-27T16:56:21Z
48561,γαϊδουράγκαθο,el,"","",,Greek,John E. Christensen,2017-11-27T17:00:22Z
311249,"βρύο, μούσκλο",el,"","",,Greek,John E. Christensen,2017-11-28T11:16:42Z
355675,σπονδυλωτό,el,"","",,Greek,John E. Christensen,2017-11-28T11:21:20Z
19350,γλαύκα,el,"","",,Greek,John E. Christensen,2017-11-28T11:24:04Z
42134,κάπρος,el,"","",,Greek,John E. Christensen,2017-11-28T12:46:56Z
42118,χοίρος,el,"","",,Greek,John E. Christensen,2017-11-28T12:47:56Z
2,χορδωτό,el,"","",,Greek,John E. Christensen,2017-11-28T12:48:40Z
5562,κολίμπρι,el,"","",,Greek,John E. Christensen,2017-11-28T12:50:24Z
71261,"γεράκι, αετός",el,"","",,Greek,John E. Christensen,2017-11-28T12:55:39Z
6921,κύκνος,el,"","",,Greek,John E. Christensen,2017-11-28T12:59:09Z
47115,Μαλάκια,el,"","",,Greek,John E. Christensen,2017-11-29T22:06:08Z
47208,Κολεόπτερα,el,"","",,Greek,John E. Christensen,2017-11-30T21:50:50Z
47549,Εχινόδερμα,el,"","",,Greek,John E. Christensen,2017-12-02T21:15:56Z
47158,Έντομα,el,"","",,Greek,John E. Christensen,2017-12-04T08:39:13Z
47126,Φυτό,el,"","",,Greek,John E. Christensen,2017-12-06T08:06:59Z
123880,Διάτομα,el,"","",,Greek,John E. Christensen,2017-12-10T07:40:11Z
372843,Φώκιες,el,"","",,Greek,John E. Christensen,2017-12-12T13:16:35Z
18874,παπαγάλος,el,"","",,Greek,John E. Christensen,2017-12-15T07:16:37Z
